n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,variante,merkmal,herkunft
435,63.44827586206897,705,51.63120567375886,11.817070188310108,5.97847715286722,17.655663223752995,nur_editform_alle,meldeformat,erfunden
456,79.3859649122807,684,63.74269005847953,15.64327485380117,10.469618596428123,20.816931111174217,nur_editform_alle,sig_endzeile,mitgebracht
436,52.293577981651374,704,44.17613636363637,8.11744161801501,2.1644476604085297,14.070435575621488,nur_editform_alle,please_relay,mitgebracht
131,62.59541984732825,1009,57.680872150644205,4.914547696684046,-3.9146318901817994,13.743727283549893,nur_editform_fremd,runde,erfunden
140,44.285714285714285,1000,50.1,-5.814285714285717,-14.606780330945995,2.978208902374563,nur_editform_fremd,cohort,erfunden
144,61.80555555555556,996,55.321285140562246,6.4842704149933095,-2.030991558187366,14.999532388173986,nur_editform_fremd,meldeformat,erfunden
153,75.81699346405229,987,69.09827760891591,6.718715855136381,-0.6533149149808002,14.090746625253564,nur_editform_fremd,sig_endzeile,mitgebracht
146,49.31506849315068,994,46.98189134808853,2.3331771450621486,-6.349866418839256,11.016220708963553,nur_editform_fremd,please_relay,mitgebracht
297,84.17508417508418,843,49.11032028469751,35.06476389038667,29.715104543201193,40.41442323757216,nur_editform_eigene,runde,erfunden
336,54.761904761904766,804,47.13930348258707,7.622601279317704,1.2798695615837088,13.9653329970517,nur_editform_eigene,cohort,erfunden
342,65.2046783625731,798,52.255639097744364,12.949039264828732,6.825669793417216,19.07240873624025,nur_editform_eigene,meldeformat,erfunden
359,81.33704735376045,781,64.7887323943662,16.54831495939425,11.307605850998481,21.78902406779002,nur_editform_eigene,sig_endzeile,mitgebracht
338,53.84615384615385,802,44.51371571072319,9.332438135430653,3.0018018570842435,15.663074413777064,nur_editform_eigene,please_relay,mitgebracht
363,63.08539944903582,777,55.98455598455598,7.1008434644798335,1.0321947094535469,13.169492219506122,ohne_editform_alle,runde,erfunden
382,50.523560209424076,758,48.812664907651715,1.7108953017723638,-4.437408896071075,7.859199499615801,ohne_editform_alle,cohort,erfunden
387,60.98191214470285,753,53.65205843293492,7.329853711767919,1.3044379113325442,13.355269512203293,ohne_editform_alle,meldeformat,erfunden
395,76.70886075949367,745,66.44295302013423,10.265907739359436,4.8925320707255056,15.639283407993368,ohne_editform_alle,sig_endzeile,mitgebracht
384,50.0,756,45.8994708994709,4.100529100529099,-2.0336928239373524,10.23475102499555,ohne_editform_alle,please_relay,mitgebracht
344,61.91860465116279,796,56.65829145728644,5.260313193876353,-0.9189751983938774,11.439601586146585,ohne_editform_fremd,runde,erfunden
361,48.75346260387812,779,49.6790757381258,-0.9256131342476825,-7.16383894179443,5.312612673299065,ohne_editform_fremd,cohort,erfunden
367,59.67302452316077,773,54.463130659767145,5.2098938633936225,-0.915042027882973,11.334829754670217,ohne_editform_fremd,meldeformat,erfunden
374,76.20320855614973,766,66.97127937336815,9.231929182781595,3.780331596957064,14.683526768606125,ohne_editform_fremd,sig_endzeile,mitgebracht
367,49.31880108991826,773,46.3130659767141,3.0057351132041554,-3.2007812166964125,9.212251443104725,ohne_editform_fremd,please_relay,mitgebracht
