n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,merkmal,fenster,scope
386,49.48186528497409,754,46.15384615384615,3.328019131127935,-2.798985722268082,9.455023984523953,please_relay,vor unbegrenzt,weit_fremd
764,60.994764397905755,376,52.659574468085104,8.335189929820652,2.2169284541853553,14.453451405455949,runde,NACH 0..600 s,weit
807,51.17719950433705,333,45.04504504504504,6.132154459292,-0.22802447687901573,12.492333395463016,cohort,NACH 0..600 s,weit
818,56.84596577017115,322,54.347826086956516,2.4981396832146285,-3.91444840639298,8.910727772822238,meldeformat,NACH 0..600 s,weit
842,71.14014251781472,298,66.77852348993288,4.361619027881847,-1.8000555072364859,10.52329356300018,sig_endzeile,NACH 0..600 s,weit
824,47.57281553398058,316,46.51898734177215,1.0538281922084336,-5.417104338052373,7.52476072246924,please_relay,NACH 0..600 s,weit
540,54.629629629629626,600,61.5,-6.870370370370371,-12.596854447736694,-1.1438862930040483,runde,NACH 0..600 s,weit_fremd
577,48.00693240901213,563,50.799289520426285,-2.7923571114141508,-8.59516006422705,3.010445841398749,cohort,NACH 0..600 s,weit_fremd
592,53.88513513513513,548,58.57664233576643,-4.691507200631295,-10.447800066701355,1.0647856654387637,meldeformat,NACH 0..600 s,weit_fremd
603,69.48590381426202,537,70.57728119180634,-1.0913773775443114,-6.417114252903505,4.234359497814883,sig_endzeile,NACH 0..600 s,weit_fremd
587,46.84838160136286,553,47.739602169981914,-0.8912205686190555,-6.690164326668794,4.9077231894306825,please_relay,NACH 0..600 s,weit_fremd
868,57.373271889400925,272,61.029411764705884,-3.6561398753049645,-10.320570237131452,3.0082904865215228,runde,NACH 600..3600 s,weit
882,50.0,258,47.286821705426355,2.713178294573643,-4.2153197649789265,9.641676354126211,cohort,NACH 600..3600 s,weit
894,54.80984340044742,246,60.97560975609756,-6.165766355650137,-13.079721152272228,0.7481884409719517,meldeformat,NACH 600..3600 s,weit
909,69.08690869086908,231,73.59307359307358,-4.506164902204501,-10.936141238943135,1.9238114345341326,sig_endzeile,NACH 600..3600 s,weit
894,48.322147651006716,246,43.49593495934959,4.826212691657123,-2.181687856319198,11.834113239633442,please_relay,NACH 600..3600 s,weit
778,55.78406169665809,362,63.53591160220995,-7.751849905551856,-13.815289162238656,-1.6884106488650539,runde,NACH 600..3600 s,weit_fremd
791,48.92541087231353,349,50.429799426934096,-1.504388554620567,-7.801417697086049,4.792640587844915,cohort,NACH 600..3600 s,weit_fremd
801,54.30711610486891,339,60.47197640117994,-6.1648602963110255,-12.408954641605218,0.07923404898316846,meldeformat,NACH 600..3600 s,weit_fremd
821,68.69671132764921,319,73.35423197492163,-4.657520647272428,-10.454117363864324,1.1390760693194668,sig_endzeile,NACH 600..3600 s,weit_fremd
808,48.01980198019802,332,45.48192771084337,2.537874269354645,-3.830721029516186,8.906469568225477,please_relay,NACH 600..3600 s,weit_fremd
921,57.763300760043435,219,60.273972602739725,-2.510671842696288,-9.734154289568743,4.712810604176165,runde,NACH 1h..6h,weit
927,48.327939590075516,213,53.990610328638496,-5.662670738562986,-13.089022478367356,1.763681001241385,cohort,NACH 1h..6h,weit
931,55.10204081632652,209,60.76555023923444,-5.66350942290792,-13.014036152330794,1.6870173065149554,meldeformat,NACH 1h..6h,weit
933,69.02465166130762,207,74.39613526570048,-5.371483604392868,-12.016337531673926,1.2733703228881899,sig_endzeile,NACH 1h..6h,weit
925,47.24324324324324,215,47.44186046511628,-0.19861722187303754,-7.608339144253382,7.211104700507306,please_relay,NACH 1h..6h,weit
875,57.371428571428574,265,61.13207547169811,-3.7606469002695375,-10.482438321938512,2.9611445213994365,runde,NACH 1h..6h,weit_fremd
882,47.84580498866213,258,54.65116279069767,-6.805357802035539,-13.71704099084231,0.10632538677123188,cohort,NACH 1h..6h,weit_fremd
889,54.780652418447694,251,60.95617529880478,-6.175522880357088,-13.040662156846617,0.6896163961324406,meldeformat,NACH 1h..6h,weit_fremd
894,68.45637583892618,246,75.60975609756098,-7.153380258634801,-13.324081478442645,-0.9826790388269571,sig_endzeile,NACH 1h..6h,weit_fremd
884,47.28506787330316,256,47.265625,0.019442873303165964,-6.925745966686907,6.9646317132932385,please_relay,NACH 1h..6h,weit_fremd
304,56.25,836,58.97129186602871,-2.7212918660287078,-9.21872791647083,3.7761441844134143,runde,NACH 24h..48h,weit
302,46.35761589403973,838,50.47732696897375,-4.1197110749340125,-10.684171278433773,2.4447491285657486,cohort,NACH 24h..48h,weit
305,54.09836065573771,835,56.886227544910184,-2.7878668891724745,-9.311715045596339,3.7359812672513897,meldeformat,NACH 24h..48h,weit
307,65.47231270358306,833,71.66866746698679,-6.196354763403733,-12.33246341212777,-0.06024611467969482,sig_endzeile,NACH 24h..48h,weit
301,45.182724252491695,839,48.033373063170444,-2.8506488106787464,-9.411140654099395,3.709843032741901,please_relay,NACH 24h..48h,weit
303,56.10561056105611,837,59.02031063321386,-2.91470007215775,-9.420435854033556,3.591035709718056,runde,NACH 24h..48h,weit_fremd
301,46.179401993355484,839,50.53635280095352,-4.356950807598037,-10.927059037388359,2.2131574221922854,cohort,NACH 24h..48h,weit_fremd
304,54.276315789473685,836,56.81818181818182,-2.5418660287081396,-9.071447532934526,3.987715475518247,meldeformat,NACH 24h..48h,weit_fremd
306,65.359477124183,834,71.70263788968825,-6.343160765505241,-12.48888561478186,-0.19743591622861933,sig_endzeile,NACH 24h..48h,weit_fremd
300,45.0,840,48.095238095238095,-3.0952380952380953,-9.661054171000554,3.4705779805243644,please_relay,NACH 24h..48h,weit_fremd
