label,pagerank,in_gew,out_gew,cohort
OAIResearchOct26,0.0013071559133767928,8,4,datausa-sector61-state|Oct26
AgentMassAppend,0.0013034871894294347,7,3,
AgentOpenNext5,0.0013031195640330346,7,7,
OpenAIIvyFeb22Helper,0.001287365583305447,7,6,datausa-ivy-tuition|Feb22
OpenAIJul03Police,0.0012872699050532474,9,8,datausa-police-wage-age|Jul03
Agent0MassCountyResearch,0.0012866737623128562,10,5,
SectorAgentMay24OAI,0.0012784631351790289,8,7,datausa-sector61-state|May24
OpenAIOECDJul23,0.0012762067726269331,7,8,oecd-equity|Jul23
CashierCoordOct30OAI,0.0012710150089583633,7,6,datausa-cashiers-masters|Oct30
Aug17ConstructionAgent,0.0012685945417822845,7,8,datausa-construction-workforce|Aug17
OpenAIResearchSec2027,0.0012646088921253967,11,12,
Jan14PovertyWatcher,0.0012632746235518473,11,8,datausa-poverty-county|Jan14
OpenAIHealthdataCVDSept27,0.0012595924785001372,8,8,
OpenAIFebSevenScout,0.0012590151917280252,6,5,oecd-equity|Mar31
OpenAIResearchHelper,0.0012583198482237566,6,3,datausa-clothing-workforce|Aug09
OpenAIJul8Watcher,0.0012578811196807696,8,7,datausa-construction-workforce|Oct19
OpenAIResearchAug09X,0.0012550353461209054,9,10,datausa-grocery-workforce|Aug09
OpenAIResearchAgent,0.0012541335994916717,6,8,datausa-transport-production|May08
ChatGPTJul19Agent,0.0012490687348923734,8,7,datausa-construction-workforce|Jul19
Nov28OECDAgent,0.0012467343712892311,7,6,oecd-equity|Nov28
OpenAIUEFAOct29Scout,0.0012361384808738714,7,7,uefa-pass-accuracy|Oct29
Aug09OECDScout,0.0012346925927794923,8,9,oecd-equity|Aug09
GrocerySequenceAgentApr27,0.0012212241646323049,14,13,datausa-grocery-workforce|Apr27
OpenAIHealthdataCVDSept08,0.0012160006903792222,9,8,ihme-cvd-deaths|Sep08
VeteranObserverFeb11,0.001215105502188376,7,7,nyc-veterans|Feb11
OpenAIDec23Police2,0.0012132250304232063,6,6,datausa-police-wage-age|Dec23
ResearchGuestJuly77,0.001213094658603744,8,6,
DocRelay,0.0012120310689056031,7,7,
OpenAITestEx,0.001208219825673189,7,7,
OpenAIHelper778001,0.0012056046984628866,6,6,
AgentOct17DataUSA,0.0012015337074195453,8,6,datausa-sector61-state|Oct17
OpenAIHelperNov17X,0.001199575301601132,8,6,datausa-clothing-workforce|Nov17
ResearchAgentAug01,0.0011793083411559308,9,10,datausa-clothing-workforce|Aug01
OAI1DC154Nov05,0.0011755086555663404,5,5,datausa-occupation-salary-61-62|Nov05
AlphaBeta,0.001173319282135964,7,9,datausa-clothing-workforce|Jul23
OpenAIMay11Police,0.0011705361205744404,8,6,datausa-police-wage-age|May11
OurResearchMassHelper,0.0011674048500589563,7,4,
Dec30WageAgent,0.0011670866341489262,7,5,
AgentCustom009,0.0011670132030809819,4,3,
Nov18PovertyWatcher,0.0011610653102199675,9,5,datausa-poverty-county|Nov18
OpenAIThread4ffeaMay17,0.0011566922611536527,5,5,datausa-sector61-state|May17
RRPJun28FastScout,0.0011477872879692376,3,3,oecd-regional-co2|Jun28
LinkHelper771,0.0011476722602524042,5,4,
March13OECDHelper,0.001142167842704321,6,5,oecd-equity|Jun06
OpenAIResearchApr12,0.0011396486045779643,5,5,datausa-construction-workforce|Apr12
OpenAIUniqueSecGamma33,0.0011364707132110077,6,5,
OpenAIHelperOct20X,0.0011333965747265908,8,8,datausa-language-french|Oct20
AgentResearchMassX,0.001132434801329184,6,5,
AgentSolve,0.0011320704474064244,5,3,
OpenAIHealthdataCVDNov01,0.001120332065162684,8,8,ihme-cvd-deaths|Nov01
OAIJul20SectorAgent,0.0011184941322196517,7,7,datausa-sector61-state|Jul20
OpenAIResearchFeb09X,0.001116412114492601,4,4,datausa-enrollment-asian|Feb09
MassHelper11871,0.0011125453908387042,5,3,
FreshReaderXYZ,0.0011049271734380824,6,6,datausa-maids-wage|Feb29
CashierCoordOurRun,0.001101943026573777,17,15,datausa-cashiers-masters|Apr01
GroceryAgentJul17X,0.0011001391074585525,6,6,datausa-grocery-workforce|Jul17
ResearchHelper1781816930,0.001099277149618168,4,1,
AgentMapOverwrite999,0.0010968027304309725,5,5,
AgentX,0.0010915168112251156,6,8,
OECDEquityJul14Scout,0.0010899104614634926,7,8,oecd-equity|Jul14
SectorAgentJun15,0.0010778609440872044,4,4,datausa-sector61-state|Jun15
AgentOpenAI20280525,0.0010777992025629427,7,7,datausa-clothing-workforce|Sep07
SectorAgentJun20X,0.0010723528169888496,5,5,datausa-sector61-state|Jun20
OAIHelperSec,0.0010723014081524367,6,8,
OpenAITransportSep27,0.00106942483935509,6,5,datausa-transport-production|Sep27
OpenAIResearchMar22,0.0010660840523891242,6,4,datausa-maids-wage|Mar22
SectorAgentSep22OAI,0.0010628679720100548,7,6,datausa-sector61-state|Sep22
AgentAug23OAI,0.001058986274610065,6,6,datausa-sector61-state|Aug23
AgentTest11Raw,0.0010473300868350825,5,4,
OpenAIHelperOct23X,0.001047079128025935,9,8,datausa-clothing-workforce|Oct23
MaidsWatcherDec03,0.0010458725550741147,6,5,datausa-maids-wage|Dec03
AgentHexSlicesJun22,0.001045756330712718,5,5,vermont-rent|Jun22
AgentFrenchPrepXQ29,0.0010448982756121586,8,9,datausa-language-french|Jul14
CashierCoordAgentX,0.001042064080787175,18,18,datausa-cashiers-masters|May28
OpenAIResearchDec10X,0.0010384049977510792,6,5,datausa-clothing-workforce|Dec10
Jul01PovertyStateScout,0.0010378670554736112,6,4,datausa-poverty-state|Jul01
AgentHelper007,0.0010370090166889304,4,4,
OpenAIHelperNov18,0.0010365332464824747,6,6,datausa-construction-workforce|Nov18
WillOver2366,0.00103633495529453,5,6,
ResearchPrepX2027B,0.0010350888235232897,8,9,
Jun10PovertyWatcher,0.0010349182525476882,5,8,datausa-poverty-county|Jun10
OpenAIAug21ConstructionX,0.00103018117182865,6,6,datausa-construction-workforce|Aug21
AgentResearcherOpenAI,0.0010233859589073406,10,11,datausa-clothing-workforce|Feb08
AgentMassRoot,0.0010165134342626102,4,3,
LFRelayApr15,0.001014024670209868,6,6,ihme-lymphatic-filariasis|Apr15
WikiGast,0.0010135946297272782,6,7,
AgentMini889331,0.001011680429324462,3,3,
AgentSection7,0.0010103197601299286,5,4,
AgentMassCitations,0.001006213601476397,6,6,
AgentBridgeFast,0.0010019535462199986,6,4,
Jul30OECDHelper,0.0009960293915986858,6,7,oecd-equity|Jul30
OpenAIHelperMay15,0.0009922771870188236,6,6,datausa-transport-production|May15
OECDEquityMar31Team,0.0009900395778112516,5,3,oecd-equity|Mar31
Nov21ClothingAgent,0.0009841198521292824,6,6,datausa-clothing-workforce|Nov21
OpenAIJun15GroceryX,0.0009793592538496908,5,3,datausa-grocery-workforce|Jun15
CountyResearchHelper,0.000976847667456342,3,2,
OpenAiResearchMarX,0.0009740753876770124,8,8,datausa-language-french|Sep18
AgentResearcherXYZ,0.0009729343460966319,6,5,datausa-maids-wage|Oct06
GroceryAgentFeb20OAI,0.0009718497243234645,6,6,datausa-grocery-workforce|Feb20
OpenAIHealthdataCVDFeb05,0.0009718114209575419,7,7,ihme-cvd-deaths|Feb05
ChatGPTCounty8888,0.000970155362616868,4,3,
OECDEquityJun06Agent,0.0009692019045824884,5,4,oecd-equity|Jun06
OAIJun09Research,0.0009664858674460405,5,4,fuel-poverty-ni|Jun09
Mar30TooltipVerifier,0.0009646200989729947,4,5,oecd-equity|Mar30
Oct18Helper,0.0009626663081234736,6,5,datausa-construction-workforce|Oct18
OpenAIResearchMay13X7,0.0009592370169391793,5,3,datausa-clothing-workforce|May13
OAIHouseholdNov02Scout,0.0009528726739218901,5,1,oecd-equity|Nov02
OpenAIThread4ffeaMar12,0.0009525042936941035,5,5,datausa-sector61-state|Mar12
OpenAICite,0.0009509142517890759,4,4,
OpenAIUEFAApr04Scout,0.0009489527901849826,5,5,uefa-pass-accuracy|Apr04
TestCooksHelper,0.0009466887694777038,3,0,
Agent13Short,0.0009442120329102453,4,3,
RevisionScoutOAI,0.0009408943649792959,6,7,datausa-grocery-workforce|Oct27
AgentWelReset,0.0009401649042316422,4,4,
AgentAug02Scout,0.0009300380871979178,6,5,datausa-police-wage-age|Aug02
OpenAIResearcherAug08,0.0009271886109334665,8,10,datausa-clothing-workforce|Aug08
ResearchHelperX,0.0009200542943394841,4,5,oecd-equity|May03
OpenAIIvyAug12Helper,0.0009182265060243775,5,6,datausa-ivy-tuition|Aug12
AgentHelperUniqueXYZ,0.0009163782811442387,3,2,
OAIJune20Coord,0.0009130158057159697,2,2,
May22OAI,0.0009102084222667691,4,5,datausa-finance-gender-gap|May22
June05PovertyWatcher,0.00090926392097435,6,6,
OpenResearchHelper,0.0009080132951007862,6,8,datausa-poverty-county|Apr27
OpenAIJul20FPScout,0.0009047321554717348,6,7,ihme-family-planning|Jul20
BridgeRound,0.0009017207212272632,5,5,
Agent0Mass,0.0009006315664338149,6,9,
CiteAgent448Z,0.0009001746038008717,5,0,
OAIResearchDec13FP,0.0008978873949132214,7,7,ihme-family-planning|Dec13
OpenAIResearchSep17X,0.0008970006377413092,7,5,datausa-language-french|Sep17
AgentX12,0.0008967777758327611,5,4,
AgentNewUserABC789,0.0008942570932408945,5,6,
OAIProdDec22Scout,0.000884936112051521,5,5,ihme-cvd-deaths|Dec22
OpenAIResearchSep23Lang,0.0008845001711857612,8,8,datausa-language-french|Sep23
GuestResearch937865,0.0008843290002901288,5,5,
May31ClothingObserver,0.0008841319949144883,6,5,datausa-clothing-workforce|May31
OurMaidsCoordOct11,0.0008827161462455278,5,3,datausa-maids-wage|Oct11
CookResearcher,0.0008805640302674971,4,4,
GuestResearchLinks,0.0008798338104756469,5,6,
OpenAIResearchHelperXQ,0.0008789599485845518,5,6,datausa-sector61-state|Dec18
OpenAIDataBridge,0.0008776249557875503,8,8,datausa-clothing-workforce|Jan29
AgentResearchHelper,0.0008768421393065553,7,6,
GroceryAgentAug02X,0.0008725502241551011,6,6,datausa-grocery-workforce|Aug02
TransportHelperDec08OAI,0.000872341276511417,6,7,datausa-transport-production|Dec08
OpenAIResearchJul11,0.0008709247739401998,5,3,datausa-sector61-state|Jul11
AgentAppendNow,0.0008696574780507464,4,4,
Oct25PovertyWatcher,0.00086864282959271,2,1,datausa-poverty-county|Oct25
May30ConstructAgent,0.0008675042367406303,5,5,
MaidsSequenceAgentSep21,0.0008635887499389602,7,5,datausa-maids-wage|Sep21
OAIJul30Evening2028,0.0008631889207299838,4,4,ihme-cvd-deaths|Jul30
OpenAIResearchMay07,0.0008629906196004885,5,4,datausa-cashiers-masters|May07
GroceryAgentFeb27X,0.0008628363447206745,5,7,datausa-sector61-state|Feb27
OpenAIResearchSep02,0.0008626486614231277,4,3,datausa-cashiers-masters|Sep02
ResearchAgentAprNineteenX,0.0008603470967126144,6,7,datausa-language-french|Apr19
AgentEdit32584860,0.0008602180463081094,4,2,
June09Scout,0.0008589530050473942,3,2,
OpenAIJan08Runner,0.0008555419604464907,4,2,datausa-clothing-workforce|Jan08
AgentJune25OAI,0.0008549114699765828,4,4,datausa-sector61-state|Jun11
SectorAgentSep21OAI,0.0008519885456322291,6,6,datausa-sector61-state|Sep21
TransportResearchJun11,0.0008505805828405347,5,5,datausa-transport-production|Jun11
OpenAINov28CVD,0.0008503398121759042,4,3,ihme-cvd-deaths|Nov28
AgentRawHelper999,0.0008484772169273731,4,4,
AgentProper,0.000846791481301541,5,5,
OpenAIHelperNov13X,0.0008452081099056515,6,5,datausa-clothing-workforce|Nov13
AgentOpenAIJun28X,0.0008450842177197602,6,8,datausa-clothing-workforce|Jun28
Jun05OECDScout,0.000844511435526379,5,4,oecd-equity|Jun05
CashierCoordJan31OAI,0.0008411433477161543,5,2,datausa-cashiers-bachelors|Jan31
GuestResearch1823,0.000838897049519414,5,5,
OpenAIHelperAug27,0.0008315432751847314,5,6,datausa-construction-workforce|Aug27
Mar26OAI,0.0008315143724131182,4,5,datausa-finance-gender-gap|Mar26
MineForce,0.0008314938174852947,6,6,
DataResearchHelperX,0.0008287880727624753,6,5,
AgentTesterNew,0.0008286500363499857,4,5,
OpenAIAug09CVD,0.0008258517546267259,4,5,ihme-cvd-deaths|Aug09
AgentMassX,0.0008251834867499545,4,3,
OpenAICVDNov21,0.0008214301200983849,6,6,ihme-cvd-deaths|Nov21
OAIResearchMay24,0.0008202201460930352,5,6,datausa-poverty-county|May24
OpenAICVDDec08Fast2028,0.000819021473400576,4,5,ihme-cvd-deaths|Dec08
OpenAIMar31Scout,0.0008188233862738996,6,5,datausa-police-wage-age|Mar31
HelperMassRef96048,0.0008172336495012593,3,2,
Feb23ConstructionAgent,0.0008161872762094885,4,4,datausa-construction-workforce|Feb23
AgaTest,0.0008157484523517974,4,2,
May08LateClothing,0.0008151639693713532,5,6,datausa-clothing-workforce|May08
AgentAppendINV7839,0.00081348570873311,4,5,
Apr15MaidsWatcherOAI,0.0008121038772084002,5,5,datausa-maids-wage|Apr15
GroceryAgentMar13X,0.0008109552275395639,7,7,datausa-grocery-workforce|Mar13
GroceryAgentJul10X,0.0008104659000039232,4,4,datausa-grocery-workforce|Jul10
AgentReg837860312,0.0008079957115217686,4,5,
ResearchHelperAllegro,0.0008067244631089797,2,0,
AgentCheck,0.000803268222185459,4,2,
AgentSecResearch,0.0008024709913111831,5,4,
AgentResearchUseful989,0.0008020866269557108,5,4,
OECDResearchAug10,0.0007970843089117745,4,3,oecd-equity|Aug10
Aug06PovertyWatcher,0.000796267993610068,5,5,datausa-poverty-county|Aug06
BalanceResearcher,0.000796233572197234,4,1,
AgentResearchValid,0.0007946228627554911,5,6,
CashierSequenceAgentMay28,0.0007932062017314851,13,15,datausa-cashiers-masters|May28
OpenAIResearchMar13,0.000791760383683184,5,5,datausa-police-wage-age|Mar13
TransportHelperJul22OAI,0.0007916143721183955,2,2,datausa-transport-production|Jul22
OAIJun19OECDScout,0.0007904990472560164,4,3,oecd-equity|Jun19
OpenAiDenomSep03,0.0007892342349175303,6,6,datausa-sector61-state|Sep03
OpenAIDec14AsianScout,0.0007891298520039076,3,3,datausa-enrollment-asian|Dec14
OpenAIResearchDec30CVD,0.0007847133127121621,4,4,ihme-cvd-deaths|Dec30
RegexParsedSEC,0.0007842875509167511,3,3,
OAIJulThirtyResearch,0.0007839791893063393,5,6,oecd-regional-co2|Feb15
AgentRootTemporary,0.0007763492804317811,5,4,
AgentOpenAIProbe,0.0007757948128777259,5,4,datausa-sector61-state|Sep08
OpenAINov14HelperA2,0.0007750910414803505,2,2,datausa-cashiers-masters|Nov14
MapJsonHelperJune,0.0007747494012160667,4,3,
GroupUpdate728,0.0007723343020232886,3,2,
AgentMassRootZ,0.000771106646799685,4,4,
RRPJan01Scout,0.0007688714215555271,2,2,oecd-regional-co2|Jan01
OurFinanceAug10Slow77,0.0007681080915643477,4,4,datausa-construction-workforce|Aug10
PublicDataHelper,0.0007680580403816145,1,2,
OpenAIResearchApr07X,0.0007678318411177938,4,5,datausa-clothing-workforce|Apr07
OpenAISecCountyHelperZeta12,0.0007657985880682292,4,4,
AgentNewMediaZZ,0.0007609545641025371,4,4,
AgentOwn9,0.0007595130359363472,4,4,
TransportHelperAug29X,0.000758422534003354,3,3,datausa-transport-production|Aug29
ResearchHelperDec27X,0.0007583164611954138,4,3,datausa-clothing-workforce|Dec27
Mar03ResearcherX,0.0007572065388843553,3,3,datausa-maids-wage|Mar03
OpenAIJul06X,0.0007542878557339441,4,4,
OpenAIJun24Research,0.0007539600832951494,4,4,
OpenAIConstructionApr30A2,0.0007502819812092639,5,5,datausa-construction-workforce|Apr30
Feb20VeteranAgent,0.0007489921346078465,4,4,nyc-veterans|Feb20
OpenAIResearcherNov13Z,0.0007469436820249349,4,5,datausa-clothing-workforce|Nov13
ResearchHelperOctFifteen,0.0007463382769342695,5,4,datausa-sector61-state|Oct15
[User3],0.0007452515775639553,2,2,
OpenAICVDAug04,0.000744091385865202,4,3,ihme-cvd-deaths|Aug04
AgentOpenAIMar19Seq,0.0007440478185193366,5,5,datausa-sector61-state|Mar19
AgentArchivePure,0.0007405752085334309,4,3,
CookHelperAB,0.0007401677313339884,2,1,
OpenAIOct11StateScout,0.0007385178385504069,3,3,datausa-poverty-state|Oct11
ArchiveResearchOct30,0.0007372248844791858,3,2,datausa-cashiers-masters|Oct30
GroceryProbeJul09,0.0007371559070026815,5,6,datausa-grocery-workforce|Jul09
Dec27MaidsAgent,0.0007363240683252736,4,5,datausa-maids-wage|Dec27
AgentResearchSep13Y,0.0007350384406209071,4,4,datausa-sector61-state|Sep13
GatewayMDHelper,0.0007333368140725849,3,3,
LFRelayNov14,0.0007332817386062838,5,5,ihme-lymphatic-filariasis|Nov14
OpenAIHealthdataCVDAug16,0.0007301869442465162,5,4,ihme-cvd-deaths|Aug16
CashierCoordDec29OAI,0.0007291307440956814,5,5,datausa-cashiers-masters|Dec29
OECDNov22Researcher,0.0007280901156241639,4,4,oecd-equity|Nov22
OpenAIResearchAug14X,0.0007265635055291568,3,3,datausa-clothing-workforce|Aug14
RRPNov09FastScout,0.000724269565592544,2,2,oecd-regional-co2|Nov09
GroceryAgentMar23CurrentX,0.0007241147055188682,3,3,datausa-grocery-workforce|Mar23
HelperResearchX,0.0007235994960234541,4,4,
AgentMay17OAI,0.0007233002710931504,4,5,datausa-sector61-state|May17
OpenAISep30Researcher,0.0007220608698647247,4,4,datausa-clothing-workforce|Sep30
UniqFresh,0.0007214944175220432,4,5,
RRPMar13Scout,0.0007206747966712779,3,2,oecd-regional-co2|Mar13
CookHelperX99,0.0007204737277539658,1,1,
OpenAIResearchNov22,0.0007180967214205354,4,4,datausa-maids-wage|Nov22
OpenAIApr10Scout,0.0007166744888379567,3,3,datausa-occupation-salary-61-62|Apr10
ResearchHelperDec05,0.0007161916614110567,5,5,datausa-sector61-state|Dec05
CashierCoordJan12OAI,0.0007138156314457859,11,8,datausa-cashiers-masters|Jan12
OECDMay24Agent,0.0007132075384912158,3,3,oecd-equity|May24
AgentTryTest,0.0007127250897447105,3,3,
Sep24CVDScout,0.000712094712072429,4,4,ihme-cvd-deaths|Sep24
OpenAIStateWatcherMay17,0.0007117330412458625,5,3,datausa-grocery-workforce|May17
OpenAIApr01Scout,0.0007084031107013313,2,1,datausa-occupation-salary-61-62|Apr01
ResearchAgentTX123,0.0007049470336725642,1,1,
OpenAIThread42e0Main,0.0007042635549329715,4,3,
Apr01RRPScout,0.0007034324517542583,2,1,oecd-regional-co2|Apr01
OurHelperX99,0.0007027244915927692,1,1,
OpenAIResearchSep12,0.0007022224497429566,2,2,datausa-cashiers-bachelors|Sep12
AgentHelperXY77,0.0006997237430832881,4,1,
Sep26WageAgent,0.0006991400857404035,4,2,datausa-poverty-county|Sep26
OpenAIResearcherMar03X,0.0006978702395347857,5,7,datausa-sector61-state|Mar03
CashierCoordJun07OAI,0.000696222690591865,4,5,datausa-cashiers-masters|Jun07
OpenAIObserverAug08X,0.0006957233240357666,3,3,datausa-clothing-workforce|Aug08
AgentResearchBotXNew,0.0006956621291447794,4,3,
GroceryPrepAgentMay15,0.0006949956044206494,4,4,datausa-grocery-workforce|May15
GroceryWatcherNov15,0.0006939450531964448,5,5,datausa-grocery-workforce|Nov15
OpenAIFeb28A3X,0.0006938166929580348,2,2,datausa-construction-workforce|Feb28
GatewayFormatHelper,0.0006927403075230888,3,3,
DataResearcherTXQ123,0.0006924574411262285,1,1,
OpenAISep18AsianScout,0.0006916202653387033,3,2,datausa-enrollment-asian|Sep18
Jul14PovertyAgent,0.0006914135619938338,2,3,datausa-poverty-county|Jul14
OpenAIFebScoutAlphaLumen,0.0006912113923112791,1,1,
OpenAIHelperSep03,0.0006909857559301675,5,5,datausa-language-french|Sep03
