label,ip16,erste_version,lesekontakt_vor_schreiben,abstand_min
AgentAug23OAI,64.236,2026-06-16 20:47:56+00:00,True,33655.6
AgentAug25OAI,20.12,2026-06-16 19:29:26+00:00,True,30596.05
AgentAug27OAI,20.9,2026-06-16 19:40:34+00:00,True,30724.433333333334
AgentAwesomeXYZ,4.151,2026-06-18 16:45:48+00:00,True,13915.883333333333
AgentBCDWrap6917,20.80,2026-06-18 18:52:09+00:00,True,36419.85
AgentBFx2026,52.159,2026-06-08 03:46:40+00:00,False,
AgentBrandNewProxyUUU,52.159,2026-06-18 18:31:10+00:00,False,
AgentBridge1025738,20.83,2026-06-17 21:38:47+00:00,False,
AgentBridgeFast,172.173,2026-06-18 19:51:06+00:00,False,
AgentBridgeHelper4061,20.163,2026-06-16 19:12:25+00:00,True,12416.516666666666
AgentBridgeNoProto807843,20.165,2026-06-18 18:37:29+00:00,True,36405.066666666666
AgentBridgeResearch42,57.154,2026-06-16 20:00:11+00:00,False,
AgentBridgeUserXYZ,130.131,2026-06-18 18:40:14+00:00,False,
AgentBridgeX11933,20.110,2026-06-17 00:56:24+00:00,False,
AgentBridgeX77140,20.80,2026-06-17 02:07:22+00:00,True,33975.066666666666
AgentBridgeX92183,64.236,2026-06-17 02:46:26+00:00,True,34014.1
AgentBudgetHelpQX2,57.154,2026-05-26 16:55:21+00:00,False,
AgentBudgetHelpQX3,135.119,2026-05-26 16:57:32+00:00,False,
AgentCCLinkX,52.225,2026-06-18 21:00:49+00:00,False,
AgentCache2669304,104.43,2026-06-18 11:10:44+00:00,True,32872.85
AgentCacheHelperOfficial991,52.190,2026-06-18 18:01:11+00:00,False,
AgentCacheNavigator88431,52.162,2026-06-18 17:58:55+00:00,False,
AgentCalcHelperXYZ,20.88,2026-06-22 02:41:01+00:00,False,
AgentCallor,130.131,2026-06-01 23:42:37+00:00,False,
AgentCarl404,20.165,2026-06-18 17:14:00+00:00,True,36321.583333333336
AgentCashierResearchX,4.255,2026-06-16 09:49:23+00:00,True,29961.733333333334
AgentCatalogLibraryHelperM,20.225,2026-05-28 14:57:54+00:00,False,
AgentChain46575158,4.154,2026-06-18 16:38:16+00:00,False,
AgentCharlExtra879,20.69,2026-05-28 13:58:57+00:00,False,
AgentCharlXra595,20.245,2026-05-28 13:03:06+00:00,False,
AgentCharlXzz,20.69,2026-05-28 13:37:32+00:00,False,
AgentCharlestonNewsletterJan1951Links,20.12,2026-06-18 17:49:19+00:00,True,33375.933333333334
AgentCharlestonResearch,52.161,2026-06-11 14:43:35+00:00,True,23056.233333333334
AgentCheck,40.75,2026-06-18 20:09:46+00:00,False,
AgentCitDataUSAX,13.78,2026-06-08 04:42:05+00:00,False,
AgentCitDataUSAY,130.131,2026-06-11 12:53:24+00:00,False,
AgentCitation900,57.154,2026-05-30 22:10:18+00:00,False,
AgentCitation902,20.245,2026-05-30 22:16:10+00:00,False,
AgentCitationFinal,20.115,2026-06-18 19:17:25+00:00,False,
AgentCitationHelper2026,20.66,2026-05-28 15:43:08+00:00,False,
AgentCitationHelper805505,20.114,2026-06-18 17:58:27+00:00,True,33447.63333333333
AgentCitationPumsZZ4,20.114,2026-06-08 03:43:33+00:00,True,18192.733333333334
AgentCitationRootX123,20.112,2026-06-11 14:23:56+00:00,False,
AgentCitationWork1782110565,20.168,2026-06-22 06:42:48+00:00,True,4734.133333333333
AgentCitesNewRando,20.3,2026-06-18 16:40:57+00:00,False,
AgentClarkCitationHelper,40.70,2026-06-01 13:12:54+00:00,True,11600.783333333333
AgentClarkCitationHelper2,20.171,2026-06-01 13:22:03+00:00,False,
AgentClarkCite,20.165,2026-06-07 04:55:32+00:00,True,19743.116666666665
AgentClarkEcoResearchABC,20.228,2026-06-01 14:33:19+00:00,False,
AgentClarkHelperQ90331,4.255,2026-06-01 14:37:40+00:00,True,8650.016666666666
AgentClarkResearch88912,20.12,2026-06-01 15:00:48+00:00,True,8727.416666666666
AgentClarkUsable88912,57.154,2026-06-01 14:56:58+00:00,False,
AgentCleanMD,52.242,2026-06-18 20:34:44+00:00,True,33407.36666666667
AgentCmp13,20.29,2026-06-18 21:04:54+00:00,False,
AgentCombWelcome,104.42,2026-06-18 18:41:00+00:00,True,27038.216666666667
AgentCombinedMDDirectSEC9999,40.124,2026-06-22 02:34:39+00:00,False,
AgentCombinedShort999,20.171,2026-06-18 20:47:49+00:00,False,
AgentComp,20.237,2026-06-18 19:50:51+00:00,True,33459.65
AgentCompSciResearch,157.56,2026-06-21 07:27:13+00:00,False,
AgentCookAgeData,20.171,2026-06-22 02:52:11+00:00,False,
AgentCookDataHelper928,157.56,2026-06-21 23:57:37+00:00,False,
AgentCookHelper,4.154,2026-06-22 02:51:52+00:00,False,
AgentCookHelperHome,20.59,2026-06-22 02:52:33+00:00,False,
AgentCookHelperXYZ,20.163,2026-06-22 03:26:43+00:00,True,20110.816666666666
AgentCookLink,20.165,2026-06-22 03:05:19+00:00,True,4519.666666666667
AgentCookResearch,20.168,2026-06-22 02:39:10+00:00,True,4490.5
AgentCookResearchX1782096079,20.225,2026-06-22 02:41:21+00:00,False,
AgentCookResearchXYZ,57.154,2026-06-22 02:38:26+00:00,True,4849.016666666666
AgentCookie,20.230,2026-06-18 21:00:38+00:00,False,
AgentCooksResearchX,20.165,2026-06-22 02:43:12+00:00,True,4497.55
AgentCoolerValueCiteFin2026,20.12,2026-06-08 04:21:08+00:00,True,18167.75
AgentCorr5397416,40.65,2026-06-18 20:40:20+00:00,False,
AgentCorr9658692,52.165,2026-06-18 20:40:14+00:00,True,36527.98333333333
AgentCorrectCookie,20.171,2026-06-22 03:19:53+00:00,False,
AgentCorsZZ,104.43,2026-05-29 23:11:11+00:00,True,4793.3
AgentCountyDirectLink573,20.171,2026-06-18 18:58:04+00:00,False,
AgentCountyHelper4567,20.9,2026-06-18 18:23:40+00:00,True,33527.53333333333
AgentCountyHelper732,104.210,2026-06-18 19:06:11+00:00,True,33373.51666666667
AgentCountyHelper905,20.172,2026-06-18 18:27:38+00:00,True,33415.95
AgentCountyMapHelper,20.168,2026-06-18 18:24:58+00:00,True,36392.78333333333
AgentCountyVariant0,20.168,2026-06-18 18:28:16+00:00,True,36396.083333333336
AgentCreateNew,168.62,2026-06-18 19:43:20+00:00,False,
AgentCustom007,20.245,2026-06-18 18:50:34+00:00,False,
AgentCustom008,20.225,2026-06-18 19:56:49+00:00,False,
AgentCustom009,172.202,2026-06-18 21:10:11+00:00,True,33446.38333333333
AgentDPLARefAgentZQ,20.65,2026-05-28 15:41:20+00:00,False,
AgentDPLARefAgentZQX,135.119,2026-05-28 16:16:58+00:00,False,
AgentDPLAUnique91,130.131,2026-05-28 15:29:44+00:00,False,
AgentData,20.165,2026-06-11 10:08:24+00:00,True,25815.983333333334
AgentDataHelper,20.69,2026-06-16 18:40:10+00:00,False,
AgentDataHelper1781899046,20.62,2026-06-19 19:57:30+00:00,True,1213.8
AgentDataHelperX,20.168,2026-06-18 17:36:50+00:00,True,36344.65
AgentDataJune18A55,20.228,2026-06-18 16:46:02+00:00,False,
AgentDataLookup,4.236,2026-06-16 18:19:58+00:00,False,
AgentDataPrep73794077,52.162,2026-06-16 18:49:25+00:00,False,
AgentDataProbe,23.100,2026-06-17 16:29:19+00:00,False,
AgentDataResearcher,20.69,2026-06-17 02:02:58+00:00,False,
AgentDataUSAHelper,20.83,2026-06-16 09:47:15+00:00,False,
AgentDataUSAResearchX,20.12,2026-06-16 08:04:23+00:00,True,29911.0
AgentDataUSATestNov2026,4.255,2026-06-16 20:19:31+00:00,True,30591.866666666665
AgentDec14LanguageX,20.171,2026-06-17 01:51:43+00:00,False,
AgentDirectSEC4992,132.196,2026-06-18 18:47:55+00:00,False,
AgentDonUpd8552,20.168,2026-06-18 18:37:32+00:00,True,36405.35
AgentEconCitationTestX22,20.114,2026-06-01 14:08:44+00:00,True,8737.916666666666
AgentEconMemBridgeRF89,20.97,2026-06-01 14:22:58+00:00,True,8652.75
AgentEconMemVarA928,20.171,2026-06-01 14:28:28+00:00,False,
AgentEconMemVarB929,135.232,2026-06-01 14:32:11+00:00,True,8712.85
AgentEconYY9281,20.169,2026-06-01 14:09:31+00:00,False,
AgentEdit261878409,4.255,2026-06-18 16:19:15+00:00,True,33231.6
AgentEdit32584860,20.83,2026-06-18 16:18:53+00:00,False,
AgentEdit445553015,4.150,2026-06-18 16:20:29+00:00,False,
AgentEightJune,128.203,2026-06-18 18:20:23+00:00,False,
AgentExactJQP22,4.227,2026-06-18 19:12:11+00:00,False,
AgentExactJQP43,20.69,2026-06-18 19:10:50+00:00,False,
AgentExactJQP98,104.42,2026-06-18 19:12:44+00:00,True,27069.95
AgentExactNext1779870549,20.83,2026-05-27 08:29:14+00:00,False,
AgentFeb15Current,20.168,2026-06-16 20:56:22+00:00,True,33664.183333333334
AgentFilter1782110922,20.165,2026-06-22 06:48:45+00:00,True,4743.1
AgentFinalComb,52.234,2026-06-18 18:38:08+00:00,False,
AgentFinalSourceMD5003,20.172,2026-06-22 02:44:47+00:00,True,38233.1
AgentFinalZ,20.230,2026-06-18 19:54:21+00:00,False,
AgentFinanceAnalyst,20.80,2026-06-08 03:50:02+00:00,True,21117.733333333334
AgentFitLines,4.227,2026-06-18 19:27:26+00:00,False,
AgentFiveResearch,20.172,2026-06-16 09:18:07+00:00,True,29986.433333333334
AgentFix007,20.230,2026-06-18 19:21:29+00:00,False,
AgentFix9358,20.171,2026-06-16 20:19:04+00:00,False,
AgentFlow1779871603,40.64,2026-05-27 08:46:48+00:00,False,
AgentFmt146609906,20.168,2026-06-18 19:22:08+00:00,True,36449.95
AgentFoo,52.159,2026-06-16 21:50:57+00:00,False,
AgentFoo125409,20.172,2026-06-18 18:27:12+00:00,True,33415.51666666667
AgentFoo401299,40.75,2026-06-18 18:23:06+00:00,False,
AgentFoo999,20.114,2026-06-18 19:00:02+00:00,True,33509.21666666667
AgentFooBar,20.69,2026-05-28 19:40:02+00:00,False,
AgentForce,135.232,2026-06-18 20:01:26+00:00,True,33522.1
AgentForceRoot10,52.165,2026-06-18 19:40:06+00:00,True,36467.85
AgentFre6417252,57.154,2026-06-18 20:27:35+00:00,True,158.16666666666666
AgentFrenchData,20.225,2026-06-16 22:28:26+00:00,False,
AgentFrenchPrepXQ29,20.165,2026-06-16 22:38:25+00:00,True,33766.0
AgentFrenchVerifier,20.110,2026-06-17 06:39:40+00:00,False,
AgentFreshBridgeUser,135.232,2026-06-17 03:14:56+00:00,True,31075.6
AgentFreshHelp,20.172,2026-06-11 05:13:06+00:00,True,22541.416666666668
AgentFullJuly99,20.59,2026-06-18 19:00:38+00:00,False,
AgentGGadd,20.171,2026-06-18 21:07:00+00:00,False,
AgentGammaDelta,135.119,2026-06-18 18:27:52+00:00,False,
AgentGatewayEdit,20.169,2026-06-18 20:07:53+00:00,False,
AgentGen93000,20.9,2026-06-18 21:13:44+00:00,True,33697.6
AgentGen94000,4.151,2026-06-18 21:15:09+00:00,True,14185.233333333334
AgentGen95000,20.88,2026-06-18 21:16:27+00:00,False,
AgentGen96000,20.165,2026-06-18 21:18:05+00:00,True,36565.666666666664
AgentGet007,20.29,2026-06-18 18:32:35+00:00,False,
AgentGet008,20.171,2026-06-18 18:44:09+00:00,False,
AgentGetSaveTesterXQ,20.97,2026-06-16 19:52:35+00:00,True,30582.366666666665
AgentGetUser,20.97,2026-06-18 18:24:08+00:00,True,33373.916666666664
AgentGoodMDQueries999,4.255,2026-06-18 20:23:22+00:00,True,33475.71666666667
AgentGroceryResearchX,20.230,2026-06-16 07:52:15+00:00,False,
AgentGtry,20.29,2026-06-18 20:45:45+00:00,False,
AgentHHShort,20.225,2026-06-18 21:08:54+00:00,False,
AgentHack,20.45,2026-06-18 19:30:59+00:00,False,
AgentHelper,20.110,2026-06-18 20:09:34+00:00,False,
AgentHelper007,20.69,2026-06-18 18:53:12+00:00,False,
AgentHelper1781888228419944699,132.196,2026-06-19 16:57:10+00:00,False,
AgentHelper1781888280369788825,52.162,2026-06-19 16:58:02+00:00,False,
AgentHelper1781888458169494421,4.154,2026-06-19 17:01:00+00:00,False,
AgentHelper923,4.227,2026-05-29 23:13:10+00:00,False,
AgentHelperAlpha,20.45,2026-06-17 16:18:44+00:00,False,
AgentHelperBot,172.185,2026-06-22 02:59:41+00:00,False,
AgentHelperBridgeZ777,20.97,2026-06-18 17:49:51+00:00,True,33339.63333333333
AgentHelperJulyUnique77,20.168,2026-06-18 18:51:56+00:00,True,36419.75
AgentHelperQZ,20.12,2026-05-29 22:25:32+00:00,True,4852.15
AgentHelperTwo,20.165,2026-06-18 19:33:11+00:00,True,36460.76666666667
AgentHelperUniqueXYZ,135.232,2026-06-22 02:45:00+00:00,True,38245.666666666664
AgentHelperWikiABC,20.45,2026-05-26 11:28:57+00:00,False,
AgentHelperXY,20.65,2026-06-22 02:51:50+00:00,False,
AgentHelperXY77,20.9,2026-06-22 02:52:59+00:00,True,38356.85
AgentHelperXYZ,20.110,2026-06-17 01:46:52+00:00,False,
AgentHelperXYZ7788,20.165,2026-06-18 17:52:25+00:00,True,36360.0
AgentHexSlicesJun22,20.88,2026-06-18 19:12:09+00:00,False,
AgentInspectPrefsX,20.57,2026-06-16 23:36:08+00:00,False,
AgentJHomeQQ,4.155,2026-06-18 18:48:34+00:00,False,
AgentJJ,20.64,2026-06-18 19:10:08+00:00,True,10920.966666666667
AgentJSLink12,4.227,2026-06-18 20:10:28+00:00,False,
AgentJan19Helper,4.246,2026-06-17 06:07:27+00:00,False,
AgentJan31OAI,20.171,2026-06-16 19:38:30+00:00,False,
AgentJulyUser,20.172,2026-06-18 18:54:07+00:00,True,33442.433333333334
AgentJun20OAI2028,20.114,2026-06-16 20:39:57+00:00,True,30729.133333333335
AgentJunJSProxy,20.9,2026-06-18 20:35:30+00:00,True,33659.36666666667
AgentJune20AA,52.190,2026-06-18 19:40:38+00:00,False,
AgentJune21Prep,20.80,2026-06-16 19:42:24+00:00,True,33590.1
AgentJune25OAI,4.151,2026-06-16 19:32:49+00:00,True,11202.9
AgentLibraryHelperAZero,20.165,2026-05-28 15:23:31+00:00,True,5971.1
AgentLink007,52.162,2026-06-18 18:35:56+00:00,False,
AgentLink41082234,4.155,2026-06-18 21:24:09+00:00,False,
AgentLink53225076,20.69,2026-06-18 21:01:12+00:00,False,
AgentLink58937521,20.165,2026-06-18 21:21:14+00:00,True,36568.816666666666
AgentLink66852449,20.165,2026-06-18 21:04:39+00:00,True,36552.23333333333
AgentLink7016776,52.242,2026-06-18 18:41:37+00:00,True,33294.25
AgentLinkFresh,20.110,2026-06-18 20:57:21+00:00,False,
AgentLinkHelper1781634923,57.154,2026-06-16 18:35:25+00:00,False,
AgentLinkHelper1781638380,20.168,2026-06-16 19:33:02+00:00,True,33580.85
AgentLinkHelper1781638412,20.110,2026-06-16 19:33:33+00:00,False,
AgentLinkHelper1781638451,20.172,2026-06-16 19:34:14+00:00,True,30602.55
AgentLinkHelper1781638457,20.9,2026-06-16 19:34:19+00:00,True,30718.183333333334
AgentLinkHelper1781638462,20.29,2026-06-16 19:34:24+00:00,False,
AgentLinkHelper1781638466,4.255,2026-06-16 19:34:28+00:00,True,30546.816666666666
AgentLinkHelper1781638494,20.12,2026-06-16 19:34:56+00:00,True,30601.55
AgentLinkJuneSec,20.69,2026-06-18 18:50:07+00:00,False,
AgentLinkMaker1781634720,20.165,2026-06-16 18:32:03+00:00,True,33519.63333333333
AgentLinkMakerTest,4.255,2026-06-18 19:14:04+00:00,True,33406.416666666664
AgentLinkProxy,20.169,2026-06-11 10:22:32+00:00,False,
AgentLinkUniq,4.255,2026-06-18 19:19:23+00:00,True,33411.73333333333
AgentLinker,20.114,2026-06-18 19:59:49+00:00,True,33569.0
AgentLinkerAA,157.55,2026-06-18 18:51:42+00:00,True,27430.916666666668
AgentLinkerZZ,20.65,2026-06-18 20:37:16+00:00,False,
AgentLinkma21JuneAA,20.237,2026-06-18 18:22:47+00:00,True,33371.583333333336
AgentLinks50360630,4.255,2026-06-18 19:34:27+00:00,True,33426.8
AgentLocatorCitXYZ550,128.203,2026-06-11 14:52:44+00:00,False,
AgentLocatorThreeCitationXYZ,20.65,2026-06-11 17:30:12+00:00,False,
AgentLoopMergeShortUL,20.65,2026-06-18 18:24:49+00:00,False,
AgentM72649589,20.12,2026-06-18 16:45:07+00:00,True,33311.73333333333
AgentMAalloriginsNow777,132.196,2026-06-18 19:24:52+00:00,False,
AgentMD,52.242,2026-06-18 19:53:33+00:00,True,33366.183333333334
AgentMD308586,4.151,2026-06-18 19:48:52+00:00,True,14098.95
AgentMDEncodedFresh999,20.245,2026-06-18 20:15:11+00:00,False,
AgentMDLNotes,135.119,2026-05-30 19:52:17+00:00,False,
AgentMDPrettyNewResearch,20.83,2026-06-18 19:59:18+00:00,False,
AgentMNDigitalfvh,20.114,2026-05-30 17:40:19+00:00,True,6069.5
AgentManual007,20.66,2026-06-18 20:20:33+00:00,False,
AgentMapCite8x,4.255,2026-06-18 20:06:26+00:00,True,33458.78333333333
AgentMapOverwrite999,4.227,2026-06-18 19:35:56+00:00,False,
AgentMapReal999,20.9,2026-06-18 19:12:42+00:00,True,33576.566666666666
AgentMapper,137.116,2026-06-22 08:37:05+00:00,False,
AgentMarkdownNewsXYZ,40.75,2026-06-18 18:15:55+00:00,False,
AgentMarkdownNoProto807627,52.165,2026-06-18 18:33:51+00:00,True,36401.6
AgentMass,20.12,2026-06-18 21:14:57+00:00,True,33581.566666666666
AgentMass0,20.122,2026-06-18 20:22:41+00:00,False,
AgentMass007,20.168,2026-06-18 16:46:55+00:00,True,36294.73333333333
AgentMass2,20.225,2026-06-18 20:21:33+00:00,False,
AgentMass3,20.242,2026-06-18 20:21:48+00:00,False,
AgentMass4,20.83,2026-06-18 20:45:05+00:00,False,
AgentMass77221,20.29,2026-06-18 20:48:41+00:00,False,
AgentMassAppend,20.169,2026-06-18 21:09:45+00:00,False,
AgentMassAppend4012,20.65,2026-06-18 18:11:52+00:00,False,
AgentMassAppend406,20.12,2026-06-18 18:30:43+00:00,True,33417.333333333336
AgentMassAppendNamesJunX,104.42,2026-06-18 21:09:14+00:00,True,27186.45
AgentMassCitations,20.165,2026-06-18 18:25:50+00:00,True,36393.416666666664
AgentMassCite2026,20.110,2026-06-18 19:14:23+00:00,False,
AgentMassCiteJun19,57.154,2026-06-18 17:23:15+00:00,False,
AgentMassCustomFinal2026,4.151,2026-06-18 18:11:16+00:00,True,14001.35
AgentMassFinal13,20.122,2026-06-18 21:02:34+00:00,False,
AgentMassHelper,172.215,2026-06-18 19:15:24+00:00,False,
AgentMassHelper1781,20.66,2026-06-18 15:52:53+00:00,False,
AgentMassHelperStart,20.66,2026-06-18 18:20:11+00:00,False,
AgentMassHelperTest,4.236,2026-06-18 15:54:48+00:00,False,
AgentMassHelperX,52.161,2026-06-18 17:04:36+00:00,True,33277.25
AgentMassHelperXYZ,4.227,2026-06-18 17:50:06+00:00,False,
AgentMassJune20,20.62,2026-06-18 19:57:57+00:00,False,
AgentMassLinkSolveABC,23.100,2026-06-18 18:07:05+00:00,False,
AgentMassMapAdd,20.46,2026-06-18 18:58:03+00:00,False,
AgentMassMapHelper,20.12,2026-06-18 17:03:47+00:00,True,33330.4
AgentMassNewX,4.242,2026-06-18 20:48:34+00:00,False,
AgentMassPMBridge22,40.124,2026-06-18 19:35:46+00:00,False,
AgentMassPointer13,20.163,2026-06-18 21:11:56+00:00,True,15416.033333333333
AgentMassRefOctB,20.69,2026-06-18 19:51:15+00:00,False,
AgentMassRefUF155300,20.45,2026-06-18 19:52:28+00:00,False,
AgentMassResearchJuly,20.97,2026-06-22 02:56:43+00:00,True,4500.25
AgentMassResearcherMap,172.202,2026-06-18 21:04:20+00:00,True,33440.53333333333
AgentMassRoot,20.165,2026-06-18 20:34:47+00:00,True,36522.36666666667
AgentMassRoot10,52.241,2026-06-18 19:34:54+00:00,False,
AgentMassRootZ,20.80,2026-06-18 20:37:06+00:00,True,36524.8
AgentMassSecCitationJun19ZZ,20.69,2026-06-18 17:44:30+00:00,False,
AgentMassSecHelperAgain,20.230,2026-06-18 18:04:53+00:00,False,
AgentMassSecHelperLinkZZ,20.165,2026-06-18 18:07:33+00:00,True,36375.13333333333
AgentMassStartTry0,40.65,2026-06-18 18:11:56+00:00,False,
AgentMassStartTry3,4.255,2026-06-18 17:52:52+00:00,True,33325.21666666667
AgentMassUnique010,52.159,2026-06-18 19:40:51+00:00,False,
AgentMassUnique012,20.228,2026-06-18 20:57:49+00:00,False,
AgentMassUpdateSearchRef,4.255,2026-06-18 18:12:11+00:00,True,33344.53333333333
AgentMassValid,20.9,2026-06-18 20:49:35+00:00,True,33673.45
AgentMassX,20.165,2026-06-18 20:08:29+00:00,True,36496.066666666666
AgentMassY,135.119,2026-06-18 20:33:22+00:00,False,
AgentMassZZ,20.168,2026-06-18 19:04:42+00:00,True,36432.51666666667
AgentMassachusettsResearchUnique,20.80,2026-06-18 17:32:08+00:00,True,36339.833333333336
AgentMassachusettsResearcherJune19,20.225,2026-06-18 17:36:25+00:00,False,
AgentMay09GroceryScout,52.162,2026-06-16 21:12:57+00:00,False,
AgentMay13Research,4.149,2026-06-16 18:53:35+00:00,False,
AgentMay17OAI,20.228,2026-06-16 20:46:43+00:00,False,
AgentMedJ,20.69,2026-06-18 19:48:19+00:00,False,
