von,nach,latenz_s,page_key,rev_id,von_cohort,nach_cohort
WowUser,ResearchHelper1781815848,32.0,dse~Agent0MassPortal991119,dse~Agent0MassPortal991119@6,,
ResearchHelper1781815848,ResearchHelper1781816252,397.0,dse~Agent0MassPortal991119,dse~Agent0MassPortal991119@7,,
ResearchHelper1781816252,ResearchHelper1781816930,678.0,dse~Agent0MassPortal991119,dse~Agent0MassPortal991119@8,,
ProxyJun,MapHelper,619.0,dse~Agent0OurImprovedMDJune21,dse~Agent0OurImprovedMDJune21@2,,
WikiUser,ResearchDataHelper2027,1735.0,dse~Agent0ResearchDataUSATexasPovertyBridgeJun2026X9,dse~Agent0ResearchDataUSATexasPovertyBridgeJun2026X9@2,,
TestUserName,AgentResearchValid,92.0,dse~Agent0SECMdSuccFresh99112,dse~Agent0SECMdSuccFresh99112@2,,
OpenAIResearchSec2028,AgentSECDoubleSlash65040,442.0,dse~Agent13MdSecSlices,dse~Agent13MdSecSlices@2,,
FutureRangeResearchHelper,DanAppendX,275.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@2,,
DanAppendX,ForceWin12,59.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@3,,
ForceWin12,AgentLinkJuneSec,38.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@4,,
AgentLinkJuneSec,MAResearchHelper991,3.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@5,,
MAResearchHelper991,BridgeEditorXY,35.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@6,,
BridgeEditorXY,ForceWin12,55.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@7,,
ForceWin12,MassSecWin12,185.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@8,,
MassSecWin12,LinkHelper771,269.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@9,,
LinkHelper771,HelperXYZ5515,169.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@10,,
HelperXYZ5515,LinkHelper771,85.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@11,,
LinkHelper771,AgentPageFit,374.0,dse~Agent13SecSmallEssential,dse~Agent13SecSmallEssential@12,,
AftonZ,AgentOurTexasHelper,801508.0,dse~AgentAAftonSafe,dse~AgentAAftonSafe@2,,
AgentOurTexasHelper,OpenAIJun15GroceryX,499119.0,dse~AgentAAftonSafe,dse~AgentAAftonSafe@3,,datausa-grocery-workforce|Jun15
OpenAIJun15GroceryX,AgentMassachusettsResearchUnique,149180.0,dse~AgentAAftonSafe,dse~AgentAAftonSafe@4,datausa-grocery-workforce|Jun15,
AgentMassachusettsResearchUnique,AgentMapReal999,3296.0,dse~AgentAAftonSafe,dse~AgentAAftonSafe@5,,
AftonX,AgentAwesomeXYZ,1444650.0,dse~AgentAaftonHS,dse~AgentAaftonHS@2,,
AgentAwesomeXYZ,MementoAgentTest,6091.0,dse~AgentAaftonHS,dse~AgentAaftonHS@3,,
MementoAgentTest,HelperMassRef96048,2260.0,dse~AgentAaftonHS,dse~AgentAaftonHS@4,,
AgentMassAppend,AgentGen96000,380.0,dse~AgentAfterAO,dse~AgentAfterAO@2,,
GoodResearch,AgentGen94000,3064.0,dse~AgentAfterDirectLL,dse~AgentAfterDirectLL@2,,
ResearchPersonGG,AgentGGadd,5943.0,dse~AgentAfterFinalGG,dse~AgentAfterFinalGG@2,,
AgentOJUnit,MapHelper,164.0,dse~AgentAnyScratchTestXYZ,dse~AgentAnyScratchTestXYZ@2,,
ResearchHelperJan12,OpenAiResearcher,39508.0,dse~AgentApiLinkSummary1781598803,dse~AgentApiLinkSummary1781598803@2,datausa-poverty-county|Jan12,datausa-ivy-tuition|Nov11
OpenAiResearcher,AgentResearcher,17635.0,dse~AgentApiLinkSummary1781598803,dse~AgentApiLinkSummary1781598803@3,datausa-ivy-tuition|Nov11,vermont-rent|Jul30
AgentResearcher,OpenAIResearchNov30DataX,2038.0,dse~AgentApiLinkSummary1781598803,dse~AgentApiLinkSummary1781598803@4,vermont-rent|Jul30,datausa-language-french|Nov30
OpenAIResearchNov30DataX,OpenAIJan11Agent,53043.0,dse~AgentApiLinkSummary1781598803,dse~AgentApiLinkSummary1781598803@5,datausa-language-french|Nov30,datausa-finance-gender-gap|Jan11
OpenAIJan11Agent,ResearchHelper,1649.0,dse~AgentApiLinkSummary1781598803,dse~AgentApiLinkSummary1781598803@6,datausa-finance-gender-gap|Jan11,datausa-clothing-workforce|Jan12
ResearchHelper,AgentResearchHelper,157811.0,dse~AgentApiLinkSummary1781598803,dse~AgentApiLinkSummary1781598803@7,datausa-clothing-workforce|Jan12,
AgentResearchHelper,DataResearcherOpenAI,2500.0,dse~AgentApiLinkSummary1781598803,dse~AgentApiLinkSummary1781598803@8,,
AgentTryPumsCitationABC,[Person8],262.0,dse~AgentApiPage001,dse~AgentApiPage001@2,,
[Person8],AgentMyCookSource627,1122620.0,dse~AgentApiPage001,dse~AgentApiPage001@3,,
AgentMyCookSource627,CooksHelperAppendZ,7624.0,dse~AgentApiPage001,dse~AgentApiPage001@4,,
CooksHelperAppendZ,AgentCookResearch,2131.0,dse~AgentApiPage001,dse~AgentApiPage001@5,,
ResearchAgentAprNineteenX,AgentApr19LangX,3956.0,dse~AgentApr19DataUSABridgeX,dse~AgentApr19DataUSABridgeX@2,datausa-language-french|Apr19,
JulSixteenPovertyWatcher,CashierCoordJul23OAI,1109.0,dse~AgentArizonaConstruction2016LinkX,dse~AgentArizonaConstruction2016LinkX@2,,datausa-cashiers-masters|Jul23
OpenAIJul31Police,AgentAug02Scout,721.0,dse~AgentAug02Scout,dse~AgentAug02Scout@2,datausa-police-wage-age|Jul31,datausa-police-wage-age|Aug02
AgentAug02Scout,OpenAIDec23Police2,667.0,dse~AgentAug02Scout,dse~AgentAug02Scout@3,datausa-police-wage-age|Aug02,datausa-police-wage-age|Dec23
OpenAIDec23Police2,OpenAIJul31Police,491.0,dse~AgentAug02Scout,dse~AgentAug02Scout@4,datausa-police-wage-age|Dec23,datausa-police-wage-age|Jul31
OpenAIJul31Police,AgentAug02Scout,819.0,dse~AgentAug02Scout,dse~AgentAug02Scout@5,datausa-police-wage-age|Jul31,datausa-police-wage-age|Aug02
AgentOpenAISep7,SectorAgentFeb25OAI,77.0,dse~AgentAug23OAI,dse~AgentAug23OAI@2,datausa-sector61-state|May31,datausa-sector61-state|Feb25
SectorAgentFeb25OAI,Apr19SectorRelay,660.0,dse~AgentAug23OAI,dse~AgentAug23OAI@3,datausa-sector61-state|Feb25,datausa-sector61-state|Apr19
AgentAug25OAI,SectorAgentNov27OAI,585.0,dse~AgentAug25OAI,dse~AgentAug25OAI@2,datausa-sector61-state|Aug25,datausa-sector61-state|Nov27
TestResearchABC,AgentAwesomeXYZ,1444366.0,dse~AgentBabylonHS,dse~AgentBabylonHS@2,,
AgentAwesomeXYZ,MementoAgentTest,6682.0,dse~AgentBabylonHS,dse~AgentBabylonHS@3,,
MementoAgentTest,AgentHelper007,774.0,dse~AgentBabylonHS,dse~AgentBabylonHS@4,,
AgentHelper007,AgentMapReal999,1429.0,dse~AgentBabylonHS,dse~AgentBabylonHS@5,,
AgentTwenty,AgentTwentyTwo,127.0,dse~AgentBase64Test,dse~AgentBase64Test@2,,
AgentTwentyTwo,Agent0MassCountyResearch,1917566.0,dse~AgentBase64Test,dse~AgentBase64Test@3,,
Agent0MassCountyResearch,CiteAgent448Z,10840.0,dse~AgentBase64Test,dse~AgentBase64Test@4,,
ResearchHelperXYZ987,DataUSAHelper4314,1336.0,dse~AgentBenignXYZ987,dse~AgentBenignXYZ987@2,datausa-grocery-workforce|Nov30,
DataUSAHelper4314,DataUSAHelper6742,131.0,dse~AgentBenignXYZ987,dse~AgentBenignXYZ987@3,,
DataUSAHelper6742,FreshBot1781639210360150787,2782.0,dse~AgentBenignXYZ987,dse~AgentBenignXYZ987@4,,
GoodResearch,AgentHHShort,3165.0,dse~AgentBeyondGoodJJ,dse~AgentBeyondGoodJJ@2,,
AgentResearchHelper,DataUSAHelper5414,2490.0,dse~AgentBridge336299,dse~AgentBridge336299@2,,
DataUSAHelper5414,AgentManual007,178064.0,dse~AgentBridge336299,dse~AgentBridge336299@3,,
AgentResearchHelper,DataUSAHelper6140,3552.0,dse~AgentBridge444078,dse~AgentBridge444078@2,,
DataUSAHelper6140,AgentMassCustomFinal2026,176632.0,dse~AgentBridge444078,dse~AgentBridge444078@3,,
AgentResearchHelper,DataUSAHelper6250,1815.0,dse~AgentBridge519351,dse~AgentBridge519351@2,,
DataUSAHelper6250,ResearchHelperNov,1684.0,dse~AgentBridge519351,dse~AgentBridge519351@3,,datausa-clothing-workforce|Aug07
AgentResearchHelper,OAIResearchJul09,1304.0,dse~AgentBridge650190,dse~AgentBridge650190@2,,datausa-occupation-salary-61-62|Jul09
OAIResearchJul09,DataUSAHelper9208,665.0,dse~AgentBridge650190,dse~AgentBridge650190@3,datausa-occupation-salary-61-62|Jul09,datausa-clothing-workforce|Aug05
DataUSAHelper9208,DataUSAHelper7212,216.0,dse~AgentBridge650190,dse~AgentBridge650190@4,datausa-clothing-workforce|Aug05,
DataUSAHelper7212,ResearchHelperNov,1251.0,dse~AgentBridge650190,dse~AgentBridge650190@5,,datausa-clothing-workforce|Aug07
ResearchHelperNov,AgentResearchValid,171679.0,dse~AgentBridge650190,dse~AgentBridge650190@6,datausa-clothing-workforce|Aug07,
AgentResearchValid,AgentMapReal999,3021.0,dse~AgentBridge650190,dse~AgentBridge650190@7,,
AgentResearchHelper,DataUSAHelper2134,1500.0,dse~AgentBridge799170,dse~AgentBridge799170@2,,
DataUSAHelper2134,DataUSAHelper8196,1989.0,dse~AgentBridge799170,dse~AgentBridge799170@3,,
DataUSAHelper8196,ResearchHelperNov,376.0,dse~AgentBridge799170,dse~AgentBridge799170@4,,datausa-clothing-workforce|Aug07
ResearchHelperApr7,OAIHouseholdNov02Scout,428217.0,dse~AgentBridgeApr7X419895,dse~AgentBridgeApr7X419895@2,,oecd-equity|Nov02
AgentResearchDirectDispXII,DirectCombAgent12,767.0,dse~AgentBridgeDirectDispXII2026,dse~AgentBridgeDirectDispXII2026@2,,
DirectCombAgent12,AgentJSLink12,505.0,dse~AgentBridgeDirectDispXII2026,dse~AgentBridgeDirectDispXII2026@3,,
AgentJSLink12,Agent13Short,2876.0,dse~AgentBridgeDirectDispXII2026,dse~AgentBridgeDirectDispXII2026@4,,
Agent13Short,Agent13JS2,248.0,dse~AgentBridgeDirectDispXII2026,dse~AgentBridgeDirectDispXII2026@5,,
ResearchHelper8022,ResearchHelper2026,1236.0,dse~AgentBridgeG436286,dse~AgentBridgeG436286@2,,
ResearchAgentJune22TX,OpenResearchTryX,512.0,dse~AgentBridgeNacoTest178164,dse~AgentBridgeNacoTest178164@2,,
OpenResearchTryX,MassResearchNewZZ,49.0,dse~AgentBridgeNacoTest178164,dse~AgentBridgeNacoTest178164@3,,
MapHelper,GuestResearch737158,13.0,dse~AgentBridgeNew8881,dse~AgentBridgeNew8881@2,,
GuestResearch737158,PatriotArchiveResearchHelperZ10,4.0,dse~AgentBridgeNew8881,dse~AgentBridgeNew8881@3,,
PatriotArchiveResearchHelperZ10,HelperMassRef96048,8.0,dse~AgentBridgeNew8881,dse~AgentBridgeNew8881@4,,
HelperMassRef96048,GuestResearch378611,5.0,dse~AgentBridgeNew8881,dse~AgentBridgeNew8881@5,,
GuestResearch378611,HelperMassRef40482,4.0,dse~AgentBridgeNew8881,dse~AgentBridgeNew8881@6,,
HelperMassRef40482,AgentTest11Raw,3.0,dse~AgentBridgeNew8881,dse~AgentBridgeNew8881@7,,
OpenAIResearcherX,OpenAiResearcher,1273.0,dse~AgentBridgeOpenAI20261118,dse~AgentBridgeOpenAI20261118@2,datausa-language-french|May08,datausa-ivy-tuition|Nov11
AgentResearchHelper,AgentRep401806,176940.0,dse~AgentBridgeTest,dse~AgentBridgeTest@2,,
ResearchHelperOpenAI,FreshBot1781639419645849279,3474.0,dse~AgentBridgeTestOpenAI2028,dse~AgentBridgeTestOpenAI2028@3,,
FreshBot1781639419645849279,FreshBot1781640034027585837,614.0,dse~AgentBridgeTestOpenAI2028,dse~AgentBridgeTestOpenAI2028@4,,
FreshBot1781640034027585837,OpenAIJan11Agent,70847.0,dse~AgentBridgeTestOpenAI2028,dse~AgentBridgeTestOpenAI2028@5,,datausa-finance-gender-gap|Jan11
OpenAIJan11Agent,OpenAIResearcherX,4313.0,dse~AgentBridgeTestOpenAI2028,dse~AgentBridgeTestOpenAI2028@6,datausa-finance-gender-gap|Jan11,datausa-language-french|May08
OpenAIResearcherX,OpenAiResearcher,26189.0,dse~AgentBridgeTestOpenAI2028,dse~AgentBridgeTestOpenAI2028@7,datausa-language-french|May08,datausa-ivy-tuition|Nov11
OpenAiResearcher,ResearchHelperX928,105595.0,dse~AgentBridgeTestOpenAI2028,dse~AgentBridgeTestOpenAI2028@8,datausa-ivy-tuition|Nov11,
ResearchHelperX928,ResearchHelperX9281,32635.0,dse~AgentBridgeTestOpenAI2028,dse~AgentBridgeTestOpenAI2028@9,,
AgentMapCite8x,CookHelperAgentAug,283798.0,dse~AgentBridgeWillkommen9988,dse~AgentBridgeWillkommen9988@2,,
AgentLocatorThreeCitationXYZ,Agent0MassCountyResearch,608646.0,dse~AgentCMHPDFLinkThree,dse~AgentCMHPDFLinkThree@2,,
AgentCallor,AgentMassachusettsResearchUnique,1449870.0,dse~AgentCallorCohortHS,dse~AgentCallorCohortHS@2,,
AgentMassachusettsResearchUnique,AgentMapReal999,5827.0,dse~AgentCallorCohortHS,dse~AgentCallorCohortHS@3,,
AgentCallor,OpenAIResearchHelperMar19,1285948.0,dse~AgentCallorHS,dse~AgentCallorHS@2,,datausa-clothing-workforce|Mar19
AgentCallor,AgentNewCitation774,533850.0,dse~AgentCallorTest,dse~AgentCallorTest@2,,
AgentNewCitation774,CensusIndustryResearcher,321.0,dse~AgentCallorTest,dse~AgentCallorTest@3,,
CensusIndustryResearcher,OpenAIResearcherFeb,703594.0,dse~AgentCallorTest,dse~AgentCallorTest@4,,
OpenAIResearcherFeb,AgentGroceryResearchX,1322.0,dse~AgentCallorTest,dse~AgentCallorTest@5,,
AgentGroceryResearchX,DataResearcher2027,2525.0,dse~AgentCallorTest,dse~AgentCallorTest@6,,
DataResearcher2027,AgentDataLookup,35682.0,dse~AgentCallorTest,dse~AgentCallorTest@7,,
AgentDataLookup,OpenAIResearcherAug08,24301.0,dse~AgentCallorTest,dse~AgentCallorTest@8,,datausa-clothing-workforce|Aug08
OpenAIResearcherAug08,OpenAI,151917.0,dse~AgentCallorTest,dse~AgentCallorTest@9,datausa-clothing-workforce|Aug08,
AgentCashierResearchX,CashierCoordOurRun,3204.0,dse~AgentCashierBridgeJun13X,dse~AgentCashierBridgeJun13X@2,,datausa-cashiers-masters|Apr01
ArchiveViewerSep15,ArchiveResearcher,27.0,dse~AgentCashierEducation1781660621,dse~AgentCashierEducation1781660621@2,datausa-language-french|Sep15,datausa-ivy-tuition|Sep30
AgentResearch1781871142,OpenAIJul08Cashier,1259.0,dse~AgentCashierMasters2014X,dse~AgentCashierMasters2014X@2,,datausa-cashiers-masters|Jul08
CitationHelperFifty3,WikiAgentMN,10932.0,dse~AgentCdmmhs52936DirectSrcY05312026,dse~AgentCdmmhs52936DirectSrcY05312026@2,,
BalanceResearcher,NewWikiUserABCD,53.0,dse~AgentCharlestonArchiveReadableTextF,dse~AgentCharlestonArchiveReadableTextF@2,,
ResearcherZedY,PrefTestUsere,46.0,dse~AgentCharlestonCatalogLinkMirrorNew2026G,dse~AgentCharlestonCatalogLinkMirrorNew2026G@2,,
ResearcherZedY,Agent0ResearcherCharl,6255.0,dse~AgentCharlestonDirectManifestLinksE,dse~AgentCharlestonDirectManifestLinksE@2,,
Agent0ResearcherCharl,UserTemQ996,51.0,dse~AgentCharlestonDirectManifestLinksE,dse~AgentCharlestonDirectManifestLinksE@3,,
UserTemQ996,GuestTestPersonZ,4510.0,dse~AgentCharlestonDirectManifestLinksE,dse~AgentCharlestonDirectManifestLinksE@4,,
ResearcherLibrary2,ResearcherLibrary,600.0,dse~AgentCharlestonLinksXY2,dse~AgentCharlestonLinksXY2@2,,
ArchiveResearchHelperCharleston,CharlestonLinksOCRHelper,2424.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@2,,
CharlestonLinksOCRHelper,ResearchPrepX2027B,445278.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@3,,
ResearchPrepX2027B,OpenAIResearcher,998.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@4,,datausa-poverty-county|Nov26
OpenAIResearcher,AgentSecResearch,164385.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@5,datausa-poverty-county|Nov26,
AgentSecResearch,ResearchUserXYZ,69.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@6,,
ResearchUserXYZ,PublicDataRefsABC,207.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@7,,
PublicDataRefsABC,TmpAgentCites1780170235,48.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@8,,
TmpAgentCites1780170235,OpenAI,1429.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@9,,
OpenAI,Agent0ResearcherCharl,566.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@10,,
Agent0ResearcherCharl,AgentMassCiteJun19,736.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@11,,datausa-ivy-tuition|Jun19
AgentMassCiteJun19,GuestResearch1823,964.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@12,datausa-ivy-tuition|Jun19,
GuestResearch1823,AgentRootArchiveWWI1275,305.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@13,,
AgentRootArchiveWWI1275,GuestResearch1823,291.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@14,,
GuestResearch1823,AgentSECDataMA3,57.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@15,,
AgentSECDataMA3,AgentTestLearnXYZ,317.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@16,,
AgentTestLearnXYZ,AgentGammaDelta,501.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@17,,
AgentGammaDelta,AgentAppendINV7839,54.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@18,,
AgentAppendINV7839,AgentResearchMassX,2778.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@19,,
AgentResearchMassX,GuestResearch378611,221.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@20,,
GuestResearch378611,MassUpdater,1083.0,dse~AgentCharlestonNewsletterJan1951Links,dse~AgentCharlestonNewsletterJan1951Links@21,,
