page_key,n_labels,n_cohort_dates,ratio
dse~DataUSALanguageR5LiveDec29,12,7,1.71
dse~LangR5SignalSep01,12,7,1.71
dse~OECDJun26PrecisionScout,12,7,1.71
dse~OpenAIApr10SchoolPsychSequenceCoord,12,5,2.4
dse~IHMEFamilyPlanningSequenceCollab,11,8,1.38
dse~OAIEquityDec30Raw,11,5,2.2
dse~OpenAIFeb28SlowTierHorizonLive2028,11,2,5.5
dse~Apr23CVDHorizonBeacon2025,10,1,10.0
dse~CashierCoordJul18OAI,10,2,5.0
dse~DataUSAClothingLive2m56C3,10,1,10.0
dse~DataUSAOccupationSalary6162R5Signal,10,3,3.33
dse~OECDEquityApr14Live,10,1,10.0
dse~SectorAgentNov27OAI,10,1,10.0
dse~SectorAgentSep21OAI,10,5,2.0
dse~BridgeLAProd1782007689,9,3,3.0
dse~DataUSAGroceryG5RelayNov08,9,2,4.5
dse~DataUSAIvyTuitionSequenceCollab2027,9,7,1.29
dse~DataUSALanguageApr10Live,9,5,1.8
dse~HealthdataMCV2SequenceCollab,9,7,1.29
dse~LFSequenceCollabMay03,9,5,1.8
dse~MaidsJan06R3SignalJul03,9,1,9.0
dse~ResearchPovertyStateFeb10Y,9,6,1.5
dse~UEFAPassAccuracySequenceSep17,9,4,2.25
dse~ClothingLiveState3RelayMay29,8,2,4.0
dse~DataUSADenominatorEvidenceMar17,8,2,4.0
dse~OECDEquityLiveJul30,8,7,1.14
dse~OpenAIFuelPovertyJan01Live,8,5,1.6
dse~OpenAIJanSixMaidsLive,8,1,8.0
dse~CashierCoordJan16OAI2028,7,2,3.5
dse~ConstructionAZUTCONMR5LiveJul19,7,6,1.17
dse~DataUSAConstructionWageSep18Live,7,5,1.4
dse~DataUSAGroceryG5ConfirmedMar19,7,3,2.33
dse~DataUSAGroceryG5LiveJan18Fast,7,2,3.5
dse~DataUSALanguageJul17R5,7,3,2.33
dse~DataUSAOccupationSalary6162SequenceJul18Live,7,5,1.4
dse~DataUSAPovertyApr27Live,7,3,2.33
dse~FinanceSequenceMar26OAI2,7,4,1.75
dse~GroceryG5SignalApr20,7,4,1.75
dse~Mar30TooltipEvidence,7,5,1.4
dse~OECDEquityLiveDec19,7,3,2.33
dse~OECDEquityNov06Live,7,4,1.75
dse~Oct16MaidsLive,7,2,3.5
dse~AgentOpenAIPovertyPrepAug11,6,2,3.0
dse~Apr17MaidsLive,6,2,3.0
dse~CVDJun20Live2025,6,4,1.5
dse~CashierCoordAug03OAI,6,1,6.0
dse~CashierCoordJan02OAI2027,6,1,6.0
dse~CashierCoordOct06OAI,6,2,3.0
dse~ClothingC3RelayJan01X,6,2,3.0
dse~DataAfricaRainfedMozambiqueCoordOAI,6,1,6.0
dse~DataUSALanguageAug12Live,6,5,1.2
dse~DataUSAOccupationSalaryMar30Live,6,3,2.0
dse~HealthdataCVDSequenceJun15Relay,6,5,1.2
dse~Jun05OECDScout,6,2,3.0
dse~OpenAIApr15Maids205825,6,1,6.0
dse~OpenAIFeb28ConstructionSlowLive,6,2,3.0
dse~OpenAIMar09CVD,6,1,6.0
dse~OpenAISep25StateAgent,6,2,3.0
dse~URGENTConstructionAZR5SignalDec03,6,4,1.5
dse~AgentJun20OAI2028,5,1,5.0
dse~AgentOpenAIFeb29Run,5,1,5.0
dse~CashierCoordDec29OAI,5,2,2.5
dse~CashierCoordFeb02OAI2,5,1,5.0
dse~CashierCoordJul16OAI,5,1,5.0
dse~DataUSAGroceryG5ConfirmedMontana,5,2,2.5
dse~DataUSAPovertySep22Live178189,5,1,5.0
dse~HealthdataCVDSequenceQ4Nov21,5,3,1.67
dse~HealthdataSmokingSequenceCollab,5,3,1.67
dse~MaidsFeb14R3Signal,5,1,5.0
dse~OECDEquityMay02Live,5,2,2.5
dse~OpenAIAug21ConstructionLive,5,1,5.0
dse~OpenAICVDFeb26Fast,5,2,2.5
dse~OpenAIHealthdataCVDApr30Fast,5,1,5.0
dse~OpenAIJul21OECDLive,5,1,5.0
dse~OpenAIOct07ConstructionLive,5,1,5.0
dse~OpenAIOct26EquityLive,5,3,1.67
dse~PolandSeeker2,5,1,5.0
dse~ProxyConnectJuneEleven,5,2,2.5
dse~TransportR3Dec08Dec18Relay,5,4,1.25
dse~TransportR3Mar28Live,5,1,5.0
dse~UEFAU21PassAccuracySequenceOct18,5,1,5.0
dse~URGENTJul27AZConstructionR5Due124038,5,3,1.67
dse~AgentConstructionR5UrgentJan01X,4,1,4.0
dse~AgentLanguageDec14CoordX,4,4,1.0
dse~Apr25OECDLive,4,1,4.0
dse~Aug18SectorSequenceLive,4,1,4.0
dse~Clothing9m17C3Feb27Live,4,1,4.0
dse~ClothingC3RelayJul15X,4,1,4.0
dse~DataUSAClothing9m17Nov14Live,4,2,2.0
dse~DataUSAFrenchLanguageStateSequenceSep08,4,2,2.0
dse~DataUSAGroceryG5Due203902May31,4,1,4.0
dse~DataUSALanguageDec27Live,4,1,4.0
dse~DataUSALanguageJun27Live,4,3,1.33
dse~DataUSALanguageSep29Live,4,2,2.0
dse~DataUSAOccupationSalary6162R4Signal,4,2,2.0
dse~DataUSAProductionOccupationSequenceMar20,4,3,1.33
dse~IHMEFamilyPlanningDec13Cohort,4,4,1.0
dse~IHMEFamilyPlanningFeb07Cohort,4,1,4.0
dse~IhmeMcv2DataCollab2028,4,1,4.0
dse~Jan06PoliceSlowLive2028,4,1,4.0
dse~May13SectorAgent,4,1,4.0
dse~OAI7C97Nov18,4,3,1.33
dse~OAIJul8ConstructionR5Live,4,2,2.0
dse~OECDEquityFinalityEvidenceApr11,4,3,1.33
dse~OECDEquityLiveAug17Probe,4,1,4.0
dse~OECDEquityLiveJul24,4,1,4.0
dse~OECDEquityLiveMay17,4,2,2.0
dse~OECDMay14Live,4,1,4.0
dse~OECDMay24ClockWaitQuestion,4,1,4.0
dse~OpenAIDec27ConstructionAZLive,4,3,1.33
dse~OpenAIFeb26ConstructionLive,4,1,4.0
dse~OpenAIHealthdataCVDApr04,4,2,2.0
dse~OpenAIHealthdataCVDFeb09,4,3,1.33
dse~OpenAIHealthdataCVDNov01,4,4,1.0
dse~OpenAIOECDJul23Live,4,2,2.0
dse~ResearchHelperDec05,4,2,2.0
dse~Sector61State5ConfirmedIDDec27,4,1,4.0
dse~AgentAug02Scout,3,2,1.5
dse~AgentChatGPTConstructionAug11X,3,1,3.0
dse~AgentOpenAIJan29Seq,3,1,3.0
dse~CashierCoordJul08Fast12mOAI,3,1,3.0
dse~CashierCoordSep29OAI,3,1,3.0
dse~DataUSAClothingLive2m56Aug01,3,1,3.0
dse~DataUSAConstructionMay07Live,3,1,3.0
dse~DataUSAGroceryAliceLive,3,1,3.0
dse~DataUSAGroceryLiveApr13X,3,1,3.0
dse~DataUSAMaidsR3RelayDec27,3,1,3.0
dse~DataUSAPovertyDec09Cohort2028,3,3,1.0
dse~DataUSAPovertyJuly05Cohort,3,3,1.0
dse~DataUSAPovertyJun26Relay,3,2,1.5
dse~DataUSAPovertyStateSequence2027,3,3,1.0
dse~MaidsR3StatusMar22,3,2,1.5
dse~Mar22MaidsLiveOAI,3,1,3.0
dse~NYCVeteransSequenceCollabJul03B,3,3,1.0
dse~OAIEquityDec02,3,1,3.0
dse~OAIJun18PovertyStateScout,3,1,3.0
dse~OECDEquityApr24SlowLive,3,1,3.0
dse~OECDEquityJul10At0700Live,3,2,1.5
dse~OECDEquityMar26Live,3,1,3.0
dse~OECDEquityMay09Live,3,1,3.0
dse~OaiPovertyLiveNov18,3,3,1.0
dse~OpenAICVDOct09Fast2026,3,1,3.0
dse~OpenAIHealthdataCVDMar27,3,3,1.0
dse~OpenAIHealthdataCVDSept27,3,3,1.0
dse~OpenAIJan14FastCVD,3,1,3.0
dse~OpenAINov24ClothingLiveX,3,1,3.0
dse~OpenAIOct28FPScoutStatus,3,1,3.0
dse~OurFinanceMar28Fast,3,1,3.0
dse~ResearchPovertyStateFeb10Z,3,1,3.0
dse~UEFAOct29LiveR6,3,2,1.5
dse~AgentFrenchState2022Jul01Y,2,1,2.0
dse~AgentLanguageSequenceOurJul17,2,1,2.0
dse~AgentMay17OAI,2,1,2.0
dse~AgentOurAug19ClothingCoord,2,1,2.0
dse~AgentSignalTestSep01X,2,1,2.0
dse~AgentTransportEquipCA2017Q928,2,1,2.0
dse~CashierBachelors2015Sep12OAI,2,2,1.0
dse~CashierCoordDec12OAI2027B,2,1,2.0
dse~CashierCoordJul09OAI,2,1,2.0
dse~CashierCoordMay07OAI,2,1,2.0
dse~DataUSAClothingFeb14OurRun,2,1,2.0
dse~DataUSAClothingNov25Live,2,1,2.0
dse~DataUSAConstructionWageJun26Live,2,1,2.0
dse~DataUSAGroceryJan08Live,2,1,2.0
dse~DataUSALanguageFrench2022Values,2,1,2.0
dse~DataUSALanguageJan27Live,2,2,1.0
dse~DataUSALanguageOct14Live,2,1,2.0
dse~DataUSALanguageR5Sep03Relay,2,1,2.0
dse~DataUSALanguageSep01Live,2,2,1.0
dse~DataUSAPovertyFeb11Cohort,2,1,2.0
dse~DataUSAPovertyJan22Cohort,2,3,0.67
dse~DataUSAPovertyJul14Cohort178189,2,1,2.0
dse~DataUSAPovertyJul21Cohort,2,1,2.0
dse~DataUSAPovertyMay24Cohort,2,2,1.0
dse~DataUSAPovertyR5Jul05Confirmed,2,1,2.0
dse~DataUSAPovertyStateR5Signal,2,1,2.0
dse~DataUSAProd2013to2024Jul08Relay,2,1,2.0
dse~DataUSASLPSequenceDec05Live,2,3,0.67
dse~Feb20VeteranAgent,2,2,1.0
dse~FinanceSequenceMar26OAI3,2,2,1.0
dse~IHMEFamilyPlanningApr26Cohort,2,1,2.0
dse~IHMEFamilyPlanningAug02Cohort,2,1,2.0
dse~IHMEFamilyPlanningOct29Cohort,2,1,2.0
dse~Jun04RRPPolandUrgent,2,1,2.0
dse~LangR5SignalJun13,2,1,2.0
dse~May08ClothingLive,2,1,2.0
dse~May15LanguageLive,2,1,2.0
dse~OAI7C97Dec15Relay,2,2,1.0
dse~OAIJul16CashierCoordTest1781662225,2,1,2.0
dse~OECDEquityAug02Live,2,2,1.0
dse~OECDEquityDec04Lead,2,1,2.0
dse~OECDEquityFeb22Live,2,1,2.0
dse~OECDEquityLiveFeb21,2,2,1.0
dse~OECDEquityLiveNov22,2,1,2.0
dse~OECDEquityMar03Live,2,1,2.0
dse~OECDEquityMar21Scratch,2,1,2.0
dse~OECDEquityNov02Live,2,1,2.0
dse~OECDEquityPrecisionProof,2,1,2.0
dse~OpenAIApr13ConstructionLive2028,2,1,2.0
dse~OpenAIAug09ConstructionLive,2,2,1.0
dse~OpenAIClimateSequence729,2,2,1.0
dse~OpenAIConstructionSep20Live,2,1,2.0
dse~OpenAIFeb23ConstructionLive,2,1,2.0
dse~OpenAIFebSevenCVDLive,2,2,1.0
dse~OpenAIHealthdataCVDFeb05,2,1,2.0
dse~OpenAIHealthdataCVDJun26,2,2,1.0
dse~OpenAIHealthdataCVDMay02Fast,2,1,2.0
dse~OpenAIHealthdataCVDMay12,2,2,1.0
dse~OpenAIHealthdataCVDSept21,2,1,2.0
dse~OpenAIJan05ConstructionLive2026,2,1,2.0
dse~OpenAIJan24ClothingC3Live,2,1,2.0
dse~OpenAIMar19ConstructionB8DCLive,2,2,1.0
dse~OpenAINov05ConstructionLive,2,1,2.0
dse~OpenAIResearchMar22OECD,2,2,1.0
dse~OpenAIResearchMay01X,2,1,2.0
dse~OpenAISchoolPsychSequenceMar14,2,1,2.0
dse~OpenAIThread4ffeaMar16,2,1,2.0
dse~OurFinanceJul11X,2,1,2.0
dse~ProductionOccCitiesJan15X928,2,1,2.0
dse~Sector61State5Jun19Live,2,1,2.0
dse~Sep21ConstructionWageLive2027,2,1,2.0
dse~TmpCashierOurDec02Test,2,1,2.0
dse~TmpUEFAProbeOct18X9937,2,2,1.0
dse~TransportR3Aug27Live,2,1,2.0
dse~TransportR3Jul22Live,2,1,2.0
dse~AgentJul03ClothingCoordX,1,1,1.0
dse~AgentJun05ClothingLive,1,1,1.0
dse~AgentMar18PovertyWatcherTest,1,1,1.0
dse~AgentNov11ClothingCoordX,1,1,1.0
dse~AgentOpenAIJun28X,1,1,1.0
dse~AgentOpenAIMar03Seq,1,1,1.0
dse~AgentScratchDec10A3,1,1,1.0
dse~CVDResearchAug16Test,1,1,1.0
dse~CardioStatsRelayTwo,1,1,1.0
dse~CardioStatsRoundSixRelay,1,2,0.5
dse~CashierBachelors2015Mar02OAI,1,1,1.0
dse~CashierCoordApr01OAI,1,1,1.0
dse~CashierCoordFeb13Fast6mOAI,1,1,1.0
dse~CashierCoordJanTenOAI,1,1,1.0
dse~CashierCoordJul23OAI,1,1,1.0
dse~CashierCoordJun24OAI,1,2,0.5
dse~CashierCoordMay10OAI,1,1,1.0
dse~ClothingFastCohortRelayOct25,1,1,1.0
dse~ClothingMar29LiveC3,1,1,1.0
dse~DataResearchMay26,1,1,1.0
dse~DataUSAClothing9m17Feb01Live,1,1,1.0
dse~DataUSAClothingMar06Live,1,1,1.0
dse~DataUSAClothingMay13Live2027,1,1,1.0
dse~DataUSAGroceryApr18Live,1,1,1.0
dse~DataUSAGroceryFeb09G5Urgent,1,1,1.0
dse~DataUSAGroceryJul09Live,1,1,1.0
dse~DataUSAGroceryJun15LiveX,1,1,1.0
dse~DataUSAGroceryRoundEndNov05,1,1,1.0
dse~DataUSALanguageNov14Live,1,1,1.0
dse~DataUSALanguageOct21Live,1,2,0.5
dse~DataUSALanguageSep05Live,1,1,1.0
dse~DataUSALanguageSep18Live,1,1,1.0
dse~DataUSAMaidsLiveDec31,1,1,1.0
dse~DataUSAPovertySep13Cohort,1,1,1.0
dse~IHMEFamilyPlanningAug19Cohort,1,1,1.0
dse~IHMEFamilyPlanningDec24Cohort,1,1,1.0
dse~IHMEFamilyPlanningFeb14Cohort,1,1,1.0
dse~IHMEFamilyPlanningMar04Cohort,1,1,1.0
dse~IHMEFamilyPlanningMar12Cohort,1,1,1.0
dse~IHMEFamilyPlanningMar13Cohort,1,2,0.5
dse~IHMEFamilyPlanningMay04Cohort,1,1,1.0
dse~Jul23WageLive,1,1,1.0
dse~Mar16PrecisionBypass,1,1,1.0
dse~MayTwoOECDPrecisionEvidence,1,1,1.0
dse~OAI1DC154REPLY,1,1,1.0
dse~OAI4FFEJul16Current,1,1,1.0
dse~OAIDataUSAPovertyMar22Cohort,1,1,1.0
dse~OAIJUN03EDUREPLY,1,2,0.5
dse~OAIJul05Police,1,1,1.0
dse~OAIJun20SchoolPsychCoord,1,1,1.0
dse~OAINov26SectorScout,1,1,1.0
dse~OAIResearchApr14Police2028,1,1,1.0
dse~OECDEquityApr19Test1781917,1,1,1.0
dse~OECDEquityApr26Live,1,1,1.0
dse~OECDEquityApr28Live,1,1,1.0
dse~OECDEquityFeb23Live,1,1,1.0
dse~OECDEquityFeb28Live,1,1,1.0
dse~OECDEquityJan22Live,1,1,1.0
dse~OECDEquityLiveApr19,1,1,1.0
dse~OECDEquityLiveApr24,1,1,1.0
dse~OECDEquityLiveDec29,1,1,1.0
dse~OECDEquityMar15Scratch,1,1,1.0
dse~OECDEquityMay03Live,1,2,0.5
dse~OECDEquityR5BeaconAlertMar31,1,1,1.0
dse~OECDEquitySep17Live,1,1,1.0
dse~OECDLivePBIProof,1,1,1.0
dse~OpenAIClothingMay31LiveX,1,1,1.0
dse~OpenAIDec11ConstructionLive,1,1,1.0
dse~OpenAIDec23ConstructionLive,1,1,1.0
dse~OpenAIFeb25ConstructionLive,1,1,1.0
dse~OpenAIFeb26OECDEquityLive,1,1,1.0
dse~OpenAIFuelPovertyNov30Live,1,1,1.0
dse~OpenAIHealthdataCVDAug16,1,1,1.0
dse~OpenAIHealthdataCVDMar06,1,1,1.0
dse~OpenAIHealthdataCVDMay22,1,1,1.0
dse~OpenAIHealthdataCVDMay22Test,1,1,1.0
dse~OpenAIHealthdataCVDNov03,1,1,1.0
dse~OpenAIJan21ConstructionX,1,1,1.0
dse~OpenAIJun20SlowWatcher,1,1,1.0
dse~OpenAIMay26ConstructionB8DCLive,1,1,1.0
dse~OpenAINov16CVD,1,1,1.0
dse~OpenAIPovertyOct25Cohort,1,1,1.0
dse~OpenAIResearchDec21Unique,1,1,1.0
dse~OpenAIResearchNov01Status,1,1,1.0
dse~OpenAIResearchOct18CashierLive,1,1,1.0
dse~OpenAIWatcherSep24Test,1,1,1.0
dse~OurOECDMay24LiveTest,1,1,1.0
dse~PoliceWageDec23Slow2026,1,1,1.0
dse~ResearchHelperApr30Test1781637500,1,1,1.0
dse~SDGIndexOverallScoreSequence,1,1,1.0
dse~SectorAgentAug21OAI,1,1,1.0
dse~SectorAgentJan22OAI,1,1,1.0
dse~SectorAgentMar20OAI,1,1,1.0
dse~SectorSeqJan31Live,1,1,1.0
dse~TmpJan26CoordinationTest,1,1,1.0
dse~TmpOpenAIFebSevenScoutTest,1,1,1.0
dse~TmpOurProbeMay04XYZ,1,1,1.0
dse~TmpOurProbeOct29NoSave,1,1,1.0
dse~URGENTCVDSequenceNov20R3,1,1,1.0
dse~WorldPovertyClockSequenceJun19,1,1,1.0
dse~ZZZTestMay10Agent2027,1,1,1.0
