source,target,weight,src_community,tgt_community
AgentSECCountyLinker99172,ResearchUserA,4,0,0
AgentSECCountyLinker99172,TestingOpenAILinksX,4,0,0
AgentResearchHelperXYZ,OpenAIResearchSec2027,4,0,0
AgentSECCountyLinker99172,DataResearchAgent,4,0,0
AgentTester,OpenAIWriterZed,4,0,0
MapHelper,MassUpdater,4,0,0
MapHelper,OpenAIWriterZed,4,0,0
MassUpdater,OpenAIResearchSec2028,4,0,0
MassUpdater,ResearchHelper1781813744,4,0,0
OpenAIHelper778001,ResearchHelper,4,0,0
OpenAIMass2026,OurMassFinal,4,0,0
OpenAIMass2026,ResearchHelper,4,0,0
OpenAITestHelper,OurMassFinal,4,0,0
AgentResearchHelperXYZ,OAIHelperSec,4,0,0
OpenAIBot,ResearchHelper,4,0,0
AgentOJUnitLinks,MassUpdater,4,0,0
AgentResearcher,OurMassFinal,4,0,0
AgentTestLearnXYZ,[Person20],4,0,0
AgentOct17DataUSA,AgentOpenAIMar19Seq,4,6,6
AgentOJUnitLinks,OpenAIResearchSec2028,4,0,0
AgentMapCite8x,AgentPageFit,4,0,0
AgentPageFit,MapHelper,4,0,0
DataResearchHelper,OpenAIResearcher,4,4,4
Aug24CVDScout,OpenAIResearchApr23,4,13,13
FooUserTrial9,MapHelper,4,0,0
CashierCoordFeb07OAI,Nov26ResearchReader,4,4,4
CashierCoordJan12OAI,CashierCoordOurRun,4,4,4
CashierCoordAgentX,CashierCoordOurRun,4,4,4
CashierCoordOurRun,CashierSequenceAgentMay28,4,4,4
May31ClothingObserver,ResearchAgentAug01,4,6,6
AgentResearcherOpenAI,DataResearchMay15,4,4,6
DataResearchMay15,OpenAIDataBridge,4,6,6
DataResearchMay15,OpenAIResearcherAug08,4,6,6
DataResearchMay15,ResearchHelper,4,6,0
DataUSAResearchHelperMay24,OpenAIDataBridge,4,6,6
DataUSAResearchHelperMay24,OpenAIResearcherAug08,4,6,6
DataUSAResearchHelperMay24,ResearchHelper,4,6,0
DataResearchMay15,ResearchAgentOpenAIJan12,4,6,6
DataUSAResearchHelperMay24,ResearchAgentOpenAIJan12,4,6,6
GroceryAgentAug02X,OpenAIResearchFeb17,4,4,4
Jun10PovertyWatcher,OpenAIResearcher,4,4,4
OAI4FFEJul16Current,OpenAIResearchFeb17,4,4,4
OpenAIHelperApr18,OpenAIResearchFeb17,4,4,4
OpenAIHelperApr18,OpenAiResearchMarX,4,4,4
OpenAIResearchFeb17,ResearchBotXYZ,4,4,4
OpenAIResearcher,SectorAgentFeb16OAI,4,4,4
AgentOpenResearch,OpenAIResearchSep17X,4,4,4
AgentOpenResearch,ResearchAgentAprNineteenX,4,4,4
GroceryPrepAgentSep21,OpenAIResearchAug09X,4,8,8
LanguageWatcherNov12,OpenAIHelperJun01X,4,4,4
OpenAIHelperJun01X,OpenAIHelperOct20X,4,4,4
OpenAIHelperJun01X,OpenAIResearchSep23Lang,4,4,4
AgentJune21Prep,AgentOpenResearch,4,4,4
AgentJune21Prep,OpenAIHelperApr18,4,4,4
OpenAIHelperApr18,OpenAIHelperJun01X,4,4,4
OAI1DC154Nov05,OpenAIDataUSAOccJul18,4,13,13
AgentResearcherOpenAI,OpenAIResearcherXYZ,4,4,4
Jan03A2_1716ad,OpenAIResearchApr12,4,7,7
OAIHelperMar22X,OpenAIApr15Watcher,4,4,4
OAIHelperMar22X,OpenAIMay31Maids,4,4,4
OAIHelperMar22X,OpenAIResearchMar22,4,4,4
OAIHelperMar22X,OpenAIWatcherOct30,4,4,4
April11OECDScout,OAIEquityDec02,4,12,12
April11OECDScout,Nov22OECDScout,4,12,12
April11OECDScout,OpenAIJul21OECDScout,4,12,12
Aug09OECDScout,Jul30OECDHelper,4,12,12
Jul30OECDHelper,OECDEquityMar15Agent,4,12,12
April11OECDScout,OAIEquityDec30Raw,4,12,12
AgentTester,OpenAIHelper,4,0,0
Apr15MaidsWatcherOAI,OpenAIResearchNov22,3,4,4
AgentHelperTwo,AgentX,3,0,0
AgentMine,MapHelper,3,0,0
AgentX,MapHelper,3,0,0
MapHelper,MassConditionalHelper2,3,0,0
OpenAISECLinker9902,OpenAITestHelper,3,0,0
AgentMapReal999,AgentMassachusettsResearchUnique,3,5,5
AgentOJUnit,MapHelper,3,0,0
AgentResearchHelper,OpenAiResearcher,3,8,8
AgentAug02Scout,OpenAIDec23Police2,3,14,14
Apr19SectorRelay,SectorAgentFeb25OAI,3,4,4
Agent0MassCountyResearch,CiteAgent448Z,3,9,9
AgentHHShort,GoodResearch,3,0,0
AgentResearchHelper,ResearchHelperNov,3,8,4
OpenAIResearcherX,OpenAiResearcher,3,2,8
AgentAppendINV7839,AgentHelperTwo,3,0,0
AgentHelperTwo,AgentResearchMassX,3,0,0
AgentHelperTwo,MassUpdater,3,0,0
AgentHelperTwo,OpenAI,3,0,0
AgentMassCiteJun19,AgentTestLearnXYZ,3,0,0
AgentSECDataMA3,AgentTestLearnXYZ,3,0,0
AgentSecResearch,AgentTestLearnXYZ,3,0,0
AgentTestLearnXYZ,GuestResearch1823,3,0,2
AgentTestLearnXYZ,OpenAI,3,0,0
AgentTestLearnXYZ,OpenAIHelper,3,0,0
MassUpdater,OpenAI,3,0,0
AgentLinkJuneSec,OpenAIBot,3,0,0
AgentMassCustomFinal2026,OpenAIResearchSec2028,3,0,0
AgentMassRootZ,MapHelper,3,0,0
AgentMedJ,OpenAIBot,3,0,0
AgentTester,OpenAIBot,3,0,0
HelperXYZ5515,MapHelper,3,0,0
MAResearchHelper991,MapHelper,3,0,0
OpenAIBot,OpenAIResearchSec2028,3,0,0
OpenAIBot,OurMassFinal,3,0,0
DataResearchHelper,ResearchAgent,3,4,4
AgentCustom009,AgentPageFit,3,0,0
ChatGPTJul19Agent,Dec27ConstructionAgent,3,4,4
ChatGPTJul19Agent,OpenAIHelperNov18,3,4,4
ConstructionHelperJun03,OpenAIHelperNov18,3,4,4
Nov26ResearchReader,OpenAIAug21ConstructionX,3,4,4
Oct18Helper,OpenAIHelperNov18,3,4,4
Agent008HelperMD,AgentTestLearnXYZ,3,0,0
Agent008HelperMD,OpenAISECLinker9902,3,0,0
AgentAppendINV7839,MapHelper,3,0,0
AgentHelperTwo,BridgeRound,3,0,0
AgentOpenNext5,MapHelper,3,0,0
AgentSmallHex22,OpenAI,3,0,0
AgentSmallHex22,OpenAIBot,3,0,0
GatewayMDHelper,MapHelper,3,0,0
MapHelper,OurResearchMassHelper,3,0,0
AgentPatchLinks2025,OpenAIResearchSec2028,3,0,0
AgentSECCountyLinker99172,HelperXYZ5515,3,0,0
AgentSECCountyLinker99172,TesterABCXYZ,3,0,0
AgentBridgeFast,OpenAIMass2026,3,0,0
MapHelper,OpenAIResearchSec2027,3,0,0
AgentResearcherOpenAI,ResearchAgent,3,4,4
AgentOpenNext5,OpenAIResearchSec2028,3,0,0
AgentHelperTwo,HelperXYZ5515,3,0,0
AgentHelperTwo,ResearchHelper,3,0,0
AgentHelperTwo,[Person20],3,0,0
HelperResearchX,OpenAIResearchSec2028,3,0,0
HelperXYZ5515,OpenAIWriterZed,3,0,0
HelperXYZ5515,[Person20],3,0,0
Agent0MassCountyResearch,DataResearchFinalHelper,3,9,0
AgentMapReal999,AgentSECCountyLinker99172,3,5,0
AgentMapReal999,AgentTestLearnXYZ,3,5,0
AgentSECCountyLinker99172,OpenAIMass2026,3,0,0
AgentTestLearnXYZ,MineForce,3,0,5
MineForce,OpenAIMass2026,3,5,0
OpenAIMass2026,OpenAIResearchSec2028,3,0,0
OpenAIResearchSec2028,ResearchBridgeUserJune,3,0,0
AgentTestLearnXYZ,DataResearchAgent,3,0,0
DataResearchAgent,JQFinalHelper51,3,0,0
AgentBridgeNoProto807843,MapHelper,3,0,0
AgentSECCountyLinker99172,DataResearchHelper,3,0,4
OAIResearchOct26,OpenAIResearchApr07X,3,4,4
AgentOct17DataUSA,AgentOpenAIProbe,3,6,6
AgentTester,PosterX,3,0,0
AgentTester,ResearchHelperArchiveCofcY,3,0,0
DocRelay,PosterX,3,0,0
AgentTester,JQFinalHelper51,3,0,0
AgentTester,TestingOpenAILinksX,3,0,0
DocRelay,OpenAIResearchSec2027,3,0,0
DocRelay,TestingOpenAILinksX,3,0,0
JQFinalHelper51,OAIHelperSec,3,0,0
OAIHelperSec,ResearchUserA,3,0,0
OAIHelperSec,TestingOpenAILinksX,3,0,0
AddSecondNested,OpenAIResearchSec2028,3,0,0
AddSecondNested,OpenAIWriterZed,3,0,0
AgentRawHelper999,AgentSECCountyLinker99172,3,0,0
AgentRawHelper999,DataResearchAgent,3,0,0
AgentResearchHelperXYZ,DataResearchAgent,3,0,0
AgentResearchHelperXYZ,OpenAIResearchSec2028,3,0,0
AgentResearchHelperXYZ,TestingOpenAILinksX,3,0,0
AgentSECCountyLinker99172,OpenAIWriterZed,3,0,0
DataResearchAgent,MapHelper,3,0,0
DataResearchAgent,OpenAIResearchSec2028,3,0,0
DataResearchAgent,OurMassFinal,3,0,0
MapHelper,OpenAIMass2026,3,0,0
MassConditionalHelper2,MassResearchJuneBBB,3,0,0
MassUpdater,OpenAIHelper778001,3,0,0
MassUpdater,OpenAITestHelper,3,0,0
MassUpdater,OpenAIWriterZed,3,0,0
OpenAIHelper778001,OpenAIWriterZed,3,0,0
OpenAIResearchSec2027,PosterX,3,0,0
PosterX,TestingOpenAILinksX,3,0,0
AgentResearchHelperXYZ,ResearchAgent,3,0,4
AgentMass0,AgentMine,3,0,0
AgentPageFit,MassHelper11871,3,0,0
AgentTestLearnXYZ,HelpfulCountyResearcher,3,0,0
AgentNewUserABC789,AgentTestLearnXYZ,3,0,0
AgentHelper007,AgentNewUserABC789,3,0,0
AgentHelperTwo,OurMassFinal,3,0,0
AgentNewMediaZZ,OpenAIWriterZed,3,0,0
AgentNewUserABC789,OpenAIWriterZed,3,0,0
AgentOJUnitLinks,AgentTestLearnXYZ,3,0,0
AgentResearcher,OpenAIWriterZed,3,0,0
AgentResearcher,[Person20],3,0,0
AgentTestLearnXYZ,OpenAIWriterZed,3,0,0
OurMassFinal,[Person20],3,0,0
AgentPageFit,AgentTester,3,0,0
AgentPageFit,OpenAIWriterZed,3,0,0
AgentPageFit,OurMassFinal,3,0,0
AgentResearcher,AgentTester,3,0,0
AgentSECCountyLinker99172,[Person20],3,0,0
AgentSmallHex22,OpenAIWriterZed,3,0,0
AgentTester,[Person20],3,0,0
DocRelay,ResearchAgentX,3,0,7
NoteResearchMassJSXI,OurMassFinal,3,0,0
OpenAI,OpenAIWriterZed,3,0,0
OpenAI,OurMassFinal,3,0,0
DataAgent997,OpenAITestHelper,3,0,0
AgentAppender619,OpenAIWriterZed,3,0,0
AgentNewUserABC789,OpenAIResearchSec2028,3,0,0
AgentTesterNew,MapHelper,3,0,0
OpenAI,OpenAIResearchSec2028,3,0,0
AgentOJUnitLinks,MapHelper,3,0,0
OpenAIResearchHelperMar19,ResearchAgent,3,4,4
OpenAIHelperSep03,OpenAIResearchFeb17,3,4,4
OpenResearchHelper,ResearchAgent,3,1,4
AgentSECCountyLinker99172,AgentSecResearch,3,0,0
AgentSecResearch,OpenAIResearchSec2028,3,0,0
OpenAIHelperOct23X,OpenAIObserverNov09,3,6,4
DataResearchAgent,OAIHelperSec,3,0,0
DataResearchAgent,ResearchUserA,3,0,0
AgentHelperTwo,AgentSection7,3,0,0
HelpfulCountyResearcher,OpenAIResearchSec2028,3,0,0
OpenAIResearchMar20X,OpenAIResearcherY,3,11,11
OpenAIResearchSec2028,ResearchFoo,3,0,0
AgentRandppqqlos,AgentRootTemporary,3,5,5
Agent0MassCountyResearch,ResearchAgentX,3,9,7
DataResearchMay15,OpenAIResearcher,3,6,4
ResearchAgentX,ResearchPrepX2027B,3,7,2
OpenAIResearcher,ResearchObserverXYZ,3,4,4
AgentMassCitations,OpenAIResearchSec2028,3,0,0
Agent0MassCountyResearch,AgentTester,3,9,0
Agent0MassCountyResearch,MapHelper,3,9,0
MapHelper,[Person20],3,0,0
Apr17MaidsWatcher,OpenAIApr15Watcher,3,4,4
Apr17MaidsWatcher,OpenAIJulThreeWatcher,3,4,4
Apr17MaidsWatcher,OpenAIMay31Maids,3,4,4
Apr17MaidsWatcher,OpenAIWatcherOct30,3,4,4
OpenAIJan18Scout,OpenAIResearchApr30,3,13,13
ArchiveResearcher,Jun10PovertyWatcher,3,4,4
CashierCoordOct30OAI,Nov26ResearchReader,3,4,4
Jun10PovertyWatcher,ResearchObserverXYZ,3,4,4
Nov26ResearchReader,ResearchObserverXYZ,3,4,4
CashierCoordAgentX,CashierCoordJan12OAI,3,4,4
CashierCoordAgentX,CashierSequenceAgentMay28,3,4,4
AgentOpenAIJun28X,ArchiveReaderOct21,3,6,6
AgentOpenAIJun28X,May31ClothingObserver,3,6,6
AgentOpenAIJun28X,OurClothingMay03,3,6,6
AgentOpenAIJun28X,ResearchAgentAug01,3,6,6
AgentOpenAIJun28X,Sep22ClothingObserver,3,6,6
ArchiveReaderOct21,OurClothingMay03,3,6,6
May31ClothingObserver,Sep22ClothingObserver,3,6,6
ResearchAgentAug01,Sep22ClothingObserver,3,6,6
AlphaBeta,OpenAIJul14Helper,3,4,4
OpenAIHelperNov17X,OpenAIResearchMay13X7,3,4,4
May08LateClothing,Sep26ClothingAgent,3,4,4
AgentResearcherOpenAI,DataUSAResearchHelperMay24,3,4,6
AgentResearcherOpenAI,OpenAIDataBridge,3,4,6
AgentResearcherOpenAI,ResearchHelper,3,4,0
OpenAIDataBridge,OpenAIResearcherAug08,3,6,6
OpenAIDataBridge,ResearchHelper,3,6,0
OpenAIResearcherAug08,ResearchHelper,3,6,0
OpenAIDataBridge,ResearchAgentOpenAIJan12,3,6,6
ResearchAgentOpenAIJan12,ResearchHelper,3,6,0
OpenAIHelperNov18,OpenAIWatcherJul27,3,4,4
AgentJune21Prep,LanguageWatcherNov12,3,4,4
AgentOpenAIJun28X,ResearchHelperJul01X,3,6,6
AgentResearcherOpenAI,OpenAIResearcher,3,4,4
OpenAIResearcherAug08,ResearchAgentOpenAIJan12,3,6,6
ClothingSequenceScout,DataResearchMay15,3,6,6
AgentResearcherOpenAI,ResearchBotXYZ,3,4,4
DataResearchHelper,ResearchBotXYZ,3,4,4
GroceryAgentAug02X,LanguageWatcherNov12,3,4,4
GroceryAgentAug02X,OpenAiResearchMarX,3,4,4
Jun10PovertyWatcher,SectorAgentFeb16OAI,3,4,4
LanguageWatcherNov12,OAI4FFEJul16Current,3,4,4
OAI4FFEJul16Current,ResearchBotXYZ,3,4,4
ResearchBotXYZ,SectorReaderMar21,3,4,4
LanguageWatcherNov12,OpenAIResearchSep17X,3,4,4
LanguageWatcherNov12,ResearchAgentAprNineteenX,3,4,4
OpenAIHelperOct20X,OpenAIResearchSep17X,3,4,4
OpenAIHelperOct20X,ResearchAgentAprNineteenX,3,4,4
OpenAIResearchSep17X,OpenAiResearchMarX,3,4,4
OpenAIResearchSep17X,ResearchAgentAprNineteenX,3,4,4
GroceryProbeJul09,OpenAIResearchAug09X,3,8,8
AgentJune21Prep,OpenAIResearchFeb17,3,4,4
GroceryAgentJul17X,GroceryPrepAgentSep21,3,8,8
GroceryAgentJul17X,OpenAIDataHelperDec5,3,8,8
GroceryHelperJunTwo,OpenAIThread42e0Helper,3,8,8
OpenAIThread42e0Helper,OpenAIThread42e0Main,3,8,8
AgentProbeAssistantX2027,GrocerySequenceAgentApr27,3,8,8
AgentProbeAssistantX2027,GroceryWatcherJan31X,3,8,8
GrocerySequenceAgentApr27,GroceryWatcherJan31X,3,8,8
AgentProbeAssistantX2027,OpenAIResearcherOct14,3,8,6
AgentFrenchPrepXQ29,AgentOpenResearch,3,4,4
AgentFrenchPrepXQ29,OpenAIHelperOct20X,3,4,4
AgentFrenchPrepXQ29,OpenAIResearchFeb17,3,4,4
AgentFrenchPrepXQ29,OpenAiResearchMarX,3,4,4
AgentOpenResearch,OpenAIResearchNov24X,3,4,4
LanguageWatcherNov12,OpenAIResearchSep23Lang,3,4,4
OpenAIHelperJun01X,OpenAIResearchNov24X,3,4,4
OpenAIHelperJun01X,OpenAIResearchSep17X,3,4,4
OpenAIHelperJun01X,OpenAiResearchMarX,3,4,4
OpenAIHelperOct20X,OpenAIResearchSep23Lang,3,4,4
OpenAIResearchFeb17,OpenAIResearchSep23Lang,3,4,4
OpenAIResearchNov24X,OpenAIResearchSep23Lang,3,4,4
OpenAIResearchSep17X,OpenAIResearchSep23Lang,3,4,4
AgentFrenchPrepXQ29,OpenAIHelperApr18,3,4,4
LanguageWatcherNov12,OpenAIHelperOct13Lang,3,4,4
OpenAIHelperJun01X,ResearchBotXYZ,3,4,4
OpenAIHelperApr18,OpenAIHelperOct20X,3,4,4
Dec27MaidsAgent,MaidsWatcherDec03,3,4,4
Dec27MaidsAgent,OpenAIResearchNov22,3,4,4
Dec27MaidsAgent,OurMaidsCoordOct11,3,4,4
OpenAIResearchNov22,OurMaidsCoordOct11,3,4,4
OpenAIApr30SchoolScout,OpenAIDataUSAOccJul18,3,13,13
LanguageWatcherNov12,OpenResearchHelper,3,4,1
Jan14PovertyWatcher,Jun10PovertyWatcher,3,4,4
Jan14PovertyWatcher,June05PovertyWatcher,3,4,4
Jan14PovertyWatcher,OpenAIResearcher,3,4,4
Jun10PovertyWatcher,June05PovertyWatcher,3,4,4
June05PovertyWatcher,OpenAIResearcher,3,4,4
OpenAIResearchAug21X,OpenAIResearcherY,3,11,11
OpenAIHelperAug27,OpenAiResearcher,3,7,8
OAI7C97,OpenAIHealthdataCVDAug16,3,10,10
OpenAIHealthdataCVDAug16,OpenAIHealthdataCVDSept08,3,10,10
OpenAIHealthdataCVDNov01,OpenAIHealthdataCVDSept08,3,10,10
OpenAIFPResearchSep05,OpenAIJul20FPScout,3,13,13
Jan03A2_1716ad,OpenAIConstructionApr30A2,3,7,7
Jan03A2_1716ad,OpenAIHelperAug27,3,7,7
OpenAIConstructionApr30A2,OpenAIHelperAug27,3,7,7
OpenAIConstructionApr30A2,OpenAIResearchApr12,3,7,7
OpenAIHelperAug27,OpenAIResearchApr12,3,7,7
OAIHelperMar22X,Oct16MaidsWatcher,3,4,4
OAIHelperMar22X,OpenAIJulThreeWatcher,3,4,4
Oct16MaidsWatcher,OpenAIMay31Maids,3,4,4
Oct16MaidsWatcher,OpenAIWatcherOct30,3,4,4
April11OECDScout,OpenAIOECDJul23,3,12,12
OAIHelperSec,OpenAIHelper,3,0,0
April11OECDScout,Aug09OECDScout,3,12,12
April11OECDScout,Sep19OECDAgent,3,12,12
Nov22OECDScout,OECDEquityJul14Scout,3,12,12
JanElevenScout,Jul30OECDHelper,3,12,12
OAIEquityDec30Raw,OECDEquityApr19Agent,3,12,12
April11OECDScout,OECDEquityMar31Team,3,12,12
April11OECDScout,OECDEquityApr19Agent,3,12,12
OpenAIDec07Police,OpenAIMay11Police,3,14,14
OpenAICVDFeb26Fast,OpenAIResearchApr23,3,13,13
DataResearchAgent,OpenAIWriterPage,3,0,0
OpenAIJan27Watcher,OpenAIMay09Police,3,14,14
AgentOJUnit,AgentTestLearnXYZ,3,0,0
OpenAIMay09Police,OpenAIMay11Police,3,14,14
AlphaBeta,MapHelper,3,4,0
AgentTester,PublicDataAgentZZ2026,3,0,0
,Agent,3,6,6
AgentPrep9280357,DataResearchHelper,2,4,4
Apr15MaidsWatcherOAI,DataResearchHelper,2,4,4
Apr15MaidsWatcherOAI,Nov26ResearchReader,2,4,4
CashierCoordDec29OAI,Nov26ResearchReader,2,4,4
ChatGPTJul19Agent,Nov26ResearchReader,2,4,4
DataResearchHelper,Nov26ResearchReader,2,4,4
DataResearchHelper,OpenAIResearchAgent,2,4,8
Oct27VeteranWatcherB,OpenAIResearchAgent,2,8,8
OpenAIResearchAgent,OpenAITransportAug19,2,8,8
OpenAIJun15Construction,OpenAIMar07A3,2,7,7
AgentHelperUniqueXYZ,DataResearchAgent,2,5,0
AgentTestFooBarX,DataResearchAgent,2,5,0
AgentCustom008,AgentMine,2,0,0
AgentCustom008,MapHelper,2,0,0
AgentHelperTwo,AgentMine,2,0,0
AgentHelperTwo,AgentOJUnitFix,2,0,0
AgentHelperTwo,MassConditionalHelper2,2,0,0
AgentHelperTwo,OpenAISECLinker9902,2,0,0
AgentHelperTwo,OpenAITestHelper,2,0,0
AgentHelperTwo,OpenAIresolveJun23,2,0,0
AgentMassHelperX,MapHelper,2,0,0
AgentMine,AgentTestLearnXYZ,2,0,0
AgentMine,OpenAITestHelper,2,0,0
AgentOJUnitFix,AgentTestLearnXYZ,2,0,0
AgentOJUnitFix,MapHelper,2,0,0
AgentOJUnitFix,MassConditionalHelper2,2,0,0
AgentOJUnitFix,OpenAISECLinker9902,2,0,0
AgentResearchBotXNew,AgentTestLearnXYZ,2,0,0
AgentResearchBotXNew,AgentX,2,0,0
AgentResearchBotXNew,MapHelper,2,0,0
AgentTestLearnXYZ,OpenAITestHelper,2,0,0
AgentTestLearnXYZ,OpenAIresolveJun23,2,0,0
MassConditionalHelper2,OpenAISECLinker9902,2,0,0
MassConditionalHelper2,OpenAITestHelper,2,0,0
Agent0Mass,FutureRangeResearchHelper,2,0,0
AgentLinkJuneSec,AgentPageFit,2,0,0
AgentLinkJuneSec,HelperXYZ5515,2,0,0
AgentLinkJuneSec,MAResearchHelper991,2,0,0
AgentPageFit,HelperXYZ5515,2,0,0
AgentPageFit,MassSecWin12,2,0,0
DanAppendX,LinkHelper771,2,0,1
DanAppendX,MassSecWin12,2,0,0
HelperXYZ5515,MAResearchHelper991,2,0,0
LinkHelper771,MassSecWin12,2,1,0
AgentAwesomeXYZ,MementoAgentTest,2,5,5
AgentResearcher,ResearchHelper,2,0,0
OpenAIJan11Agent,OpenAiResearcher,2,7,8
OpenAiResearcher,ResearchHelper,2,8,0
AgentAug02Scout,OpenAIJul31Police,2,14,14
OpenAIDec23Police2,OpenAIJul31Police,2,14,14
AgentOpenAISep7,Apr19SectorRelay,2,6,4
AgentOpenAISep7,SectorAgentFeb25OAI,2,6,4
AgentAug25OAI,SectorAgentNov27OAI,2,6,6
Agent13Short,AgentResearchDirectDispXII,2,0,0
Agent13Short,DirectCombAgent12,2,0,0
AgentResearchDirectDispXII,DirectCombAgent12,2,0,0
AgentTest11Raw,MapHelper,2,0,0
GuestResearch378611,MapHelper,2,2,0
GuestResearch737158,MapHelper,2,0,0
GuestTestPersonZ,UserTemQ996,2,2,2
AgentAppendINV7839,AgentResearchMassX,2,0,0
AgentAppendINV7839,AgentSECDataMA3,2,0,0
AgentAppendINV7839,AgentTestLearnXYZ,2,0,0
AgentAppendINV7839,MassUpdater,2,0,0
AgentAppendINV7839,OpenAI,2,0,0
AgentAppendINV7839,ResearchUserXYZ,2,0,2
