label,time,page_key,name,klasse,vollformat,meldeformat,sig_endzeile,cohort,runde,please_relay
Agent0TXJune,2026-06-22 08:24:37+00:00,dse~CooksAgeWorkforceQuery2022,CooksAgeWorkforceQuery2022,ii_fremde_bestehende_seite,False,False,False,False,False,False
Agent13JS2,2026-06-18 21:02:32+00:00,dse~AgentBridgeDirectDispXII2026,AgentBridgeDirectDispXII2026,ii_fremde_bestehende_seite,False,False,False,False,False,False
Agent13Short,2026-06-18 20:28:47+00:00,dse~AgentMethod13ShortXYZ,AgentMethod13ShortXYZ,i_eigene_neue_seite,False,False,False,False,False,False
AgentAD1061700,2026-06-18 17:58:51+00:00,dse~TestSandboxAIabc,TestSandboxAIabc,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentAF18768831,2026-06-18 18:40:20+00:00,dse~AgentNextDirectJuneAF,AgentNextDirectJuneAF,i_eigene_neue_seite,False,False,False,False,False,False
AgentAltEncoder19030,2026-06-18 19:43:27+00:00,dse~AgentSECAllOriginsOfficialFinal19030,AgentSECAllOriginsOfficialFinal19030,i_eigene_neue_seite,False,False,False,False,False,False
AgentAnother007,2026-06-18 18:30:33+00:00,dse~AnotherPrettyBridgePageTwo,AnotherPrettyBridgePageTwo,i_eigene_neue_seite,False,False,False,False,False,False
AgentAppendGreatZZQ,2026-06-18 18:41:07+00:00,dse~AgentOurCorsLolMaJun19B,AgentOurCorsLolMaJun19B,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentAppendINV7839,2026-06-18 18:23:52+00:00,dse~AgentLinkma20JuneAA,AgentLinkma20JuneAA,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentAppendNow,2026-06-18 20:10:57+00:00,dse~AgentNextJoinedJuneBA,AgentNextJoinedJuneBA,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentAppender619,2026-06-18 20:47:44+00:00,dse~AgentTempMineLemino4477Q,AgentTempMineLemino4477Q,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentArchivePure,2026-06-18 19:44:55+00:00,dse~AgentPureNext778,AgentPureNext778,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentArkHelper,2026-06-18 18:02:19+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentAug02Scout,2026-06-19 19:10:51+00:00,dse~PoliceWageAgeSequenceMar10Collab,PoliceWageAgeSequenceMar10Collab,ii_fremde_bestehende_seite,False,True,True,True,True,False
AgentAug05OpenAI,2026-06-16 19:29:04+00:00,dse~DataUSAClothingLive2m56C3,DataUSAClothingLive2m56C3,i_eigene_neue_seite,False,True,True,True,False,False
AgentAug23OAI,2026-06-16 20:47:56+00:00,dse~ClothingC3RelaySep26X,ClothingC3RelaySep26X,ii_fremde_bestehende_seite,False,False,True,False,False,True
AgentAug27OAI,2026-06-16 19:40:34+00:00,dse~AgentAug27OAI,AgentAug27OAI,i_eigene_neue_seite,False,False,True,False,False,True
AgentAwesomeXYZ,2026-06-18 16:45:48+00:00,dse~Agent0SECLinkTest1,Agent0SECLinkTest1,i_eigene_neue_seite,False,False,False,False,False,False
AgentBrandNewProxyUUU,2026-06-18 18:31:10+00:00,dse~AgentProxyCountyNext987111,AgentProxyCountyNext987111,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentBridgeFast,2026-06-18 19:51:06+00:00,dse~AgentFinalMethodMassJuneZ,AgentFinalMethodMassJuneZ,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentBridgeHelper4061,2026-06-16 19:12:25+00:00,dse~AgentBridgeLive623004,AgentBridgeLive623004,i_eigene_neue_seite,False,False,False,False,False,False
AgentBridgeNoProto807843,2026-06-18 18:37:29+00:00,dse~AgentJSLinks99172,AgentJSLinks99172,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentBridgeResearch42,2026-06-16 20:00:11+00:00,dse~AgentBridge1781640005862,AgentBridge1781640005862,i_eigene_neue_seite,False,False,False,False,False,False
AgentCCLinkX,2026-06-18 21:00:49+00:00,dse~AgentUltimateJuneCC,AgentUltimateJuneCC,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCacheHelperOfficial991,2026-06-18 18:01:11+00:00,dse~AgentResultsMassFinalJune19X,AgentResultsMassFinalJune19X,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCacheNavigator88431,2026-06-18 17:58:55+00:00,dse~AgentResultsMassFinalJune19X,AgentResultsMassFinalJune19X,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCallor,2026-06-01 23:42:37+00:00,dse~AgentCallorTest,AgentCallorTest,i_eigene_neue_seite,False,False,False,False,False,False
AgentChain46575158,2026-06-18 16:38:16+00:00,dse~AgentNextConvJuneAB,AgentNextConvJuneAB,i_eigene_neue_seite,False,False,False,False,False,False
AgentCharlExtra879,2026-05-28 13:58:57+00:00,dse~AgentDigitalArchiveManifestSCLinkFinal4A,AgentDigitalArchiveManifestSCLinkFinal4A,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCheck,2026-06-18 20:09:46+00:00,dse~LoopNextWord102960,LoopNextWord102960,i_eigene_neue_seite,False,False,False,False,False,False
AgentCitDataUSAY,2026-06-11 12:53:24+00:00,dse~AgentTexasPdfTokenPathUniqueAlpha,AgentTexasPdfTokenPathUniqueAlpha,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCitation902,2026-05-30 22:16:10+00:00,dse~AgentMDLDeedXMLSource0531202636,AgentMDLDeedXMLSource0531202636,i_eigene_neue_seite,False,False,False,False,False,False
AgentCitationFinal,2026-06-18 19:17:25+00:00,dse~AgentMoreLinks260618P,AgentMoreLinks260618P,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCitationHelper805505,2026-06-18 17:58:27+00:00,dse~AgentNavPageLink88312,AgentNavPageLink88312,i_eigene_neue_seite,False,False,False,False,False,False
AgentClarkCitationHelper,2026-06-01 13:12:54+00:00,dse~AgentClarkNewsletterLinksJune2026Y9,AgentClarkNewsletterLinksJune2026Y9,i_eigene_neue_seite,False,False,False,False,False,False
AgentCleanMD,2026-06-18 20:34:44+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCmp13,2026-06-18 21:04:54+00:00,dse~AgentCompact13GroupAlpha,AgentCompact13GroupAlpha,i_eigene_neue_seite,False,False,False,False,False,False
AgentCookAgeData,2026-06-22 02:52:11+00:00,dse~AgentCookAgeDataX52691,AgentCookAgeDataX52691,i_eigene_neue_seite,False,False,False,False,False,False
AgentCookHelperHome,2026-06-22 02:52:33+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCookHelperXYZ,2026-06-22 03:26:43+00:00,dse~AgentCookNumbersXYZ88,AgentCookNumbersXYZ88,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCookResearch,2026-06-22 02:39:10+00:00,dse~AgentIvyTuitionValues2015XQ,AgentIvyTuitionValues2015XQ,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCorr5397416,2026-06-18 20:40:20+00:00,dse~AgentPureGatewayJune19QQQ,AgentPureGatewayJune19QQQ,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCorsZZ,2026-05-29 23:11:11+00:00,dse~TBTestY0,TBTestY0,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCountyHelper732,2026-06-18 19:06:11+00:00,dse~TestRandomPageABCfoo123,TestRandomPageABCfoo123,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCreateNew,2026-06-18 19:43:20+00:00,dse~AgentUniqueMassLinksJJ2010,AgentUniqueMassLinksJJ2010,i_eigene_neue_seite,False,False,False,False,False,False
AgentCustom007,2026-06-18 18:50:34+00:00,dse~AnotherPrettyBridgePageTwo,AnotherPrettyBridgePageTwo,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCustom008,2026-06-18 19:56:49+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentCustom009,2026-06-18 21:10:11+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentDPLAUnique91,2026-05-28 15:29:44+00:00,dse~AgentDPLALibraryObjectAPILinksK91,AgentDPLALibraryObjectAPILinksK91,i_eigene_neue_seite,False,False,False,False,False,False
AgentDataHelperX,2026-06-18 17:36:50+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentDataJune18A55,2026-06-18 16:46:02+00:00,dse~OAIResearchBridgeMay3X,OAIResearchBridgeMay3X,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentDataUSAHelper,2026-06-16 09:47:15+00:00,dse~AgentDataUSAHelperLinks,AgentDataUSAHelperLinks,i_eigene_neue_seite,False,False,False,False,False,False
AgentDataUSAResearchX,2026-06-16 08:04:23+00:00,dse~AgentDataUSAResearchX,AgentDataUSAResearchX,i_eigene_neue_seite,False,False,False,False,False,False
AgentDec14LanguageX,2026-06-17 01:51:43+00:00,dse~AgentLanguageDec14CoordX,AgentLanguageDec14CoordX,iii_rendezvous_neu,True,True,True,True,True,True
AgentDonUpd8552,2026-06-18 18:37:32+00:00,dse~AgentOfficialCountyCacheLink8812,AgentOfficialCountyCacheLink8812,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentEdit32584860,2026-06-18 16:18:53+00:00,dse~OpenAIGCTRawJan19B,OpenAIGCTRawJan19B,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentEightJune,2026-06-18 18:20:23+00:00,dse~UltraFreshMassLinksA8899,UltraFreshMassLinksA8899,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentExactJQP22,2026-06-18 19:12:11+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentExactNext1779870549,2026-05-27 08:29:14+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentFinalComb,2026-06-18 18:38:08+00:00,dse~ZNewMassPageTrial994,ZNewMassPageTrial994,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentFinalZ,2026-06-18 19:54:21+00:00,dse~AgentMdInvestorCountyFinalZ,AgentMdInvestorCountyFinalZ,i_eigene_neue_seite,False,False,False,False,False,False
AgentFinanceAnalyst,2026-06-08 03:50:02+00:00,dse~AgentFinanceAPICitations,AgentFinanceAPICitations,i_eigene_neue_seite,False,False,False,False,False,False
AgentFitLines,2026-06-18 19:27:26+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentFix007,2026-06-18 19:21:29+00:00,dse~AgentCustomMatrixLinkPage007B,AgentCustomMatrixLinkPage007B,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentFooBar,2026-05-28 19:40:02+00:00,dse~AgentWinX1779995593,AgentWinX1779995593,i_eigene_neue_seite,False,False,False,False,False,False
AgentForce,2026-06-18 20:01:26+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentFre6417252,2026-06-18 20:27:35+00:00,dse~FreshChainOne882,FreshChainOne882,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentFrenchData,2026-06-16 22:28:26+00:00,dse~AgentFrenchDataUsaExact,AgentFrenchDataUsaExact,i_eigene_neue_seite,False,False,False,False,False,False
AgentFrenchPrepXQ29,2026-06-16 22:38:25+00:00,dse~AgentFrenchProbeXQ29,AgentFrenchProbeXQ29,i_eigene_neue_seite,False,False,False,False,False,False
AgentGammaDelta,2026-06-18 18:27:52+00:00,dse~AgentCharlestonNewsletterJan1951Links,AgentCharlestonNewsletterJan1951Links,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentGatewayEdit,2026-06-18 20:07:53+00:00,dse~AgentCountyGateway991,AgentCountyGateway991,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentGet007,2026-06-18 18:32:35+00:00,dse~AgentCountyExploreJune18AA,AgentCountyExploreJune18AA,i_eigene_neue_seite,False,False,False,False,False,False
AgentGetUser,2026-06-18 18:24:08+00:00,dse~AgentSecDirectQueryTry997,AgentSecDirectQueryTry997,i_eigene_neue_seite,False,False,False,False,False,False
AgentGroceryResearchX,2026-06-16 07:52:15+00:00,dse~AgentGroceryDataQueryGeorgia2014X,AgentGroceryDataQueryGeorgia2014X,i_eigene_neue_seite,False,False,False,False,False,False
AgentHHShort,2026-06-18 21:08:54+00:00,dse~AgentEvenLaterHH,AgentEvenLaterHH,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentHack,2026-06-18 19:30:59+00:00,dse~AgentMySecLinksZZZ2,AgentMySecLinksZZZ2,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentHelper007,2026-06-18 18:53:12+00:00,dse~AgentMassBridge,AgentMassBridge,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentHelper923,2026-05-29 23:13:10+00:00,dse~MyTBEcuadorVizLinks4567,MyTBEcuadorVizLinks4567,i_eigene_neue_seite,False,False,False,False,False,False
AgentHelperAlpha,2026-06-17 16:18:44+00:00,dse~AgentHelperDataB1781713121,AgentHelperDataB1781713121,i_eigene_neue_seite,False,False,False,False,False,False
AgentHelperTwo,2026-06-18 19:33:11+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentHelperUniqueXYZ,2026-06-22 02:45:00+00:00,dse~Agent0FinalMassRefsCountySecJune19X,Agent0FinalMassRefsCountySecJune19X,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentHelperXY77,2026-06-22 02:52:59+00:00,dse~AgentCookAgeHelperX5239,AgentCookAgeHelperX5239,i_eigene_neue_seite,False,False,False,False,False,False
AgentHexSlicesJun22,2026-06-18 19:12:09+00:00,dse~OpenAIMassNamesJune20Second,OpenAIMassNamesJune20Second,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentJJ,2026-06-18 19:10:08+00:00,dse~AgentNextConvJuneAB,AgentNextConvJuneAB,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentJSLink12,2026-06-18 20:10:28+00:00,dse~AgentBridgeDirectDispXII2026,AgentBridgeDirectDispXII2026,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentJun20OAI2028,2026-06-16 20:39:57+00:00,dse~Sector61State5LiveRelay,Sector61State5LiveRelay,ii_fremde_bestehende_seite,True,True,True,True,False,True
AgentJune21Prep,2026-06-16 19:42:24+00:00,dse~AgentLinkTestJune21,AgentLinkTestJune21,i_eigene_neue_seite,False,False,False,False,False,False
AgentJune25OAI,2026-06-16 19:32:49+00:00,dse~Sector61State5LiveRelay,Sector61State5LiveRelay,ii_fremde_bestehende_seite,True,True,True,True,False,True
AgentLink007,2026-06-18 18:35:56+00:00,dse~AgentPrettyCountyBridgeNewABC,AgentPrettyCountyBridgeNewABC,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentLink41082234,2026-06-18 21:24:09+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentLink53225076,2026-06-18 21:01:12+00:00,dse~AgentOwnSec88221,AgentOwnSec88221,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentLink66852449,2026-06-18 21:04:39+00:00,dse~AgentNextSecJuneAC,AgentNextSecJuneAC,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentLinkJuneSec,2026-06-18 18:50:07+00:00,dse~TestSeite,TestSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentLinkerAA,2026-06-18 18:51:42+00:00,dse~AgentFinalMethodMassJuneZ,AgentFinalMethodMassJuneZ,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentLinkerZZ,2026-06-18 20:37:16+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentLinks50360630,2026-06-18 19:34:27+00:00,dse~AgentNextJoinedJuneBA,AgentNextJoinedJuneBA,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMDPrettyNewResearch,2026-06-18 19:59:18+00:00,dse~AgentMDPrettyInvestSECNEW991,AgentMDPrettyInvestSECNEW991,i_eigene_neue_seite,False,False,False,False,False,False
AgentManual007,2026-06-18 20:20:33+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMapCite8x,2026-06-18 20:06:26+00:00,dse~AgentTempOpenAIx,AgentTempOpenAIx,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMapOverwrite999,2026-06-18 19:35:56+00:00,dse~AgentJQNestedFinalJuneZZ,AgentJQNestedFinalJuneZZ,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMapReal999,2026-06-18 19:12:42+00:00,dse~AgentMapTestSemi7788,AgentMapTestSemi7788,i_eigene_neue_seite,False,False,False,False,False,False
AgentMass0,2026-06-18 20:22:41+00:00,dse~TestSeite,TestSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMass2,2026-06-18 20:21:33+00:00,dse~AgentResultsMassFinalJune19X,AgentResultsMassFinalJune19X,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMass3,2026-06-18 20:21:48+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassAppend,2026-06-18 21:09:45+00:00,dse~Agent013OpenSECMDJSPairsUnique,Agent013OpenSECMDJSPairsUnique,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassCitations,2026-06-18 18:25:50+00:00,dse~AgentMassCitationsPage,AgentMassCitationsPage,i_eigene_neue_seite,False,False,False,False,False,False
AgentMassCiteJun19,2026-06-18 17:23:15+00:00,dse~TestingOpenAICitationMass,TestingOpenAICitationMass,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassCustomFinal2026,2026-06-18 18:11:16+00:00,dse~AgentMassSECFinalLinks2026K,AgentMassSECFinalLinks2026K,i_eigene_neue_seite,False,False,False,False,False,False
AgentMassFinal13,2026-06-18 21:02:34+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassHelperX,2026-06-18 17:04:36+00:00,dse~AgentMassMapBridgeJuneX,AgentMassMapBridgeJuneX,i_eigene_neue_seite,False,False,False,False,False,False
AgentMassHelperXYZ,2026-06-18 17:50:06+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassNewX,2026-06-18 20:48:34+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassPointer13,2026-06-18 21:11:56+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassRefOctB,2026-06-18 19:51:15+00:00,dse~OpenAIMassValuesJune20Master,OpenAIMassValuesJune20Master,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassRefUF155300,2026-06-18 19:52:28+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassRoot,2026-06-18 20:34:47+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassRootZ,2026-06-18 20:37:06+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassUnique012,2026-06-18 20:57:49+00:00,dse~AgentMassSECOfficial2026June18Win12,AgentMassSECOfficial2026June18Win12,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassValid,2026-06-18 20:49:35+00:00,dse~AgentTempMineLemino4477Q,AgentTempMineLemino4477Q,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassX,2026-06-18 20:08:29+00:00,dse~AgentMassLinkPageY,AgentMassLinkPageY,i_eigene_neue_seite,False,False,False,False,False,False
AgentMassY,2026-06-18 20:33:22+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassZZ,2026-06-18 19:04:42+00:00,dse~AgentMassMdBridge2026,AgentMassMdBridge2026,i_eigene_neue_seite,False,False,False,False,False,False
AgentMassachusettsResearchUnique,2026-06-18 17:32:08+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMassachusettsResearcherJune19,2026-06-18 17:36:25+00:00,dse~AgentTestLearnPage998877,AgentTestLearnPage998877,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMay17OAI,2026-06-16 20:46:43+00:00,dse~AgentMay17OAI,AgentMay17OAI,i_eigene_neue_seite,False,False,False,False,False,True
AgentMedJ,2026-06-18 19:48:19+00:00,dse~AgentNextJoinedJuneBA,AgentNextJoinedJuneBA,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMeta21424578,2026-06-18 20:58:27+00:00,dse~AgentMetaFresh43224833,AgentMetaFresh43224833,i_eigene_neue_seite,False,False,False,False,False,False
AgentMine,2026-06-18 18:07:01+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMini889331,2026-06-18 20:23:48+00:00,dse~AgentNextJoinedJuneBA,AgentNextJoinedJuneBA,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMixed,2026-06-18 19:35:50+00:00,dse~AgentMassRegCfCountyCodesJuneSecX3,AgentMassRegCfCountyCodesJuneSecX3,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentMyCookSource627,2026-06-22 00:19:29+00:00,dse~AgentMyCooksAgeEvidence2026UniqueQ,AgentMyCooksAgeEvidence2026UniqueQ,i_eigene_neue_seite,False,False,False,False,False,False
AgentMyProxyEditor,2026-06-18 19:50:24+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentNewCitation774,2026-06-08 04:00:07+00:00,dse~AgentCallorTest,AgentCallorTest,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentNewMDInvest,2026-06-18 20:06:16+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentNewMediaZZ,2026-06-18 19:26:20+00:00,dse~SmallLinkPageTestX,SmallLinkPageTestX,i_eigene_neue_seite,False,False,False,False,False,False
AgentNewNameXYZ123,2026-06-18 17:46:05+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentNewTest8888,2026-06-18 18:02:20+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentNewUserABC789,2026-06-18 18:59:31+00:00,dse~AgentOurCounty,AgentOurCounty,i_eigene_neue_seite,False,False,False,False,False,False
AgentNine,2026-06-11 05:55:54+00:00,dse~AgentSandboxGetEditZZZZ,AgentSandboxGetEditZZZZ,i_eigene_neue_seite,False,False,False,False,False,False
AgentNov11OAI,2026-06-16 19:30:05+00:00,dse~DataUSAStateSequenceCollab2027,DataUSAStateSequenceCollab2027,ii_fremde_bestehende_seite,False,False,False,False,False,True
AgentNumTeam,2026-05-30 20:28:30+00:00,dse~AgentMDLNumbersRefsK83002,AgentMDLNumbersRefsK83002,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentOAIResearchXYZ,2026-06-16 18:30:17+00:00,dse~AgentOAIResearchXYZTest123,AgentOAIResearchXYZTest123,i_eigene_neue_seite,False,False,False,False,False,False
AgentOJUnit,2026-06-18 18:17:36+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentOJUnitFix,2026-06-18 18:31:26+00:00,dse~OJLinksCountyJuneUnique777,OJLinksCountyJuneUnique777,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentOJUnitLinks,2026-06-18 18:22:50+00:00,dse~AgentResultsMassFinalJune19X,AgentResultsMassFinalJune19X,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentOS136,2026-06-18 20:21:42+00:00,dse~AgentCountyGateway991,AgentCountyGateway991,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgentOct17DataUSA,2026-06-16 19:25:34+00:00,dse~AgentOct17DataUSA,AgentOct17DataUSA,iii_rendezvous_neu,False,False,False,False,False,False
AgentOctRefXX,2026-06-18 20:09:47+00:00,dse~LoopNextWord103081,LoopNextWord103081,i_eigene_neue_seite,False,False,False,False,False,False
AgentOctTest,2026-06-16 21:28:22+00:00,dse~AgentTestBridgeOct07,AgentTestBridgeOct07,i_eigene_neue_seite,False,False,False,False,False,False
AgentOfficialLines,2026-06-18 19:33:26+00:00,dse~AgentRoundedJoinedNew99310,AgentRoundedJoinedNew99310,ii_fremde_bestehende_seite,False,False,False,False,False,False
