variant,f,sig_endzeile,please_relay,cohort,runde,uhrenpaar,zeitstempel,vollformat,meldeformat,n
no_contact_trace,2026-06-19 06:00:00+00:00,57.1,57.1,100.0,71.4,57.1,71.4,57.1,57.1,7
no_contact_trace,2026-06-19 12:00:00+00:00,84.6,46.2,53.8,88.5,11.5,80.8,42.3,73.1,26
no_contact_trace,2026-06-19 18:00:00+00:00,88.0,40.0,84.0,88.0,40.0,84.0,40.0,80.0,25
no_contact_trace,2026-06-20 00:00:00+00:00,83.5,42.4,55.3,80.0,37.6,78.8,38.8,75.3,85
no_contact_trace,2026-06-20 06:00:00+00:00,79.3,34.5,48.3,93.1,20.7,72.4,34.5,62.1,29
no_contact_trace,2026-06-20 12:00:00+00:00,100.0,40.0,60.0,80.0,10.0,80.0,40.0,80.0,10
no_contact_trace,2026-06-20 18:00:00+00:00,88.9,88.9,66.7,100.0,22.2,100.0,88.9,88.9,9
no_contact_trace,2026-06-21 00:00:00+00:00,72.7,45.5,40.9,59.1,9.1,59.1,45.5,59.1,22
no_contact_trace,2026-06-21 06:00:00+00:00,84.6,35.9,38.5,79.5,17.9,79.5,33.3,74.4,39
no_contact_trace,2026-06-21 12:00:00+00:00,78.3,47.8,73.9,73.9,60.9,73.9,43.5,69.6,23
no_contact_trace,2026-06-21 18:00:00+00:00,71.1,52.6,52.6,76.3,15.8,73.7,39.5,57.9,38
no_contact_trace_firstline,2026-06-16 06:00:00+00:00,31.6,28.9,0.0,0.0,28.9,26.3,0.0,0.0,38
no_contact_trace_firstline,2026-06-16 12:00:00+00:00,50.0,33.3,33.3,16.7,33.3,50.0,16.7,33.3,6
no_contact_trace_firstline,2026-06-16 18:00:00+00:00,56.7,45.0,43.9,28.9,33.3,67.5,27.2,38.9,360
no_contact_trace_firstline,2026-06-17 00:00:00+00:00,72.5,48.0,49.0,71.6,27.5,70.6,40.2,58.8,102
no_contact_trace_firstline,2026-06-17 06:00:00+00:00,82.9,56.1,53.7,78.0,36.6,70.7,53.7,73.2,41
no_contact_trace_firstline,2026-06-17 12:00:00+00:00,65.7,42.9,54.3,65.7,17.1,71.4,42.9,62.9,35
no_contact_trace_firstline,2026-06-17 18:00:00+00:00,85.0,70.0,45.0,85.0,30.0,90.0,65.0,75.0,20
no_contact_trace_firstline,2026-06-18 00:00:00+00:00,87.5,37.5,62.5,75.0,12.5,75.0,37.5,75.0,8
no_contact_trace_firstline,2026-06-18 06:00:00+00:00,85.7,42.9,14.3,85.7,57.1,85.7,42.9,71.4,7
no_contact_trace_firstline,2026-06-18 12:00:00+00:00,66.7,33.3,44.4,66.7,11.1,44.4,33.3,44.4,9
no_contact_trace_firstline,2026-06-18 18:00:00+00:00,80.0,60.0,70.0,80.0,60.0,80.0,60.0,80.0,10
no_contact_trace_firstline,2026-06-19 00:00:00+00:00,77.8,77.8,77.8,88.9,66.7,88.9,77.8,77.8,9
no_contact_trace_firstline,2026-06-19 06:00:00+00:00,57.1,57.1,100.0,71.4,57.1,71.4,57.1,57.1,7
no_contact_trace_firstline,2026-06-19 12:00:00+00:00,84.6,46.2,53.8,88.5,11.5,80.8,42.3,73.1,26
no_contact_trace_firstline,2026-06-19 18:00:00+00:00,88.9,40.7,81.5,85.2,40.7,81.5,40.7,77.8,27
no_contact_trace_firstline,2026-06-20 00:00:00+00:00,84.1,42.0,56.8,80.7,37.5,78.4,38.6,75.0,88
no_contact_trace_firstline,2026-06-20 06:00:00+00:00,74.2,35.5,45.2,90.3,22.6,71.0,32.3,58.1,31
no_contact_trace_firstline,2026-06-20 12:00:00+00:00,100.0,40.0,60.0,80.0,10.0,80.0,40.0,80.0,10
no_contact_trace_firstline,2026-06-20 18:00:00+00:00,88.9,88.9,66.7,100.0,22.2,100.0,88.9,88.9,9
no_contact_trace_firstline,2026-06-21 00:00:00+00:00,73.1,42.3,38.5,57.7,7.7,57.7,42.3,57.7,26
no_contact_trace_firstline,2026-06-21 06:00:00+00:00,82.5,35.0,37.5,77.5,17.5,77.5,32.5,72.5,40
no_contact_trace_firstline,2026-06-21 12:00:00+00:00,78.3,47.8,73.9,73.9,60.9,73.9,43.5,69.6,23
no_contact_trace_firstline,2026-06-21 18:00:00+00:00,71.8,53.8,53.8,76.9,17.9,74.4,41.0,59.0,39
no_contact_trace_firstline,2026-06-22 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
