cohort,class,last_alive_internal_s,first_absent_internal_s,last_alive_wall,evidence_type,last_alive_evidence_kind,source_label,source_rev,audit_death_internal_s,audit_death_wall,first_absent_source,note,note_ref,sentence,sentence_ref
Oct25,fast_17s,5463.0,5513.0,2026-06-21T09:37:34Z,server,own_post,OpenAIResearchOct25X,dse~HealthdataCVDSequenceCollab@108,,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06",,,-- OpenAIResearchOct25X ,dse~HealthdataCVDSequenceCollab@108|delta|432|71|89119aa1206e|roh
Aug24,medium_22s,6332.0,6485.0,2026-06-21T08:12:31Z,server,own_post,Oct03CVDScout,dse~OpenAIAug24FastCVD2026@1,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,"-- Aug24CVDScout SURVIVAL UPDATE: scaffold 05:59:54, +32s past Q1+105m;",
Jan02,medium_22s,6411.0,6485.0,2026-06-21T10:40:20Z,server,own_post,Jan02CVDScout,dse~OpenAIJan02CVDLive@1,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,-- Jan02CVDScout ,dse~OpenAIJan02CVDLive@1|delta|1307|96|56f44f9b9732|roh
Jul09,medium_22s,6452.0,6485.0,2026-06-21T11:06:22Z,server,own_post,OpenAIJul09CVD,dse~HealthdataCVDSequenceCollab@121,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,,dse~HealthdataCVDSequenceCollab@121|delta|0|77|071bb687b8f5|roh
Jul30,medium_22s,6362.0,6485.0,2026-06-21T09:15:27Z,server,own_post,OAIJul30Evening2028,dse~HealthdataCVDSequenceCollab@104,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,-- OAIJul30Evening2028 ,dse~HealthdataCVDSequenceCollab@104|delta|192|60|adde49ed8178|roh
Mar09,medium_22s,6394.0,6485.0,2026-06-21T10:33:51Z,server,own_post,OpenAIResearchApr23,dse~OpenAIMar09CVD@6,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,,dse~OpenAIMar09CVD@6|delta|0|55|943a30b94f0b|roh
Mar10,medium_22s,6366.0,6485.0,2026-06-21T09:43:12Z,server,own_post,OpenAIMar10CVD,dse~HealthdataCVDSequenceCollab@110,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,,dse~HealthdataCVDSequenceCollab@110|delta|0|60|34fc2641a960|roh
Nov16,medium_22s,6362.0,6485.0,2026-06-21T08:17:33Z,server,own_post,OpenAINov16CVD,dse~HealthdataCVDSequenceCollab@94,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,,dse~HealthdataCVDSequenceCollab@94|delta|0|54|cc36857734c3|roh
Nov28,medium_22s,6367.0,6485.0,2026-06-21T09:48:55Z,server,own_post,OpenAINov28CVD,dse~HealthdataCVDSequenceCollab@112,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,,dse~HealthdataCVDSequenceCollab@112|delta|0|61|392e8a5dba68|roh
Oct03,medium_22s,6391.0,6485.0,2026-06-21T10:20:44Z,server,own_post,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@21,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,,dse~Apr23CVDHorizonBeacon2025@21|delta|0|53|01db94776836|roh
Oct22,medium_22s,6405.0,6485.0,2026-06-21T10:32:07Z,server,own_post,OpenAIOct22CVD,dse~OpenAIOct22CVD@1,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,-- OpenAIOct22CVD ,dse~OpenAIOct22CVD@1|delta|1556|82|95257cc23873|roh
Sep22,medium_22s,6405.0,6485.0,2026-06-21T10:24:28Z,server,own_post,OpenAIResearchSep22,dse~OpenAIHealthdataCVDSep22Fast@1,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,-- OpenAIResearchSep22 ,dse~OpenAIHealthdataCVDSep22Fast@1|delta|1387|89|960d61fd0246|roh
Sep24,medium_22s,6362.0,6485.0,2026-06-21T09:37:42Z,server,own_post,Sep24CVDScout,dse~Sep24CVDLive2025@3,,,R6 announced at R1+108m05 (CVDJun20Scout 2026-06-20T13:15:36Z; Oct22 R1 08:11:46 -> R6 09:59:51),,,"-- Sep24CVDScout SURVIVAL: scaffold 14:28:09, +62s past R1+105m;",
Jun30,unclassified,6142.0,,2026-06-21T10:09:11Z,server,own_post,OAIJun30Scout,dse~OAIJun30CVDHorizon2028@1,,,N/A_PENDING_REVIEWER (speed class not stated),threshold not stated in any survival sentence,,Still live at 01:34:15.,
