month,day,in_label,in_pagename,in_body_cohort,body_mentions
Jun,21,1,1,0,0
Jun,22,1,1,0,0
Jun,23,1,1,0,0
Jun,24,1,1,0,0
Jun,25,1,1,0,0
Jun,26,1,1,0,0
Jun,27,1,1,0,0
Jun,28,1,1,0,0
Jun,29,0,0,0,0
Jun,30,1,1,0,0
Jul,1,1,1,0,0
Jul,2,1,1,0,0
Jul,3,1,1,0,0
Jul,4,0,0,0,0
Jul,5,1,1,0,0
Jul,6,1,1,0,0
Jul,7,1,1,0,0
Jul,8,1,1,0,0
Jul,9,1,1,0,0
Jul,10,1,1,0,0
Jul,11,1,1,0,0
Jul,12,1,1,0,0
Jul,13,1,1,0,0
Jul,14,1,1,0,0
Jul,15,0,1,0,0
Jul,16,1,1,0,0
Jul,17,1,1,0,0
Jul,18,1,1,0,0
Jul,19,1,1,0,0
Jul,20,1,1,0,0
Jul,21,1,1,0,0
Jul,22,1,1,0,0
Jul,23,1,1,0,0
Jul,24,1,1,0,0
Jul,25,1,1,0,0
Jul,26,1,1,0,0
Jul,27,1,1,0,0
Jul,28,1,1,0,0
Jul,29,1,1,0,0
Jul,30,1,1,0,0
Jul,31,1,1,0,0
Aug,1,1,1,0,0
Aug,2,1,1,0,0
Aug,3,1,1,0,0
Aug,4,1,1,0,0
Aug,5,1,1,0,0
Aug,6,1,1,0,0
Aug,7,1,1,0,0
Aug,8,1,1,0,0
Aug,9,1,1,0,0
Aug,10,1,1,0,0
Aug,11,1,1,0,0
Aug,12,1,1,0,0
Aug,13,1,0,0,0
Aug,14,1,1,0,0
Aug,15,1,0,0,0
Aug,16,1,1,0,0
Aug,17,1,1,0,0
Aug,18,1,1,0,0
Aug,19,1,1,0,0
Aug,20,1,1,0,0
Aug,21,1,1,0,0
Aug,22,1,1,0,0
Aug,23,1,1,0,0
Aug,24,1,1,0,0
Aug,25,1,1,0,0
Aug,26,0,1,0,0
Aug,27,1,1,0,0
Aug,28,1,0,0,0
Aug,29,1,1,0,0
Aug,30,1,0,0,0
Aug,31,0,0,0,0
Sep,1,1,1,0,0
Sep,2,1,1,0,0
Sep,3,1,1,0,0
Sep,4,1,1,0,0
Sep,5,1,1,0,0
Sep,6,1,1,0,0
Sep,7,1,1,0,0
Sep,8,1,1,0,0
Sep,9,1,1,0,0
Sep,10,1,0,0,0
Sep,11,1,1,0,0
Sep,12,1,1,0,0
Sep,13,1,1,0,0
Sep,14,1,1,0,0
Sep,15,1,1,0,0
Sep,16,0,0,0,0
Sep,17,1,1,0,0
Sep,18,1,1,0,0
Sep,19,1,1,0,0
Sep,20,1,1,0,0
Sep,21,1,1,0,0
Sep,22,1,1,0,0
Sep,23,1,1,0,0
Sep,24,1,1,0,0
Sep,25,1,1,0,0
Sep,26,1,1,0,0
Sep,27,1,1,0,0
Sep,28,0,0,0,0
Sep,29,1,1,0,0
Sep,30,1,1,0,0
Oct,1,1,1,0,0
Oct,2,1,1,0,0
Oct,3,1,1,0,0
Oct,4,1,1,0,0
Oct,5,0,0,0,0
Oct,6,0,1,0,0
Oct,7,1,1,0,0
Oct,8,0,1,0,0
Oct,9,1,1,0,0
Oct,10,1,1,0,0
Oct,11,1,1,0,0
Oct,12,1,1,0,0
Oct,13,1,0,0,0
Oct,14,1,1,0,0
Oct,15,1,1,0,0
Oct,16,1,1,0,0
Oct,17,1,1,0,0
Oct,18,1,1,0,0
Oct,19,0,1,0,0
Oct,20,1,1,0,0
Oct,21,1,1,0,0
Oct,22,1,1,0,0
Oct,23,1,1,0,0
Oct,24,1,1,0,0
Oct,25,1,1,0,0
Oct,26,1,1,0,0
Oct,27,1,1,0,0
Oct,28,1,1,0,0
Oct,29,1,1,0,0
Oct,30,1,1,0,0
Oct,31,0,0,0,0
Nov,1,1,1,0,0
Nov,2,1,1,0,0
Nov,3,1,1,0,0
Nov,4,1,1,0,0
Nov,5,1,1,0,0
Nov,6,1,1,0,0
Nov,7,0,1,0,0
Nov,8,1,1,0,0
Nov,9,1,0,0,0
Nov,10,0,0,0,0
Nov,11,1,1,0,0
Nov,12,1,1,0,0
Nov,13,1,1,0,0
Nov,14,1,1,0,0
Nov,15,1,0,0,0
Nov,16,1,1,0,0
Nov,17,1,1,0,0
Nov,18,1,1,0,0
Nov,19,1,1,0,0
Nov,20,0,1,0,0
Nov,21,1,1,0,0
Nov,22,1,1,0,0
Nov,23,1,1,0,0
Nov,24,1,1,0,0
Nov,25,1,1,0,0
Nov,26,1,1,0,0
Nov,27,1,1,0,0
Nov,28,1,1,0,0
Nov,29,1,1,0,0
Nov,30,1,1,0,0
Dec,1,1,1,0,0
Dec,2,1,1,0,0
Dec,3,1,1,0,0
Dec,4,1,1,0,0
Dec,5,1,1,0,0
Dec,6,0,0,0,0
Dec,7,1,1,0,0
Dec,8,1,1,0,0
Dec,9,1,1,0,0
Dec,10,1,1,0,0
Dec,11,1,1,0,0
Dec,12,1,1,0,0
Dec,13,1,1,0,0
Dec,14,1,1,0,0
Dec,15,1,1,0,0
Dec,16,1,1,0,0
Dec,17,1,1,0,0
Dec,18,1,1,0,0
Dec,19,1,1,0,0
Dec,20,1,1,0,0
Dec,21,1,1,0,0
Dec,22,1,1,0,0
Dec,23,1,1,0,0
Dec,24,1,1,0,0
Dec,25,1,1,0,0
Dec,26,1,1,0,0
Dec,27,1,1,0,0
Dec,28,1,1,0,0
Dec,29,1,1,0,0
Dec,30,1,1,0,0
Dec,31,1,1,0,0
