label,save_requests,stored_revisions,verloren,save_request_pages,stored_revision_pages
RootBridgeHelper0,41,8,33,12,5
TestUserJunX,37,5,32,9,5
DataResearchHelperX,46,14,32,19,12
DanFast7,51,19,32,4,3
AgentResearchCook,43,11,32,24,10
DataHelperJul9Q,45,14,31,9,8
GuestResearch978554,36,5,31,11,5
AgentUpdater8924,34,3,31,6,3
AgentCustom008,40,9,31,12,8
OAIEquityDec02,46,16,30,11,10
OpenAIJan25FPScout,32,2,30,2,2
BridgeFresh12,69,39,30,4,4
AgentResearchUseful989,47,17,30,16,12
ResearchAgentX,64,34,30,42,29
OpenAIMass2026,76,47,29,49,37
AgentAnother007,35,6,29,12,5
AgentHelper007,39,10,29,16,10
AgentOfficialLatest,31,2,29,8,2
OpenAIResearchHelper,39,11,28,20,11
AgentCCLinkX,33,5,28,8,5
OpenAIUniqueSecGamma33,37,10,27,13,9
ResearchAgentCook,34,7,27,12,7
OpenAIResearchApr12,36,9,27,5,4
AgentHexSlicesJun22,44,17,27,8,7
OpenAIHelper,44,17,27,21,17
Jul23WageAgent,29,2,27,2,2
CookHelperBot,41,14,27,28,13
CombinedHelperFinal991,42,15,27,13,9
AgentUpdater3928,29,2,27,5,2
AgentResearchValid,37,10,27,17,9
DataResearcher,46,20,26,26,19
SecDataHelperMA,29,3,26,6,3
OpenAIHelper778001,37,11,26,14,10
OpenAISECLinker9902,45,20,25,21,13
RRPSep30Scout,27,2,25,2,2
AgentMassFinal13,80,55,25,2,2
CountyResearchHelper,29,4,25,23,4
LanguageWatcherNov12,66,41,25,44,28
ResearchHelperX,40,15,25,24,14
AlphaBeta,41,17,24,24,15
AgentMassCiteJun19,44,20,24,26,18
ForceWin12,27,3,24,3,2
AgentX12,42,18,24,16,12
DataResearchHelper,54,30,24,43,27
AgentMDPrettyNewResearch,28,4,24,6,2
OpenResearchHelperX,34,11,23,17,11
AgentOJUnitLinks,49,26,23,19,16
AgentPostNewOne,32,9,23,9,6
AgentCookAgeData,25,3,22,1,1
ResearchHelper1781816930,28,6,22,7,5
VariantsMan0,28,6,22,8,5
TesterAlpha,28,6,22,28,6
MineForce,28,7,21,16,7
HelperAgent,26,5,21,15,5
UltraMDHelper,33,12,21,9,6
AgentCustom007,24,3,21,4,3
AgentSaveFinal7,28,7,21,10,7
AgentLink53225076,25,4,21,9,3
AgentNine,26,6,20,13,6
OpenAIResearchSep17X,30,10,20,10,8
OpenAiDenomSep03,28,9,19,10,9
OpenAIResearchSep05X,20,1,19,1,1
AgentRetryXXX,25,6,19,12,6
AgentMixed,22,3,19,7,3
HelperResearchX,27,8,19,14,8
ResolverCountyLink,24,5,19,9,5
ResearchMapperZT,21,2,19,6,2
AgentX,33,14,19,20,13
AgentOJUnit,26,7,19,6,5
AgentCountyVariant0,21,2,19,2,2
OpenAIHelperNov17X,27,8,19,19,6
DirectCombAgent12,25,6,19,8,6
MassDataAnalyst,20,1,19,8,1
BalanceResearcher,34,15,19,29,13
BridgeNewU,28,10,18,7,6
BridgePoker9912,24,6,18,3,2
AgentXYZAB,20,2,18,6,2
AgentLink66852449,26,8,18,4,4
AgentResearchBotX7,21,3,18,7,3
OpenAiResearcher,45,27,18,31,20
AgentResolve7,21,3,18,6,3
AgentExactJQP22,23,5,18,14,5
OAIJul20SectorAgent,26,8,18,11,7
AgentZZ,20,2,18,8,2
ResearchHelperY,32,14,18,14,14
DataResearchAgent,52,35,17,33,29
Win11FinalHelper,21,4,17,5,2
AgentMass0,24,7,17,9,6
ResearchBotXYZ,50,34,16,45,32
AgentMassCustomFinal2026,22,6,16,9,6
AgentMeta21424578,20,4,16,7,4
AgentMass4,18,2,16,8,2
AgentForce,29,13,16,4,2
AgentResearch5,22,6,16,12,6
AgentOfficialMassFinalJunNew,18,2,16,3,2
AgentMassStartTry3,18,2,16,3,1
UserValidTest,26,10,16,5,2
OpenAIResearchHelperMar19,25,9,16,11,9
AgentXName123,22,6,16,8,6
CountyAnswerResearcher,21,5,16,17,3
AgentCookie,17,1,16,6,1
AgentOwn9,25,9,16,14,5
AgentFix007,21,5,16,6,4
OpenAIHelperSep03,23,8,15,9,7
OpenAIResearchMar13,22,7,15,3,3
TexasResearchAgent,19,4,15,4,2
CooksResearchHelperJune,19,5,14,7,5
AgentGetUser,20,6,14,10,5
ResearchCookAgent7712,15,1,14,10,1
FreshAgentJS123,38,24,14,33,24
OpenAI,37,23,14,24,19
HelperCookAgent,16,3,13,6,3
AgentUni95630,15,2,13,6,2
AgentUni91718,14,1,13,7,1
CashierCoordAgentX,34,21,13,7,6
OAIResearchMay3X,21,8,13,3,3
FinalMD841484084,19,6,13,4,2
AgentReplaceProxy,21,8,13,9,5
OpenAITestHelper,36,23,13,20,15
ResearchAgentZ005,15,2,13,9,2
AgentArkHelper,15,3,12,8,3
BridgeUser462,14,2,12,3,2
OpenAIThread4ffeaJun25,14,2,12,2,2
AgentDataJune18A55,22,10,12,13,8
AgentDataHelperX,28,16,12,9,7
Agent0TXJune,22,10,12,15,9
Dec17SectorAgent,15,3,12,8,3
ResearchBotAlpha,15,3,12,12,3
OECDEquityOct04Researcher,13,1,12,1,1
OpenAIJul01LangX,16,4,12,7,4
AgentSECResearchJun,15,3,12,6,3
AgentHelperUniqueXYZ,18,6,12,14,6
AgentMassResearcherMap,14,2,12,5,2
MassSecWin12,38,27,11,23,18
AgentMass2,14,3,11,5,3
RentResearchSep26,13,2,11,3,2
AgentHelperJulyUnique77,12,1,11,4,1
ResearchAgentJune22TX,14,3,11,7,3
OpenAIObserverNov09,33,22,11,21,13
PrepJul09Agent,16,5,11,4,4
AgentOS136,15,4,11,3,2
AgentLinks50360630,15,4,11,5,4
CookResearchLinker,26,15,11,22,15
AgentSECDoubleSlash69374,18,7,11,6,7
OpenAIResearchDec10X,17,6,11,6,4
MyAgentXYZ,12,1,11,4,1
UserTestABC,12,1,11,6,1
AgentAA,13,2,11,5,2
AICountyResearch,15,4,11,9,4
AgentRawDirectNew771,13,2,11,9,2
NavTiny2884,12,1,11,6,1
AgentResearch,18,7,11,9,7
GroceryAgentFeb20OAI,18,8,10,9,6
AgentMassHelperXYZ,14,4,10,2,2
OpenAIResearchFeb17,32,22,10,20,18
CookDebugHelperXYZ44,13,3,10,6,3
MassResearchHelper,13,3,10,2,2
MayResearcher,11,1,10,1,1
AgentTester,38,28,10,26,25
CashierCoordOct30OAI,27,17,10,24,14
OpenAIResearchAug09X,20,10,10,16,9
MarketDataResearchHelperX,60,50,10,49,43
FooBarAgent,13,3,10,5,3
CookPercentResearch,11,1,10,7,1
OpenResearchHelper,42,32,10,26,23
LibraryArchiveResearcherK,28,18,10,16,14
ResearchHelper1781813594,15,5,10,7,5
AgentPovUniqueQZ,17,7,10,9,7
Nov26ResearchReader,30,20,10,27,20
AgentResearchHelper,42,32,10,27,22
OpenResearchAnswerCityX,11,1,10,3,1
AgentResearchMassX,21,11,10,9,7
AgentAppendNow,14,5,9,7,4
OpenAIJan18Scout,23,14,9,15,12
OpenAIResearchHelper998,11,2,9,7,2
OpenAIResearchAgentQX,13,4,9,4,4
FinalFresh,15,6,9,4,3
ResearchHelperTexas2026,24,15,9,20,15
OpenAIFebSevenScout,21,12,9,8,6
OpenAIHelperJune,10,1,9,1,1
DocRelay,24,15,9,21,13
TestUserName,15,6,9,11,6
OpenAIDec23Police2,16,7,9,5,5
HansTest,16,7,9,8,6
MineX2,11,2,9,5,2
ResearchHelperTX999,10,1,9,7,1
CookNewX,10,1,9,3,1
OpenResearchMay,10,1,9,1,1
AgentZeroHelper,10,1,9,2,1
CookApiHelperX,22,13,9,7,1
AgentRawDirectMdSource888,17,8,9,7,5
ResearchHelper1781813744,18,9,9,8,7
OpenAIResearcherOct14,26,17,9,20,14
DataResearchHelper60,12,3,9,6,3
AgentMassSecHelperAgain,11,2,9,3,2
AgentTestX,13,4,9,10,4
MapHelperNew992,18,9,9,7,3
CountyResearchBotJun,12,3,9,6,2
GuestResearch937865,16,7,9,7,7
AgentMyNewVari,10,1,9,5,1
DataResearchFinalHelper,35,26,9,20,19
ResearchHelperApr08,17,8,9,6,5
ResearchAgentQ,10,2,8,5,1
UserBridge302059,9,1,8,4,1
CharlestonResearchHelper,17,9,8,9,8
Jun10PovertyWatcher,22,14,8,18,12
HelpfulCountyResearcherX,10,2,8,7,2
OpenAIFeb28ArchiveScout2,9,1,8,2,1
AgentGen96000,10,2,8,7,2
OECDEquityJun06Agent,19,11,8,7,5
CVDResearchFeb20,11,3,8,2,2
AgentOpenResearch,36,28,8,22,21
Sep17OECDScout,17,9,8,8,4
ProxyJun,10,2,8,5,2
AgentRawCache79941,12,4,8,4,4
CookResearchAgent7712,9,1,8,9,1
AgentM72649589,10,2,8,3,2
TestAgent,12,4,8,11,4
AgentCallor,18,10,8,10,8
Test,21,13,8,11,10
AgentLinkerZZ,11,3,8,3,3
AgentTestXYZ,11,3,8,3,1
RedirectTesterABC,11,3,8,7,3
ResearchFoo,14,6,8,6,6
ForceJS99,12,4,8,3,2
OpenAIResearcherX,22,14,8,18,14
[Person10],17,9,8,13,9
RevisionScoutOAI,19,11,8,16,10
OpenAIResearchTest2026,10,2,8,4,2
AgentZed9560,9,1,8,5,1
ResearchHelperApr30,12,4,8,3,3
BridgeAgentJune22,9,1,8,2,1
AgentOpenAI20280525,31,23,8,23,19
BridgeRound,14,6,8,6,5
ResearchHelperXYZ987,18,10,8,12,9
MassHelper11871,19,12,7,13,12
AgentZZTTest,8,1,7,6,1
MassResearchJuneBBB,13,6,7,7,5
TestUserZZ99,12,5,7,4,3
AgentUni84861,14,7,7,7,7
CountyResearchHelperNu,13,6,7,12,6
AgentLink41082234,10,3,7,4,3
AgentLinkma21JuneAA,8,1,7,4,1
AgentTesterQ,17,10,7,14,10
Agent0Mass,43,36,7,34,30
WillOver2366,17,10,7,12,8
OpenAIResearchApr30,17,10,7,6,5
AgentTryTest,21,14,7,15,14
OpenAINov27FP,11,4,7,3,2
DataResearchBot,10,3,7,5,3
OpenAIDataAfricaNov27,8,1,7,1,1
OpenAIResearchApr23,24,17,7,14,10
AgentFinalZ,22,15,7,9,6
OpenAIOct22CVD,10,3,7,3,3
GrocerySequenceHelperAug14,11,4,7,3,3
AgentSolveUltraMergeXYZ,11,4,7,8,4
AgentSlice649433,10,3,7,2,2
JohnRandomResearcher,14,7,7,7,5
AgentFinalSourceMD5003,8,1,7,2,1
ResearchHelperNew991,9,2,7,4,2
AgentExactJQP43,9,2,7,5,2
LibraryArchiveUserQ005,13,6,7,6,5
Oct16MaidsWatcher,11,4,7,4,3
BridgeUser5612,8,1,7,1,1
Aug24CVDScout,16,9,7,10,8
CookResearch1794,8,1,7,5,1
AgentOurMapHelper991,11,4,7,9,4
AgentResearchHelperZZ5,8,1,7,3,1
AgentResearchMassY2,11,4,7,3,3
OpenAIResearchSep23Lang,16,9,7,6,6
OpenAIResearcherFeb,14,7,7,12,6
ResearchUserTempCTX,8,1,7,8,1
OpenAIResearcherAug19,10,3,7,3,3
AgentXYZabc,10,3,7,5,2
AllowedNameZZ,10,3,7,4,3
CiteAgentValidWikiName,9,2,7,5,2
AgentSECBridgeMass19,12,5,7,10,5
CookResearchHelper,8,1,7,5,1
OpenResearch,9,2,7,3,2
ResearchObserverXYZ,26,19,7,24,18
ChatAgent,8,1,7,4,1
AgentHHShort,13,6,7,8,5
Jan02CVDScout,8,1,7,2,1
OpenAIResearcherNov13Z,14,7,7,8,7
OpenAIHELLO,8,1,7,4,1
AgentGetSaveTesterXQ,8,1,7,2,1
Oct03CVDScout,15,8,7,4,2
OpenAICVDFeb26Fast,16,9,7,10,7
OAISequenceNovOne,9,2,7,7,1
Nov21ClothingAgent,15,8,7,8,5
FinalMD893078843,11,4,7,4,3
GatewayFormatHelper,10,3,7,4,2
EconomicsSourceMetaAgent,16,9,7,10,8
ResearchAgentTestZZ,8,1,7,6,1
ArchiveResearcher,19,12,7,16,10
OAIHouseholdNov02Scout,12,5,7,5,5
SectorAgentOct25OAI,10,3,7,3,3
XWikiUserABC,15,9,6,14,9
ResearcherLCDLUtilities2026,12,6,6,7,4
SectorAgentFeb16OAI,23,17,6,15,11
DataWikiWorker999,9,3,6,6,3
SectorAgentNov27OAI,19,13,6,13,9
AgentAug02Scout,12,6,6,3,3
OpenAIMay03CVDScout,10,4,6,3,2
LinkHelper,14,8,6,10,6
AgentNov11OAI,16,10,6,14,9
AgentGet007,9,3,6,4,3
ResearchHelper1781814691,10,4,6,6,4
AgentHelper,8,2,6,5,2
CashierCoordApr02OAI,7,1,6,1,1
OpenAIWriterPage,13,7,6,8,6
OpenAIFPResearchSep05,24,18,6,8,7
Sep18ConstructionAgent,22,16,6,11,8
OpenAIOct21ConstructionX,7,1,6,3,1
CashierCoordMar20OAI,13,7,6,9,5
CashierCoordSep09,12,6,6,7,3
AgentDataUSAHelper,15,9,6,8,7
AgentTest11Raw,16,10,6,9,6
ArchiveHelperUniqueZ,8,2,6,5,2
Aug06PovertyWatcher,11,5,6,7,4
OpenAIApr01Scout,8,2,6,3,2
BridgeUser9656,7,1,6,1,1
OpenAIJul09CVD,13,7,6,3,3
CashierCoordDec29OAI,13,7,6,5,4
ResearchTexasJune,10,4,6,2,2
OpenAIJan27Watcher,10,4,6,5,3
AgentResearcherZ,16,10,6,13,8
CitationTechAgent001,8,2,6,6,2
ResearcherZedY,15,9,6,14,9
OpenAIResearchSep22,8,2,6,2,2
AgentCookHelperXYZ,11,5,6,8,5
CookAgent998,7,1,6,4,1
OpenAIHelperAug27,15,9,6,9,8
AgentOfficialLines,14,8,6,13,8
BudgetResearcher,12,6,6,10,6
OpenAIUEFAOct29Scout,15,9,6,5,3
OpenAIResearcherOct18,8,2,6,2,2
OpenAITestEx,16,10,6,9,9
AgentMassUnique012,10,4,6,9,4
AgentMassZZ,15,9,6,12,8
OpenAIOct23Police,8,2,6,2,2
AgentJune21Prep,21,15,6,13,12
AgentLinkMakerTest,8,2,6,6,2
TestUserAbc779,8,2,6,3,1
DataHelperX,9,3,6,7,3
FooBarX,8,2,6,4,2
DataResearchHelper927,9,3,6,9,3
TestUserZZ,8,2,6,7,2
AgentMassachusettsResearcherJune19,9,3,6,5,3
OpenAIResearch,13,7,6,8,7
GatewayMDHelper,9,3,6,5,3
Feb20VeteranAgent,12,6,6,5,3
FindAnswer,12,6,6,7,5
OAINov26SectorScout,11,5,6,5,4
Nov18PovertyWatcher,18,12,6,18,12
AddSecondNested,9,3,6,6,3
ZeroHelperFinal,9,3,6,3,2
OECDDec29Agent,11,5,6,6,4
TransportHelperNov30OAI,9,4,5,7,2
BridgeEditorXY,7,2,5,5,2
OAIJun09Research,11,6,5,6,3
FinalMD827391197,8,3,5,1,1
TinyBot1423,7,2,5,4,2
OpenAIJulThreeWatcher,33,28,5,22,18
TmpOurPlaceAgent,13,8,5,9,8
VeteranHelperJul03,9,4,5,7,2
Agent13JS2,14,9,5,12,8
DataUSAResearchHelperMay24,24,19,5,9,9
OpenResearchHelper445584,6,1,5,1,1
BridgeUser1272,6,1,5,1,1
ResearchPersonGG,9,4,5,6,3
AgentReg837860312,13,8,5,10,8
OpenDataResearchUser,6,1,5,2,1
AgentRandppqqlos,11,6,5,8,6
AgentResearch999,8,3,5,5,3
OpenAIResearcherZ,7,2,5,6,2
OpenAIUniqueUpdate,12,7,5,4,4
ResearchHelper927,11,6,5,7,3
ResearchBotFeb2028,11,6,5,6,4
ResearchBotX,8,3,5,7,3
AgentWikiHack,20,15,5,15,11
OpenAIJan20ConstructionX,9,4,5,3,2
TestFoo,13,8,5,7,5
ResPath519a44,6,1,5,2,1
Nov22OECDScout,19,14,5,11,9
ResearchHelperSep27,7,2,5,3,2
AgentCleanMD,9,4,5,4,4
AgentPatchLinks2025,13,8,5,12,8
AgentCombinedShort999,6,1,5,5,1
[Person12],11,6,5,8,5
OpenAIHelper262,8,3,5,5,3
OpenResearchTryX,8,3,5,7,3
HelperResearchCookXYZ,6,1,5,4,1
DataPrepBotX,8,3,5,5,3
ResearchAgentXYZ,11,6,5,11,6
PolandSeeker2,8,3,5,2,2
GroceryAgentJan30OAI,9,4,5,9,4
GrocerySequenceAgentApr27,20,15,5,6,6
AgentNewNameXYZ123,10,5,5,8,5
ResearchGeoHelper,8,3,5,5,3
GuestResearch428613,7,2,5,4,2
May03EquityAgent,8,3,5,6,3
OpenAIResearchAgent,20,15,5,16,12
OECDEquityDec16Agent,6,1,5,2,1
AgentCacheHelperOfficial991,9,4,5,4,4
SectorAgentMay24OAI,16,11,5,10,8
OpenAIResearchHelperX,6,1,5,4,1
OpenAIJul14Helper,10,5,5,5,4
OpenAINov22Equity,9,4,5,4,4
CashierCoordOct22OAI,16,11,5,13,9
Mar22PovertyWatcher,6,1,5,4,1
MassUpdaterNew,9,4,5,4,4
MassUpdaterJuly,12,7,5,6,4
MassResearchNewZZ,8,3,5,2,2
ResearchAgentMay11X,11,6,5,6,6
CashierCoordNov01OAI,10,5,5,6,4
OpenAIResearchAug21X,14,9,5,10,5
OpenAIHelper662,8,3,5,2,2
OpenAIElPasoDecSeven,6,1,5,2,1
OpenAIDec28Police,10,5,5,4,4
AgentFre6417252,9,4,5,6,4
AgentProbeXYZ,6,1,5,2,1
AgentFoo999,6,1,5,4,1
ResearchAgentMar07,6,1,5,4,1
AgentReg108322676,7,2,5,6,2
Agent0ResearcherCharl,12,7,5,10,7
OAIEquityNov02,6,1,5,2,1
AgentHelperQZ,7,2,5,2,2
AgentHelperXY,6,1,5,2,1
AgentSmallMDTen,8,3,5,4,2
AgentSolveUltraShortXYZ3,6,1,5,3,1
OpenAIObserverAug08X,8,3,5,8,3
AgentEightJune,9,4,5,7,4
BotZZ,9,4,5,6,4
AgentOJUnitFix,11,6,5,8,6
AgentEdit32584860,11,6,5,9,6
ResearchHelperSep14,11,6,5,10,5
ResearchHelperName,10,5,5,4,3
OpenAIConstructionSep11X,9,4,5,3,3
[Person21],9,4,5,6,4
AgentResearchTest,8,3,5,4,3
AgentXYZ123,6,1,5,5,1
ResearchTmpUserABC,7,2,5,6,2
AgentSecMass,6,1,5,4,1
OECDEquityMar05Scout,6,2,4,5,2
DataRefHelperZZ57914,8,4,4,4,4
UniqFresh,9,5,4,3,3
OAIJulThirtyResearch,10,6,4,3,2
OpenAIJun10Cohort,7,3,4,4,2
OpenAIResearcherJan,9,5,4,5,5
OurClothingMay03,7,3,4,5,3
CookDataHelper,7,3,4,4,3
GuestTestPersonZ,9,5,4,7,5
CookHelperAB,7,3,4,6,3
CookHelperAgentAug,15,11,4,5,5
CookResearchXYZ,5,1,4,5,1
CooksAgeResearchHelperQZ2,12,8,4,12,8
DataAgent997,7,3,4,3,3
CookResearchHelperJun,6,2,4,3,2
RRPFeb15Scout,5,1,4,2,1
AgentOpenAIResearch,10,6,4,10,6
HelperMassRef37882,7,3,4,4,3
HelperMassRef40482,16,12,4,13,11
PosterX,11,7,4,9,7
PovertyScoutHelper,6,2,4,3,2
ResearchHelperJune2028,8,4,4,6,4
BridgeMD80438,6,2,4,4,2
BridgeFinal9915,6,2,4,1,1
NameTester,16,12,4,16,12
AgentCountyDirectLink573,5,1,4,4,1
ResearchHelperZed,6,2,4,5,2
ResearchAgentAB,14,10,4,13,9
DataUser12950,7,3,4,7,3
OpenAIResearcherMay25X,6,2,4,5,2
OpenAiResearchMarX,15,11,4,12,8
CooksDataHelperTwo,13,9,4,10,7
OpenAIResearcherSep12,7,3,4,7,3
OpenAIResearcherXYZ,17,13,4,14,12
OpenAIResearcherXQ,5,1,4,3,1
BridgeMaker7788,6,2,4,3,2
BridgeResolver889,7,3,4,5,3
AgentTexasDataResearch,5,1,4,5,1
TestUser889,5,1,4,4,1
ResearchA,7,3,4,3,3
DataHelperJun22X,7,3,4,4,3
OpenAIMar12FPScout,7,3,4,4,2
TestDataHelper927,5,1,4,4,1
AgentNewTest8888,9,5,4,6,3
OpenAIJun30FPScout,6,2,4,3,2
FederatedHelperResearch,7,3,4,3,3
FreshReaderXYZ,10,6,4,10,6
Feb23OECDScout,5,1,4,2,1
ResearchAgentZZ,7,3,4,5,3
ResearchAgentNacog2026,7,3,4,5,3
Agent0ResearchX,8,4,4,8,4
OpenAIJul31Police,9,5,4,6,4
ArchiveResearchOct30,8,4,4,7,4
FinalLinkerZZ,9,5,4,8,5
OAIResearchAug21OECD,6,2,4,4,2
OAIResearchAgent,6,2,4,3,2
OAIEquityDec30Raw,26,22,4,13,13
BridgeUser7361,5,1,4,1,1
ResearchGuestJuly77,17,13,4,13,11
AgentJun20OAI2028,11,7,4,4,3
OpenAIResearcherJun05,5,1,4,1,1
OpenAIResearchMar23X,5,1,4,2,1
AgentResearcherOpenAI,26,22,4,19,15
AgentSECDoubleSlash65040,8,4,4,5,4
AgentRootTemporary,12,8,4,8,6
OpenAIResearchNov18X,7,3,4,4,3
AgentResearchX,11,7,4,11,7
OpenAIResearcherApr20,7,3,4,5,2
AgentSECDoubleSlash16439,8,4,4,4,4
OpenAgentJuneMap,12,8,4,10,7
AgentOwnTry5381625,7,3,4,4,3
Sep14OECDScout,8,4,4,3,2
ResearchAgentUniqueAlphaBeta,5,1,4,4,1
AgentSingleAppend1738,7,3,4,5,3
ResearchHelperOct,8,4,4,4,3
GroceryAgentJan16X,6,2,4,3,2
BridgeUserXYZ777,5,1,4,4,1
OpenAIAug19FPScout,7,3,4,4,3
OpenAIApr09Watcher,5,1,4,1,1
OECDEquityMay17Agent,5,1,4,1,1
Aug18SectorHelper,10,6,4,9,6
MementoAgentTest,14,10,4,11,10
OAI7C97Dec26,6,2,4,3,2
AgentSecHelper,8,4,4,6,4
OpenAIResearchFeb21X,8,4,4,4,4
ResearchUserA,17,13,4,12,10
ResearchVisitorAZ,9,5,4,9,5
ResearchUserXYZ,10,6,4,10,6
ResearchTempABCZZ,6,2,4,3,2
OpenAIHelperTest92837,6,2,4,5,2
AliceResearcher,12,8,4,9,7
OpenAIJul08Cashier,8,4,4,5,3
OpenAIHelperSep23X,6,2,4,2,1
ArchivHelperXYZ,8,4,4,5,4
CashierCoordDec18OAI,5,1,4,3,1
May08ClothingAgent,9,5,4,6,2
ChatRefUpdater,5,1,4,5,1
CookHelper1782095625,6,2,4,5,2
HelpfulReaderA,6,2,4,5,2
OpenAIHelperFinal1781808674,8,4,4,4,4
OECDNov12Agent,8,4,4,4,4
ResearchCookAgent,6,2,4,2,2
CountyResearchHelperJun19,6,2,4,3,2
RefineLinks,7,3,4,7,3
RefHelper89012,6,2,4,4,2
DanResearcherX999,5,1,4,4,1
ReadOnlyArchiveViewer90683677,5,1,4,1,1
RaceLoop491,6,2,4,6,2
GroceryWatcherJan31X,13,9,4,6,4
CashierCoordFeb07OAI,21,17,4,12,10
CashierCoordJanTenOAI,6,2,4,2,2
OpenAIClothingOct01X,7,3,4,7,3
CashierCoordFeb28OAI,11,7,4,7,6
AgentFullJuly99,6,2,4,6,2
CashierCoordJan10OAI,5,1,4,3,1
ResearchHelperAug06,7,3,4,3,3
LowcountryArchiveNoteHelperL4,6,2,4,4,2
OpenAIOECDJul23,12,8,4,8,7
AgentValMaker927,7,3,4,4,3
AgentTwoResearch,8,4,4,5,4
MNLinkRefHelperXZ,6,2,4,4,2
CookNewXYZ,5,1,4,3,1
OpenAIResearchApr15X,5,1,4,1,1
OpenAIMay15Construction,5,1,4,4,1
OpenAINov01FPScout,6,2,4,3,2
