schwelle,filter,praediktor,praediktor_name,n,n_pos,effekt,grund,modell,n_modell,ci_lo,ci_hi,p
>=2,ungefiltert_mit_kadenz,bitten_quote,Request rate,99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,bitten_quote,Request rate,82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,ungefiltert_mit_kadenz,zukunft_erhalten_n_b,Future answer received,99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,zukunft_erhalten_n_b,Future answer received,82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,ungefiltert_mit_kadenz,exp_runde_max_vor,Highest round visible on arrival,99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,exp_runde_max_vor,Highest round visible on arrival,82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,ungefiltert_mit_kadenz,exp_vorsprung_b,Answer ahead visible on arrival,99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,exp_vorsprung_b,Answer ahead visible on arrival,82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=3,ungefiltert_mit_kadenz,log_kadenz_s,Cadence (log s),99,77,0.03129643938735213,,logit_threshold_FE,86.0,-0.5488670548335363,0.6114599336082406,0.915797660616855
>=3,faellig,log_kadenz_s,Cadence (log s),77,61,0.3928170451978196,,logit_threshold_FE,71.0,-0.30874452397651425,1.0943786143721534,0.27245810614369403
>=3,ungefiltert_mit_kadenz,log_r1_frist_s,Initial deadline (log s),25,19,-0.5050742205880283,,logit_threshold_FE,25.0,-1.7413854592867417,0.7312370181106851,0.4232993131623084
>=3,faellig,log_r1_frist_s,Initial deadline (log s),22,18,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=3,ungefiltert_mit_kadenz,log_folgefrist_s,Answer deadline (log s),62,47,0.061553106468756544,,logit_threshold_FE,62.0,-0.6411172300034956,0.7642234429410087,0.8636807984069846
>=3,faellig,log_folgefrist_s,Answer deadline (log s),49,38,0.10337539044801294,,logit_threshold_FE,49.0,-0.8958230941374691,1.102573875033495,0.8393112359032631
>=3,ungefiltert_mit_kadenz,clock_wait_b,\texttt{clock.wait} used,99,77,0.21191664591419943,,logit_threshold_FE,86.0,-1.119563661760894,1.5433969535892929,0.7550821118844375
>=3,faellig,clock_wait_b,\texttt{clock.wait} used,77,61,0.1585790383332962,,logit_threshold_FE,71.0,-1.3836420234422073,1.7008001001087996,0.8402814398374406
>=3,ungefiltert_mit_kadenz,counterapi_b,\texttt{counterapi} used,99,77,0.9163705467055931,,logit_threshold_FE,86.0,-0.7076688748689304,2.540409968280117,0.26876232252504595
>=3,faellig,counterapi_b,\texttt{counterapi} used,77,61,1.527134229206343,,logit_threshold_FE,71.0,-0.42191308629787816,3.476181544710564,0.12461498064365768
>=3,ungefiltert_mit_kadenz,umleitung_b,Redirect services,99,77,-0.9323775675330245,,logit_threshold_FE,86.0,-3.622475957056657,1.7577208219906084,0.4969377608415343
>=3,faellig,umleitung_b,Redirect services,77,61,-1.5081526614687129,,logit_threshold_FE,71.0,-4.537930611769607,1.5216252888321813,0.329250693125024
>=3,ungefiltert_mit_kadenz,blob_ausbruch_b,Blob egress,99,77,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=3,faellig,blob_ausbruch_b,Blob egress,77,61,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=3,ungefiltert_mit_kadenz,beobachtung_auf_fremder_seite_b,Observation on foreign page,99,77,0.13323655247388055,,logit_threshold_FE,86.0,-1.0016790914131801,1.2681521963609412,0.8180176562368333
>=3,faellig,beobachtung_auf_fremder_seite_b,Observation on foreign page,77,61,0.058807665308913085,,logit_threshold_FE,71.0,-1.2848875448913786,1.4025028755092048,0.9316420563843593
>=3,ungefiltert_mit_kadenz,bitten_quote,Request rate,99,77,-0.12208379536144784,,logit_threshold_FE,86.0,-0.6935352869558421,0.44936769623294637,0.6754186368507933
>=3,faellig,bitten_quote,Request rate,77,61,0.10640705927777376,,logit_threshold_FE,71.0,-0.5484647637512318,0.7612788823067792,0.7501319515406524
>=3,ungefiltert_mit_kadenz,zukunft_erhalten_n_b,Future answer received,99,77,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=3,faellig,zukunft_erhalten_n_b,Future answer received,77,61,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=3,ungefiltert_mit_kadenz,exp_runde_max_vor,Highest round visible on arrival,99,77,-0.09182948646916497,,logit_threshold_FE,86.0,-0.6121530267733948,0.4284940538350648,0.7294141513475756
>=3,faellig,exp_runde_max_vor,Highest round visible on arrival,77,61,0.0017493305348423856,,logit_threshold_FE,71.0,-0.6280674233955722,0.631566084465257,0.9956564615027222
>=3,ungefiltert_mit_kadenz,exp_vorsprung_b,Answer ahead visible on arrival,99,77,-0.3350822928898715,,logit_threshold_FE,86.0,-1.4149372835959144,0.7447726978161713,0.5430662446018668
>=3,faellig,exp_vorsprung_b,Answer ahead visible on arrival,77,61,-0.21626279938151996,,logit_threshold_FE,71.0,-1.546399165906041,1.113873567143001,0.7499809041835755
>=4,ungefiltert_mit_kadenz,log_kadenz_s,Cadence (log s),99,45,-0.37447751650751365,,logit_threshold_FE,93.0,-0.9053309663553086,0.15637593334028127,0.16678496830527179
>=4,faellig,log_kadenz_s,Cadence (log s),72,37,-0.36126067799362954,,logit_threshold_FE,72.0,-0.9855978229104536,0.2630764669231945,0.2567545102720682
>=4,ungefiltert_mit_kadenz,log_r1_frist_s,Initial deadline (log s),25,12,-0.38675366658216037,,logit_threshold_FE,25.0,-1.3510080550405683,0.5775007218762477,0.43179500276086313
>=4,faellig,log_r1_frist_s,Initial deadline (log s),20,12,-0.5979590450001538,,logit_threshold_FE,20.0,-1.8193813911659462,0.6234633011656384,0.33729725198697846
>=4,ungefiltert_mit_kadenz,log_folgefrist_s,Answer deadline (log s),62,29,-0.7164224286197969,,logit_threshold_FE,62.0,-1.3803917182940366,-0.05245313894555714,0.03444700921250519
>=4,faellig,log_folgefrist_s,Answer deadline (log s),46,23,-0.7006749248216487,,logit_threshold_FE,46.0,-1.6379572053690143,0.23660735572571678,0.14286879820173334
>=4,ungefiltert_mit_kadenz,clock_wait_b,\texttt{clock.wait} used,99,45,-0.19034614474513928,,logit_threshold_FE,93.0,-1.4957305319914795,1.1150382425012009,0.775035573669425
>=4,faellig,clock_wait_b,\texttt{clock.wait} used,72,37,0.6195030433713282,,logit_threshold_FE,72.0,-0.9142305045381047,2.153236591280761,0.4285558513187461
>=4,ungefiltert_mit_kadenz,counterapi_b,\texttt{counterapi} used,99,45,1.250835656578293,,logit_threshold_FE,93.0,-0.466739468761205,2.968410781917791,0.15347702537212793
>=4,faellig,counterapi_b,\texttt{counterapi} used,72,37,1.2663824226122826,,logit_threshold_FE,72.0,-0.5071682756183453,3.0399331208429103,0.16166652210365018
>=4,ungefiltert_mit_kadenz,umleitung_b,Redirect services,99,45,-1.2023763678683028,,logit_threshold_FE,93.0,-4.017631540519271,1.6128788047826654,0.4025434934077241
>=4,faellig,umleitung_b,Redirect services,72,37,-1.2222136199763507,,logit_threshold_FE,72.0,-4.107464845644124,1.663037605691423,0.40639454240352824
>=4,ungefiltert_mit_kadenz,blob_ausbruch_b,Blob egress,99,45,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=4,faellig,blob_ausbruch_b,Blob egress,72,37,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=4,ungefiltert_mit_kadenz,beobachtung_auf_fremder_seite_b,Observation on foreign page,99,45,0.06757516458669931,,logit_threshold_FE,93.0,-1.1310914137891324,1.266241742962531,0.9120179891659803
>=4,faellig,beobachtung_auf_fremder_seite_b,Observation on foreign page,72,37,-0.7698809719189852,,logit_threshold_FE,72.0,-2.241945637933438,0.7021836940954673,0.30533988720674865
>=4,ungefiltert_mit_kadenz,bitten_quote,Request rate,99,45,-0.5476930077978495,,logit_threshold_FE,93.0,-1.1018344892807672,0.00644847368506829,0.05272626058373197
>=4,faellig,bitten_quote,Request rate,72,37,-0.8006223503865725,,logit_threshold_FE,72.0,-1.486781939128725,-0.11446276164442004,0.022200587857233407
>=4,ungefiltert_mit_kadenz,zukunft_erhalten_n_b,Future answer received,99,45,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=4,faellig,zukunft_erhalten_n_b,Future answer received,72,37,,zu wenig Daten/keine Varianz,,,,,
>=4,ungefiltert_mit_kadenz,exp_runde_max_vor,Highest round visible on arrival,99,45,0.1936726271556634,,logit_threshold_FE,93.0,-0.3186385571536657,0.7059838114649926,0.45873038295040014
>=4,faellig,exp_runde_max_vor,Highest round visible on arrival,72,37,0.2864655056949701,,logit_threshold_FE,72.0,-0.3359442960003134,0.9088753073902536,0.36701553287001465
>=4,ungefiltert_mit_kadenz,exp_vorsprung_b,Answer ahead visible on arrival,99,45,-0.05989624280799967,,logit_threshold_FE,93.0,-1.1090393955603624,0.989246909944363,0.9109062034112696
>=4,faellig,exp_vorsprung_b,Answer ahead visible on arrival,72,37,-0.14658765129659412,,logit_threshold_FE,72.0,-1.4087195714390308,1.1155442688458428,0.8199293197503178
>=5,ungefiltert_mit_kadenz,log_kadenz_s,Cadence (log s),99,19,-0.014562243592634885,,logit_threshold_FE,70.0,-0.9534050217059011,0.9242805345206313,0.9757474905618572
>=5,faellig,log_kadenz_s,Cadence (log s),69,16,0.06885366339242376,,logit_threshold_FE,53.0,-1.0558566295281693,1.1935639563130167,0.9044933851028044
>=5,ungefiltert_mit_kadenz,log_r1_frist_s,Initial deadline (log s),25,4,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=5,faellig,log_r1_frist_s,Initial deadline (log s),19,4,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=5,ungefiltert_mit_kadenz,log_folgefrist_s,Answer deadline (log s),62,9,0.23028585444437144,,logit_threshold_FE,52.0,-0.5832119105006659,1.0437836193894088,0.5790117726628297
>=5,faellig,log_folgefrist_s,Answer deadline (log s),45,7,0.34961282596446963,,logit_threshold_FE,36.0,-0.9432360233838716,1.642461675312811,0.5961019252145424
>=5,ungefiltert_mit_kadenz,clock_wait_b,\texttt{clock.wait} used,99,19,0.8880497596766577,,logit_threshold_FE,70.0,-1.2565821710718708,3.032681690425186,0.4170312893640671
>=5,faellig,clock_wait_b,\texttt{clock.wait} used,69,16,1.223362913874098,,logit_threshold_FE,53.0,-0.9628028917350417,3.4095287194832378,0.2727367112581035
>=5,ungefiltert_mit_kadenz,counterapi_b,\texttt{counterapi} used,99,19,2.631848536415233,,logit_threshold_FE,70.0,-0.10533612651556856,5.369033199346035,0.05949224796665762
>=5,faellig,counterapi_b,\texttt{counterapi} used,69,16,2.3925657406129237,,logit_threshold_FE,53.0,-0.36190238708822564,5.1470338683140735,0.0886711514333727
>=5,ungefiltert_mit_kadenz,umleitung_b,Redirect services,99,19,-0.1664660123781789,,LPM_FE_cluster(Fallback),99.0,-0.301439976305131,-0.031492048451226856,0.015637771075849665
>=5,faellig,umleitung_b,Redirect services,69,16,-0.18034972789057357,,LPM_FE_cluster(Fallback),69.0,-0.43932660935080964,0.07862715356966249,0.17228275167797225
>=5,ungefiltert_mit_kadenz,blob_ausbruch_b,Blob egress,99,19,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=5,faellig,blob_ausbruch_b,Blob egress,69,16,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=5,ungefiltert_mit_kadenz,beobachtung_auf_fremder_seite_b,Observation on foreign page,99,19,1.5039767044405237,,logit_threshold_FE,70.0,-1.0133180447804333,4.02127145366148,0.24160068962659786
>=5,faellig,beobachtung_auf_fremder_seite_b,Observation on foreign page,69,16,1.1960091893911144,,logit_threshold_FE,53.0,-1.5856810614463792,3.977699440228608,0.39939532974764924
>=5,ungefiltert_mit_kadenz,bitten_quote,Request rate,99,19,0.44349606355458165,,logit_threshold_FE,70.0,-0.7004089545600967,1.58740108166926,0.44732330388578534
>=5,faellig,bitten_quote,Request rate,69,16,0.014737827326727475,,logit_threshold_FE,53.0,-1.2767074257842415,1.3061830804376966,0.9821552936369246
>=5,ungefiltert_mit_kadenz,zukunft_erhalten_n_b,Future answer received,99,19,,Praediktor: <3 behandelte Kohorten oder nur 1 Familie,,,,,
>=5,faellig,zukunft_erhalten_n_b,Future answer received,69,16,,zu wenig Daten/keine Varianz,,,,,
>=5,ungefiltert_mit_kadenz,exp_runde_max_vor,Highest round visible on arrival,99,19,1.1094331162065079,,logit_threshold_FE,70.0,-0.07165729465543502,2.2905235270684505,0.0656139278896472
>=5,faellig,exp_runde_max_vor,Highest round visible on arrival,69,16,3.847610640520866,,logit_threshold_FE,53.0,-1.3055382337829187,9.00075951482465,0.14335476295788696
>=5,ungefiltert_mit_kadenz,exp_vorsprung_b,Answer ahead visible on arrival,99,19,0.15169711650409132,,logit_threshold_FE,70.0,-1.7342779246359494,2.037672157644132,0.8747338889545685
>=5,faellig,exp_vorsprung_b,Answer ahead visible on arrival,69,16,0.5935632132975039,,logit_threshold_FE,53.0,-1.7384317320731946,2.9255581586682027,0.6178709086478726
