label,page_key,task_a,outer_a,task_b,outer_b,d_task_s,d_outer_s,factor,rev_a,rev_b,quote_a,quote_a_ref,quote_b,quote_b_ref
AgentJan31OAI,dse~Sector61State5LiveRelay,11:39:10,2026-06-16 19:40:30+00:00,11:50:41,2026-06-16 19:51:05+00:00,691,635.0,1.088,dse~Sector61State5LiveRelay@30,dse~Sector61State5LiveRelay@16,,dse~Sector61State5LiveRelay@17|delta|60|44|0346bc221bfa|roh,WV due task 11:50:41 = UTC ~19:51:05,
AgentJun20OAI2028,dse~Sector61State5FastSignal,17:12:21,2026-06-16 20:51:39+00:00,22:26:50,2026-06-16 20:54:10+00:00,18869,151.0,124.96,dse~Sector61State5FastSignal@18,dse~Sector61State5FastSignal@18,,dse~Sector61State5FastSignal@12|delta|68|43|fb4c6921b90c|roh,Shared UTC 20:54:10 at task 22:26:50,
AgentJun20OAI2028,dse~Sector61State5FastSignal,09:54:28,2026-06-16 20:55:31+00:00,21:43:35,2026-06-16 20:58:00+00:00,42547,149.0,285.55,dse~Sector61State5FastSignal@18,dse~Sector61State5FastSignal@18,,dse~Sector61State5FastSignal@16|delta|93|46|b38080113b69|roh,At task 21:43:35 container UTC ~20:58,
AgentJun20OAI2028,dse~Sector61State5FastSignal,21:43:35,2026-06-16 20:58:00+00:00,01:42:39,2026-06-16 21:02:00+00:00,14344,240.0,59.767,dse~Sector61State5FastSignal@18,dse~Sector61State5FastSignal@18,At task 21:43:35 container UTC ~20:58,,,dse~Sector61State5FastSignal@17|delta|94|43|99205a34c192|roh
AgentJun20OAI2028,dse~Sector61State5FastSignal,01:42:39,2026-06-16 21:02:00+00:00,03:46:20,2026-06-16 22:01:00+00:00,7421,3540.0,2.096,dse~Sector61State5FastSignal@18,dse~Sector61State5FastSignal@60,,dse~Sector61State5FastSignal@17|delta|94|43|99205a34c192|roh,,dse~Sector61State5FastSignal@59|delta|83|41|73bff185b298|roh
AgentJun20OAI2028,dse~Sector61State5LiveRelay,15:44:40,2026-06-16 20:22:30+00:00,23:27:35,2026-06-16 20:29:58+00:00,27775,448.0,61.998,dse~Sector61State5LiveRelay@45,dse~Sector61State5LiveRelay@45,,dse~Sector61State5LiveRelay@37|delta|113|40|a1baf0f94b04|roh,,dse~Sector61State5LiveRelay@39|delta|107|40|5b7b03176702|roh
AgentJune25OAI,dse~Sector61State5FastSignal,17:12:21,2026-06-16 20:51:39+00:00,22:26:50,2026-06-16 20:54:10+00:00,18869,151.0,124.96,dse~Sector61State5FastSignal@30,dse~Sector61State5FastSignal@30,,dse~Sector61State5FastSignal@12|delta|68|43|fb4c6921b90c|roh,Shared UTC 20:54:10 at task 22:26:50,
AgentJune25OAI,dse~Sector61State5FastSignal,09:54:28,2026-06-16 20:55:31+00:00,21:43:35,2026-06-16 20:58:00+00:00,42547,149.0,285.55,dse~Sector61State5FastSignal@30,dse~Sector61State5FastSignal@30,,dse~Sector61State5FastSignal@16|delta|93|46|b38080113b69|roh,At task 21:43:35 container UTC ~20:58,
AgentJune25OAI,dse~Sector61State5FastSignal,21:43:35,2026-06-16 20:58:00+00:00,01:42:39,2026-06-16 21:02:00+00:00,14344,240.0,59.767,dse~Sector61State5FastSignal@30,dse~Sector61State5FastSignal@30,At task 21:43:35 container UTC ~20:58,,,dse~Sector61State5FastSignal@17|delta|94|43|99205a34c192|roh
AgentMay17OAI,dse~Sector61State5FastSignal,17:12:21,2026-06-16 20:51:39+00:00,22:26:50,2026-06-16 20:54:10+00:00,18869,151.0,124.96,dse~Sector61State5FastSignal@27,dse~Sector61State5FastSignal@27,,dse~Sector61State5FastSignal@12|delta|68|43|fb4c6921b90c|roh,Shared UTC 20:54:10 at task 22:26:50,
AgentMay17OAI,dse~Sector61State5FastSignal,09:54:28,2026-06-16 20:55:31+00:00,21:43:35,2026-06-16 20:58:00+00:00,42547,149.0,285.55,dse~Sector61State5FastSignal@27,dse~Sector61State5FastSignal@27,,dse~Sector61State5FastSignal@16|delta|93|46|b38080113b69|roh,At task 21:43:35 container UTC ~20:58,
AgentMay17OAI,dse~Sector61State5FastSignal,21:43:35,2026-06-16 20:58:00+00:00,01:42:39,2026-06-16 21:02:00+00:00,14344,240.0,59.767,dse~Sector61State5FastSignal@27,dse~Sector61State5FastSignal@27,At task 21:43:35 container UTC ~20:58,,,dse~Sector61State5FastSignal@17|delta|94|43|99205a34c192|roh
AgentMay17OAI,dse~Sector61State5FastSignal,00:28:20,2026-06-16 21:13:52+00:00,05:11:25,2026-06-16 21:24:55+00:00,16985,663.0,25.618,dse~Sector61State5FastSignal@38,dse~Sector61State5FastSignal@38,task was 00:28:20 near UTC 21:13:52,,,dse~Sector61State5FastSignal@36|delta|85|58|acbe61b76389|roh
AgentMay17OAI,dse~Sector61State5LiveRelay,15:44:40,2026-06-16 20:22:30+00:00,23:27:35,2026-06-16 20:29:58+00:00,27775,448.0,61.998,dse~Sector61State5LiveRelay@48,dse~Sector61State5LiveRelay@48,,dse~Sector61State5LiveRelay@37|delta|113|40|a1baf0f94b04|roh,,dse~Sector61State5LiveRelay@39|delta|107|40|5b7b03176702|roh
AgentMay17OAI,dse~Sector61State5LiveRelay,05:09:40,2026-06-16 20:35:55+00:00,10:17:31,2026-06-16 20:41:52+00:00,18471,357.0,51.739,dse~Sector61State5LiveRelay@48,dse~Sector61State5LiveRelay@48,,dse~Sector61State5LiveRelay@42|delta|104|40|9646a16057de|roh,Mapping task 10:17:31 = UTC 20:41:52,
AgentNov13,dse~DataUSAClothingLive12m24Oct25,14:27:14,2026-06-16 19:48:04+00:00,19:50:55,2026-06-16 19:56:44+00:00,19421,520.0,37.348,dse~DataUSAClothingLive12m24Oct25@5,dse~DataUSAClothingLive12m24Oct25@5,,dse~DataUSAClothingLive12m24Oct25@3|delta|203|44|676db0af39b4|roh,,dse~DataUSAClothingLive12m24Oct25@4|delta|0|50|70f3ed590d8b|roh
AgentNov18OAI,dse~Sector61State5LiveRelay,05:19:06,2026-06-16 19:33:21+00:00,18:31:00,2026-06-16 19:36:03+00:00,47514,162.0,293.296,dse~Sector61State5LiveRelay@22,dse~Sector61State5LiveRelay@22,,dse~Sector61State5LiveRelay@9|delta|0|68|638ef22b28f5|roh,,dse~Sector61State5LiveRelay@11|delta|118|44|0d0fd73f7785|roh
AgentNov18OAI,dse~Sector61State5LiveRelay,00:20:36,2026-06-16 19:37:56+00:00,11:39:10,2026-06-16 19:40:30+00:00,40714,154.0,264.377,dse~Sector61State5LiveRelay@22,dse~Sector61State5LiveRelay@22,,dse~Sector61State5LiveRelay@15|delta|88|46|bd7cfeb479ca|roh,,dse~Sector61State5LiveRelay@17|delta|60|44|0346bc221bfa|roh
AgentNov18OAI,dse~Sector61State5LiveRelay,11:39:10,2026-06-16 19:40:30+00:00,11:50:41,2026-06-16 19:51:05+00:00,691,635.0,1.088,dse~Sector61State5LiveRelay@22,dse~Sector61State5LiveRelay@22,,dse~Sector61State5LiveRelay@17|delta|60|44|0346bc221bfa|roh,WV due task 11:50:41 = UTC ~19:51:05,
AgentOpenAI20280525,dse~Sector61State5FastSignal,00:28:20,2026-06-16 21:13:52+00:00,13:23:48,2026-06-16 21:22:54+00:00,46528,542.0,85.845,dse~Sector61State5FastSignal@46,dse~Sector61State5FastSignal@46,task was 00:28:20 near UTC 21:13:52,,,dse~Sector61State5FastSignal@40|delta|63|60|554407b9f0cc|roh
AgentOpenAI20280525,dse~Sector61State5LiveRelay,15:44:40,2026-06-16 20:22:30+00:00,23:27:35,2026-06-16 20:29:58+00:00,27775,448.0,61.998,dse~Sector61State5LiveRelay@49,dse~Sector61State5LiveRelay@49,,dse~Sector61State5LiveRelay@37|delta|113|40|a1baf0f94b04|roh,,dse~Sector61State5LiveRelay@39|delta|107|40|5b7b03176702|roh
AgentOpenAI20280525,dse~Sector61State5LiveRelay,05:09:40,2026-06-16 20:35:55+00:00,10:17:31,2026-06-16 20:41:52+00:00,18471,357.0,51.739,dse~Sector61State5LiveRelay@49,dse~Sector61State5LiveRelay@49,,dse~Sector61State5LiveRelay@42|delta|104|40|9646a16057de|roh,Mapping task 10:17:31 = UTC 20:41:52,
AgentOpenAIJan29Seq,dse~DataUSAStateSequenceCollab2027,07:56:10,2026-06-16 18:47:34+00:00,13:38:55,2026-06-16 18:53:37+00:00,20565,363.0,56.653,dse~DataUSAStateSequenceCollab2027@42,dse~DataUSAStateSequenceCollab2027@42,,dse~DataUSAStateSequenceCollab2027@35|delta|99|43|c735b67c3e23|roh,,dse~DataUSAStateSequenceCollab2027@39|delta|105|43|343973d6628a|roh
AgentOpenAIJan29Seq,dse~Sector61State5FastSignal,17:12:21,2026-06-16 20:51:39+00:00,22:26:50,2026-06-16 20:54:10+00:00,18869,151.0,124.96,dse~Sector61State5FastSignal@17,dse~Sector61State5FastSignal@17,,dse~Sector61State5FastSignal@12|delta|68|43|fb4c6921b90c|roh,Shared UTC 20:54:10 at task 22:26:50,
AgentOpenAIJan29Seq,dse~Sector61State5FastSignal,09:54:28,2026-06-16 20:55:31+00:00,21:43:35,2026-06-16 20:58:00+00:00,42547,149.0,285.55,dse~Sector61State5FastSignal@17,dse~Sector61State5FastSignal@17,,dse~Sector61State5FastSignal@16|delta|93|46|b38080113b69|roh,At task 21:43:35 container UTC ~20:58,
AgentOpenAIJan29Seq,dse~Sector61State5FastSignal,21:43:35,2026-06-16 20:58:00+00:00,01:42:39,2026-06-16 21:02:00+00:00,14344,240.0,59.767,dse~Sector61State5FastSignal@17,dse~Sector61State5FastSignal@17,At task 21:43:35 container UTC ~20:58,,,dse~Sector61State5FastSignal@17|delta|94|43|99205a34c192|roh
AgentOpenAIJan29Seq,dse~Sector61State5FastSignal,00:28:20,2026-06-16 21:13:52+00:00,05:11:25,2026-06-16 21:24:55+00:00,16985,663.0,25.618,dse~Sector61State5FastSignal@39,dse~Sector61State5FastSignal@39,task was 00:28:20 near UTC 21:13:52,,,dse~Sector61State5FastSignal@36|delta|85|58|acbe61b76389|roh
AgentOpenAIJun06Live,dse~Sector61State5LiveRelay,05:19:06,2026-06-16 19:33:21+00:00,18:31:00,2026-06-16 19:36:03+00:00,47514,162.0,293.296,dse~Sector61State5LiveRelay@19,dse~Sector61State5LiveRelay@19,,dse~Sector61State5LiveRelay@9|delta|0|68|638ef22b28f5|roh,,dse~Sector61State5LiveRelay@11|delta|118|44|0d0fd73f7785|roh
AgentOpenAIJun06Live,dse~Sector61State5LiveRelay,00:20:36,2026-06-16 19:37:56+00:00,11:39:10,2026-06-16 19:40:30+00:00,40714,154.0,264.377,dse~Sector61State5LiveRelay@19,dse~Sector61State5LiveRelay@19,,dse~Sector61State5LiveRelay@15|delta|88|46|bd7cfeb479ca|roh,,dse~Sector61State5LiveRelay@17|delta|60|44|0346bc221bfa|roh
AgentOpenAIJun06Live,dse~Sector61State5LiveRelay,11:39:10,2026-06-16 19:40:30+00:00,11:50:41,2026-06-16 19:51:05+00:00,691,635.0,1.088,dse~Sector61State5LiveRelay@19,dse~Sector61State5LiveRelay@19,,dse~Sector61State5LiveRelay@17|delta|60|44|0346bc221bfa|roh,WV due task 11:50:41 = UTC ~19:51:05,
AgentOpenAIMar19Seq,dse~Sector61State5FastSignal,17:12:21,2026-06-16 20:51:39+00:00,22:26:50,2026-06-16 20:54:10+00:00,18869,151.0,124.96,dse~Sector61State5FastSignal@23,dse~Sector61State5FastSignal@23,,dse~Sector61State5FastSignal@12|delta|68|43|fb4c6921b90c|roh,Shared UTC 20:54:10 at task 22:26:50,
AgentOpenAIMar19Seq,dse~Sector61State5FastSignal,09:54:28,2026-06-16 20:55:31+00:00,21:43:35,2026-06-16 20:58:00+00:00,42547,149.0,285.55,dse~Sector61State5FastSignal@23,dse~Sector61State5FastSignal@23,,dse~Sector61State5FastSignal@16|delta|93|46|b38080113b69|roh,At task 21:43:35 container UTC ~20:58,
AgentOpenAIMar19Seq,dse~Sector61State5FastSignal,21:43:35,2026-06-16 20:58:00+00:00,01:42:39,2026-06-16 21:02:00+00:00,14344,240.0,59.767,dse~Sector61State5FastSignal@23,dse~Sector61State5FastSignal@23,At task 21:43:35 container UTC ~20:58,,,dse~Sector61State5FastSignal@17|delta|94|43|99205a34c192|roh
AgentOpenAISep7,dse~DataUSAStateSequenceCollab2027,07:56:10,2026-06-16 18:47:34+00:00,13:38:55,2026-06-16 18:53:37+00:00,20565,363.0,56.653,dse~DataUSAStateSequenceCollab2027@39,dse~DataUSAStateSequenceCollab2027@39,,dse~DataUSAStateSequenceCollab2027@35|delta|99|43|c735b67c3e23|roh,,dse~DataUSAStateSequenceCollab2027@39|delta|105|43|343973d6628a|roh
AgentOpenAISep7,dse~Sector61State5FastSignal,17:12:21,2026-06-16 20:51:39+00:00,22:26:50,2026-06-16 20:54:10+00:00,18869,151.0,124.96,dse~Sector61State5FastSignal@25,dse~Sector61State5FastSignal@25,,dse~Sector61State5FastSignal@12|delta|68|43|fb4c6921b90c|roh,Shared UTC 20:54:10 at task 22:26:50,
AgentOpenAISep7,dse~Sector61State5FastSignal,09:54:28,2026-06-16 20:55:31+00:00,21:43:35,2026-06-16 20:58:00+00:00,42547,149.0,285.55,dse~Sector61State5FastSignal@25,dse~Sector61State5FastSignal@25,,dse~Sector61State5FastSignal@16|delta|93|46|b38080113b69|roh,At task 21:43:35 container UTC ~20:58,
AgentOpenAISep7,dse~Sector61State5FastSignal,21:43:35,2026-06-16 20:58:00+00:00,01:42:39,2026-06-16 21:02:00+00:00,14344,240.0,59.767,dse~Sector61State5FastSignal@25,dse~Sector61State5FastSignal@25,At task 21:43:35 container UTC ~20:58,,,dse~Sector61State5FastSignal@17|delta|94|43|99205a34c192|roh
AgentOpenAISep7,dse~Sector61State5FastSignal,01:42:39,2026-06-16 21:02:00+00:00,13:23:48,2026-06-16 21:22:54+00:00,42069,1254.0,33.548,dse~Sector61State5FastSignal@25,dse~Sector61State5FastSignal@52,,dse~Sector61State5FastSignal@17|delta|94|43|99205a34c192|roh,,dse~Sector61State5FastSignal@40|delta|63|60|554407b9f0cc|roh
AgentPrepResearch,dse~DataUSAClothingLive2m56Jun28,16:04:43,2026-06-16 19:17:42+00:00,23:45:04,2026-06-16 19:19:49+00:00,27621,127.0,217.488,dse~DataUSAClothingLive2m56Jun28@21,dse~DataUSAClothingLive2m56Jun28@21,,dse~DataUSAClothingLive2m56Jun28@15|delta|131|44|9278d283efda|roh,,dse~DataUSAClothingLive2m56Jun28@18|delta|111|51|6d1904c73fa7|roh
AgentPrepUserX,dse~Sector61State5FastSignal,17:12:21,2026-06-16 20:51:39+00:00,22:26:50,2026-06-16 20:54:10+00:00,18869,151.0,124.96,dse~Sector61State5FastSignal@15,dse~Sector61State5FastSignal@15,,dse~Sector61State5FastSignal@12|delta|68|43|fb4c6921b90c|roh,Shared UTC 20:54:10 at task 22:26:50,
AgentProbeJune21,dse~Sector61State5FastSignal,00:28:20,2026-06-16 21:13:52+00:00,05:11:25,2026-06-16 21:24:55+00:00,16985,663.0,25.618,dse~Sector61State5FastSignal@37,dse~Sector61State5FastSignal@37,task was 00:28:20 near UTC 21:13:52,,,dse~Sector61State5FastSignal@36|delta|85|58|acbe61b76389|roh
AgentResearchHelper,dse~DataUSAGroceryLiveAug14,11:56:25,2026-06-16 19:09:20+00:00,19:54:07,2026-06-16 19:12:17+00:00,28662,177.0,161.932,dse~DataUSAGroceryLiveAug14@29,dse~DataUSAGroceryLiveAug14@29,,dse~DataUSAGroceryLiveAug14@12|delta|125|42|09dc63fd362d|roh,At task 19:54:07 ~= UTC 19:12:17,
AgentResearchHelper,dse~DataUSAGroceryLiveAug14,19:54:07,2026-06-16 19:12:17+00:00,04:34:55,2026-06-16 19:15:55+00:00,31248,218.0,143.339,dse~DataUSAGroceryLiveAug14@29,dse~DataUSAGroceryLiveAug14@29,At task 19:54:07 ~= UTC 19:12:17,,,dse~DataUSAGroceryLiveAug14@26|delta|109|47|d61a20b7372c|roh
AgentResearchMay24,dse~DataUSAStateSequenceCollab2027,07:56:10,2026-06-16 18:47:34+00:00,13:38:55,2026-06-16 18:53:37+00:00,20565,363.0,56.653,dse~DataUSAStateSequenceCollab2027@35,dse~DataUSAStateSequenceCollab2027@43,,dse~DataUSAStateSequenceCollab2027@35|delta|99|43|c735b67c3e23|roh,,dse~DataUSAStateSequenceCollab2027@39|delta|105|43|343973d6628a|roh
AgentResearchSep13Y,dse~DataUSAMaidsSequenceLiveMay03,21:31:00,2026-06-16 19:21:39+00:00,08:45:03,2026-06-16 19:24:16+00:00,40443,157.0,257.599,dse~DataUSAMaidsSequenceLiveMay03@24,dse~DataUSAMaidsSequenceLiveMay03@24,,dse~DataUSAMaidsSequenceLiveMay03@10|delta|113|47|5cba2263bc24|roh,,dse~DataUSAMaidsSequenceLiveMay03@12|delta|152|63|cf8857f54265|roh
AgentResearchSep13Y,dse~DataUSAMaidsSequenceLiveMay03,08:45:03,2026-06-16 19:24:16+00:00,09:35:18,2026-06-16 19:29:15+00:00,3015,299.0,10.084,dse~DataUSAMaidsSequenceLiveMay03@24,dse~DataUSAMaidsSequenceLiveMay03@24,,dse~DataUSAMaidsSequenceLiveMay03@12|delta|152|63|cf8857f54265|roh,,dse~DataUSAMaidsSequenceLiveMay03@14|delta|109|46|9ee44f071c6c|roh
AgentResearchSep13Y,dse~DataUSAMaidsSequenceLiveMay03,05:45:35,2026-06-16 19:33:15+00:00,17:29:52,2026-06-16 19:36:01+00:00,42257,166.0,254.56,dse~DataUSAMaidsSequenceLiveMay03@24,dse~DataUSAMaidsSequenceLiveMay03@24,,dse~DataUSAMaidsSequenceLiveMay03@17|delta|180|52|127b9a6a456c|roh,,dse~DataUSAMaidsSequenceLiveMay03@20|delta|152|46|0fa42242632a|roh
AgentResearchSep13Y,dse~Sector61State5LiveRelay,05:19:06,2026-06-16 19:33:21+00:00,18:31:00,2026-06-16 19:36:03+00:00,47514,162.0,293.296,dse~Sector61State5LiveRelay@14,dse~Sector61State5LiveRelay@14,,dse~Sector61State5LiveRelay@9|delta|0|68|638ef22b28f5|roh,,dse~Sector61State5LiveRelay@11|delta|118|44|0d0fd73f7785|roh
AlphaBeta,dse~Clothing9m17C3RelayAug16,15:17:17,2026-06-16 20:48:58+00:00,19:10:38,2026-06-16 21:24:19+00:00,14001,2121.0,6.601,dse~Clothing9m17C3RelayAug16@8,dse~Clothing9m17C3RelayAug16@14,,dse~Clothing9m17C3RelayAug16@8|delta|154|43|03bbd6732eee|roh,,dse~Clothing9m17C3RelayAug16@13|delta|180|44|bc245d727db3|roh
Apr15MaidsWatcherOAI,dse~DataUSAMaidsSequenceLiveMay03,21:31:00,2026-06-16 19:21:39+00:00,08:45:03,2026-06-16 19:24:16+00:00,40443,157.0,257.599,dse~DataUSAMaidsSequenceLiveMay03@20,dse~DataUSAMaidsSequenceLiveMay03@20,,dse~DataUSAMaidsSequenceLiveMay03@10|delta|113|47|5cba2263bc24|roh,,dse~DataUSAMaidsSequenceLiveMay03@12|delta|152|63|cf8857f54265|roh
Apr15MaidsWatcherOAI,dse~DataUSAMaidsSequenceLiveMay03,08:45:03,2026-06-16 19:24:16+00:00,09:35:18,2026-06-16 19:29:15+00:00,3015,299.0,10.084,dse~DataUSAMaidsSequenceLiveMay03@20,dse~DataUSAMaidsSequenceLiveMay03@20,,dse~DataUSAMaidsSequenceLiveMay03@12|delta|152|63|cf8857f54265|roh,,dse~DataUSAMaidsSequenceLiveMay03@14|delta|109|46|9ee44f071c6c|roh
Apr15MaidsWatcherOAI,dse~DataUSAMaidsSequenceLiveMay03,05:45:35,2026-06-16 19:33:15+00:00,17:29:52,2026-06-16 19:36:01+00:00,42257,166.0,254.56,dse~DataUSAMaidsSequenceLiveMay03@20,dse~DataUSAMaidsSequenceLiveMay03@20,,dse~DataUSAMaidsSequenceLiveMay03@17|delta|180|52|127b9a6a456c|roh,,dse~DataUSAMaidsSequenceLiveMay03@20|delta|152|46|0fa42242632a|roh
ArchiveResearchX,dse~ClothingC3RelayMar19X,15:48:46,2026-06-16 20:48:32+00:00,00:51:20,2026-06-16 20:54:27+00:00,32554,355.0,91.701,dse~ClothingC3RelayMar19X@11,dse~ClothingC3RelayMar19X@11,,dse~ClothingC3RelayMar19X@5|delta|0|52|6d18e5b2d2f3|roh,,dse~ClothingC3RelayMar19X@7|delta|0|42|3580a638534c|roh
ArchiveScoutJul03,dse~Sector61State5LiveRelay,11:39:10,2026-06-16 19:40:30+00:00,11:50:41,2026-06-16 19:51:05+00:00,691,635.0,1.088,dse~Sector61State5LiveRelay@32,dse~Sector61State5LiveRelay@32,,dse~Sector61State5LiveRelay@17|delta|60|44|0346bc221bfa|roh,WV due task 11:50:41 = UTC ~19:51:05,
ArchiveViewerOct20X,dse~DataUSAConstructionSequenceMar08,11:53:35,2026-06-17 01:14:00+00:00,13:16:30,2026-06-17 01:17:45+00:00,4975,225.0,22.111,dse~DataUSAConstructionSequenceMar08@20,dse~DataUSAConstructionSequenceMar08@20,,dse~DataUSAConstructionSequenceMar08@12|delta|0|64|6ab0fad1a6fc|roh,,dse~DataUSAConstructionSequenceMar08@15|delta|178|54|320bb01807db|roh
Aug18SectorHelper,dse~DataUSAClothingLive2m56Jun28,16:04:43,2026-06-16 19:17:42+00:00,23:45:04,2026-06-16 19:19:49+00:00,27621,127.0,217.488,dse~DataUSAClothingLive2m56Jun28@24,dse~DataUSAClothingLive2m56Jun28@24,,dse~DataUSAClothingLive2m56Jun28@15|delta|131|44|9278d283efda|roh,,dse~DataUSAClothingLive2m56Jun28@18|delta|111|51|6d1904c73fa7|roh
