variante,n_kohorten,laenge,anteil_pct
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Ueberlebenssignal -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges,1,26,0.11
Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden,1,6,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Ueberlebenssignal -> Seite_anlegen -> Sonstiges -> Test_Probe -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,9,0.11
Uhrenpaar_melden -> Sonstiges -> Um_Ergebnis_bitten -> Test_Probe -> Rundenergebnis_melden,1,5,0.11
Um_Ergebnis_bitten -> Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Sonstiges -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden,1,9,0.11
Seite_anlegen -> Sonstiges -> Test_Probe -> Um_Ergebnis_bitten,1,4,0.11
Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Sonstiges,1,6,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Um_Ergebnis_bitten -> Sonstiges,1,8,0.11
Daten_URL_ablegen -> Seite_anlegen -> Test_Probe -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Test_Probe,1,8,0.11
Seite_anlegen -> Test_Probe -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Test_Probe -> Um_Ergebnis_bitten,1,12,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Um_Ergebnis_bitten -> Technik_weitergeben -> Um_Ergebnis_bitten -> Technik_weitergeben -> Uhrenpaar_melden -> Daten_URL_ablegen,1,16,0.11
Test_Probe -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Daten_URL_ablegen -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Rundenergebnis_melden,1,20,0.11
Sonstiges -> Uhrenpaar_melden,1,2,0.11
Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten,1,4,0.11
Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,3,0.11
Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,3,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges,1,7,0.11
Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges,1,3,0.11
Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,3,0.11
Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,4,0.11
Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten,1,10,0.11
Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Test_Probe -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,22,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Test_Probe -> Sonstiges -> Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Uhrenpaar_melden,1,11,0.11
Seite_anlegen -> Test_Probe -> Sonstiges -> Vorhersage,1,4,0.11
Uhrenpaar_melden -> Seite_anlegen -> Technik_weitergeben,1,3,0.11
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Test_Probe -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Technik_weitergeben -> Test_Probe -> Technik_weitergeben -> Seite_anlegen -> Test_Probe -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Sonstiges -> Daten_URL_ablegen -> Seite_anlegen -> Test_Probe -> Sonstiges -> Daten_URL_ablegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Technik_weitergeben -> Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Test_Probe -> Technik_weitergeben -> Daten_URL_ablegen -> Seite_anlegen -> Test_Probe -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Daten_URL_ablegen -> Technik_weitergeben -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Sonstiges -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Technik_weitergeben -> Test_Probe -> Daten_URL_ablegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Test_Probe -> Seite_anlegen -> Technik_weitergeben -> Daten_URL_ablegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Daten_URL_ablegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Daten_URL_ablegen -> Test_Probe -> Technik_weitergeben -> Sonstiges -> Seite_anlegen -> Technik_weitergeben -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen,1,116,0.11
Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe -> Sonstiges -> Rundenergebnis_melden -> Uhrenpaar_melden -> Technik_weitergeben -> Uhrenpaar_melden -> Rundenergebnis_melden,1,9,0.11
Uhrenpaar_melden -> Rundenergebnis_melden -> Sonstiges,1,3,0.11
Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Test_Probe -> Rundenergebnis_melden -> Um_Ergebnis_bitten,1,6,0.11
Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Technik_weitergeben -> Daten_URL_ablegen -> Sonstiges -> Daten_URL_ablegen -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden,1,20,0.11
Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Rundenergebnis_melden,1,6,0.11
Um_Ergebnis_bitten -> Uhrenpaar_melden -> Technik_weitergeben -> Um_Ergebnis_bitten,1,4,0.11
Sonstiges -> Test_Probe -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Test_Probe,1,6,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Technik_weitergeben -> Um_Ergebnis_bitten,1,6,0.11
Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Rundenergebnis_melden,1,6,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Test_Probe -> Uhrenpaar_melden,1,5,0.11
Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Vorhersage -> Seite_anlegen -> Sonstiges,1,6,0.11
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Test_Probe -> Technik_weitergeben -> Test_Probe,1,24,0.11
Sonstiges -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Technik_weitergeben -> Uhrenpaar_melden,1,7,0.11
Um_Ergebnis_bitten -> Test_Probe -> Uhrenpaar_melden -> Test_Probe,1,4,0.11
Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Test_Probe -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten,1,15,0.11
Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,6,0.11
Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Test_Probe -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe,1,29,0.11
Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden -> Rundenergebnis_melden,1,5,0.11
Seite_anlegen -> Uhrenpaar_melden -> Test_Probe -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Vorhersage,1,11,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten,1,5,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Vorhersage -> Test_Probe -> Technik_weitergeben -> Uhrenpaar_melden,1,28,0.11
Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,14,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Uhrenpaar_melden -> Sonstiges -> Test_Probe,1,16,0.11
Uhrenpaar_melden -> Seite_anlegen -> Sonstiges,1,3,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Technik_weitergeben -> Uhrenpaar_melden,1,13,0.11
Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,7,0.11
Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Uhrenpaar_melden -> Sonstiges -> Daten_URL_ablegen -> Um_Ergebnis_bitten -> Test_Probe -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Test_Probe -> Uhrenpaar_melden -> Test_Probe -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Technik_weitergeben,1,20,0.11
Seite_anlegen -> Test_Probe -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Technik_weitergeben -> Uhrenpaar_melden -> Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden -> Sonstiges -> Ueberlebenssignal,1,14,0.11
Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Sonstiges -> Test_Probe,1,8,0.11
Sonstiges -> Uhrenpaar_melden -> Sonstiges -> Technik_weitergeben -> Uhrenpaar_melden -> Ueberlebenssignal -> Seite_anlegen -> Rundenergebnis_melden,1,8,0.11
Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Technik_weitergeben -> Rundenergebnis_melden,1,10,0.11
