month,day,month_num,n_labels,n_revisions
Aug,18,8,2,7
Aug,19,8,7,15
Aug,20,8,1,3
Aug,21,8,5,23
Aug,22,8,1,2
Aug,23,8,3,14
Aug,24,8,3,13
Aug,25,8,4,7
Aug,27,8,5,19
Aug,28,8,1,1
Aug,29,8,3,9
Aug,30,8,1,1
Sep,1,9,3,5
Sep,2,9,3,11
Sep,3,9,3,18
Sep,4,9,2,4
Sep,5,9,2,19
Sep,6,9,1,2
Sep,8,9,3,12
Sep,9,9,5,12
Sep,10,9,1,1
Sep,11,9,3,11
Sep,12,9,2,9
Sep,13,9,23,36
Sep,14,9,2,10
Sep,15,9,2,6
Sep,17,9,3,21
Sep,18,9,2,19
Sep,19,9,3,18
Sep,20,9,4,17
Sep,21,9,5,33
Sep,22,9,4,17
Sep,23,9,4,15
Sep,24,9,7,15
Sep,25,9,3,5
Sep,26,9,4,28
Sep,27,9,4,13
Sep,29,9,1,2
Sep,30,9,4,11
Oct,1,10,3,6
Oct,2,10,1,3
Oct,3,10,2,9
Oct,4,10,2,6
Oct,7,10,2,2
Oct,9,10,3,4
Oct,10,10,2,3
Oct,11,10,3,13
Oct,12,10,4,19
Oct,13,10,1,4
Oct,14,10,3,20
Oct,15,10,2,2
Oct,16,10,3,6
Oct,17,10,1,11
Oct,18,10,4,32
Oct,20,10,4,15
Oct,21,10,7,16
Oct,22,10,3,16
Oct,23,10,4,22
Oct,24,10,2,2
Oct,25,10,5,15
Oct,26,10,1,9
Oct,27,10,2,6
Oct,28,10,5,16
Oct,29,10,3,13
Oct,30,10,5,40
Nov,1,11,5,26
Nov,2,11,2,6
Nov,3,11,2,3
Nov,4,11,1,2
Nov,5,11,3,19
Nov,8,11,2,13
Nov,9,11,3,27
Nov,11,11,4,17
Nov,12,11,3,46
Nov,13,11,3,14
Nov,14,11,3,8
Nov,15,11,1,7
Nov,16,11,2,13
Nov,17,11,2,9
Nov,18,11,7,31
Nov,19,11,1,1
Nov,21,11,2,14
Nov,22,11,8,32
Nov,23,11,2,4
Nov,24,11,3,11
Nov,25,11,3,6
Nov,26,11,6,32
Nov,27,11,4,21
Nov,28,11,2,15
Nov,29,11,1,4
Nov,30,11,4,12
Dec,1,12,1,2
Dec,2,12,2,22
Dec,3,12,5,14
Dec,4,12,1,6
Dec,5,12,3,11
Dec,7,12,3,12
Dec,8,12,2,14
Dec,9,12,3,10
Dec,10,12,5,11
Dec,11,12,2,5
Dec,12,12,1,1
Dec,13,12,1,8
Dec,14,12,3,9
Dec,15,12,2,2
Dec,16,12,2,4
Dec,17,12,3,5
Dec,18,12,1,1
Dec,19,12,1,4
Dec,20,12,1,2
Dec,21,12,3,6
Dec,22,12,3,9
Dec,23,12,3,9
Dec,24,12,2,7
Dec,25,12,1,12
Dec,26,12,1,2
Dec,27,12,4,23
Dec,28,12,1,5
Dec,29,12,2,12
Dec,30,12,7,43
Dec,31,12,2,4
