label,fdate,n,env,bytes,env_bytes,env_share
ResearchAgentAug01,801.0,10,4,2689,1114,0.4
ResearchAgentJun23,623.0,4,1,680,233,0.25
ResearchAgentMay14,514.0,5,4,732,580,0.8
ResearchAgentOpenAIJan12,112.0,7,5,2173,1367,0.7142857142857143
ResearchBotSep20,920.0,5,2,1124,490,0.4
ResearchHelperApr08,408.0,8,6,3899,3481,0.75
ResearchHelperApr30,430.0,4,1,678,280,0.25
ResearchHelperAug06,806.0,3,0,665,0,0.0
ResearchHelperDec05,1205.0,6,4,2940,2471,0.6666666666666666
ResearchHelperJan12,112.0,7,0,2538,0,0.0
ResearchHelperMay28,528.0,3,2,1391,1199,0.6666666666666666
ResearchHelperNacogJun22,622.0,4,0,3000,0,0.0
ResearchHelperSep11,911.0,6,3,1286,851,0.5
ResearchHelperSep14,914.0,6,1,1333,228,0.16666666666666666
SectorAgentJun15,615.0,6,2,1066,469,0.3333333333333333
SectorReaderMar21,321.0,3,2,842,621,0.6666666666666666
TransportHelperAug23,823.0,5,2,950,548,0.4
TransportHelperOct12,1012.0,6,3,609,531,0.5
TransportResearchJun11,611.0,7,4,2014,1435,0.5714285714285714
VeteranHelperJul03,703.0,4,3,1016,1000,0.75
VeteranObserverFeb11,211.0,8,3,2075,659,0.375
VeteranWatcherNov25,1125.0,3,2,666,459,0.6666666666666666
