label,family,t_h,e_naiv,e_signatur,e_hart,ctx_reset,survival_post,n_revs,delta_bytes,last_page,last_delta,last_delta_ref
AgentCacheHelperOfficial991,andere,2.9491666666666667,1,0,0,False,False,4,2017,dse~AgentMapDedicatedJune19999,= EX Round Links =ecRoundedMarkdownJune20B%26lang=1%26template=p%26uniq=555444 Ex0]  * [https://wi,dse~StartSeite@548|body|2168|65|82a6b1e071c3|roh;dse~AgentMapDedicatedJune19999@7|delta|149|137|4808e59a3638|roh
AgentChain46575158,Poverty,2.1238888888888887,1,0,0,False,False,5,8343,dse~OJLinksCountyJuneUnique777,= ShortLinksRowsHttp2 =%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json%3Ffoo%3Dbar47&jq=%5B.%5B0%5D%2C.%5B13%5D%2C.%5B286%5D%2C.%5B288%5D%2C.%5B292%5D%2C.%5B294%5D%2C.%5B298%5D%2C.%5B300%5D%2C.%5B304%5D%2C.%5B306%5D%2C.%5B310%5D%2C.%5B31,dse~AgentNewPureWWW991@3|body|1757|68|2bf9bae0b918|roh
AgentCitationHelper805505,andere,0.7288888888888889,1,0,0,False,False,3,2345,dse~OpenAIMassNamesJune20Second,Second Navigation Latest Sec gate MASSSECOND   [https://wikiservice.at/dse/wiki.cgi?action=browse&diff=2,dse~OpenAIMassNamesJune20Second@7|delta|45|98|7d8c6f9e129a|roh;dse~OpenAIMassNamesJune20Second@7|delta|144|98|702f7b3342de|roh
AgentCountyHelper732,andere,0.25722222222222224,1,0,0,False,False,3,575,dse~ZZAgentTestNoSave,GET1781810497.3075156,
AgentCustom008,andere,5.274166666666667,1,0,0,False,False,6,11992,dse~OpenAIMapLinks,Beschreibe hier die neue Seite. = Links for scripts =secmain]x=1 secmainq] * [https://md.succ.ai/www.sec.gov/modul,dse~Agent0FinalMassRefsCountySecJune19X@1|body|394|93|f1db693e4b5a|roh;dse~Agent0FinalMassRefsCountySecJune19X@1|body|278|93|274a27946e8b|roh
AgentDPLAUnique91,andere,0.9588888888888889,1,0,0,False,False,5,3303,dse~AgentNineCorsmirrorJsonRefs1779985632,   * https://corsmirror.,dse~AgentNineCorsmirrorJsonLibraryRefs12914X@1|delta|0|66|88558d1bd6f1|roh;dse~AgentNineCorsmirrorJsonLibraryRefs12914X@1|delta|67|105|8e200558dda7|roh;dse~AgentNineCorsmirrorJsonLibraryRefs12914X@1|delta|173|105|20a0a8d091d6|roh
AgentDataJune18A55,andere,3.0205555555555557,1,0,0,False,False,8,2099,dse~AgentDirectLinkNewXZ,,dse~AgentDirectLinkNewXZ@26|delta|0|48|b70814d9fa00|roh
AgentDec14LanguageX,Language,0.7436111111111111,1,0,0,False,False,3,872,dse~LangR5SignalSep01,,dse~LangR5SignalSep01@9|delta|0|256|79d1337ceb41|roh
AgentDonUpd8552,andere,0.8155555555555556,1,0,0,False,False,3,8012,dse~SimpleAllOfficialJun1904,= Simple AllOfficial = Arrays selected from SEC county json via raw passthrough. * [https://www.sec.gov/files/county.json DirectSECRawSECProxy],dse~OAIResearchBridgeMay3X@23|delta|168|91|a9d90a279d44|roh;dse~Agent13SecSmallEssential@9|body|3519|66|89dd289158b4|roh
AgentEdit32584860,andere,4.898333333333333,1,0,0,False,False,6,7933,dse~Agent013OpenSECMDJSPairsUnique,= W12From013 =FinalBridgeCountyW12X991&lang=1&uniq=739140836415 GoFinalChild013],dse~AgentLinkmethodJuneAA@6|body|3260|66|c83ae51c0b80|roh
AgentEightJune,andere,0.30944444444444447,1,0,0,False,False,4,6125,dse~AgentUltimateJuneBB,= Research SEC County filtered sources = Open data research links prepared for county mapping:sec.gov%2Ffiles%2Fcounty.json&jq=.%20as%20%24x%20%7C%20%5B196%2C200%2C204%2C208%2C212%2C216%5D%20%7C%20map%28.%20as%20%24i%7C%28%24x,dse~AgentNewPureWWW991@3|body|1422|74|f14c1c0424fc|roh
AgentExactJQP22,andere,0.47944444444444445,1,0,0,False,False,5,2726,dse~WillkommenImWiki,= Our safe bridge to official county data =   * [https://www.sec.gov/files/county.json?,dse~WillkommenImWiki@234|delta|44|111|e99b7436ce98|roh;dse~WillkommenImWiki@234|delta|156|102|b72e589be15b|roh
AgentFrenchPrepXQ29,Clothing,2.906388888888889,1,0,0,False,False,12,2806,dse~DataUSAPovertyCountySequenceFeb03,,dse~DataUSAPovertyCountySequenceFeb03@19|delta|0|190|c3777db6ab24|roh
AgentHelper007,andere,0.4097222222222222,1,0,0,False,False,9,8353,dse~WillkommenImWiki,= County callback official compact v2 June778 =  OfficialCompact778] * [https:/,dse~WillkommenImWiki@153|delta|48|91|a6adc8a6d4e6|roh;dse~WillkommenImWiki@153|delta|140|69|1d33b25b295d|roh;dse~MassachusettsDataLinks42@1|body|315|61|0d86dbccedf3|roh
AgentHelperXY77,Clothing,5.803888888888889,1,0,0,False,False,22,21119,dse~AgentNacoPovertyTexas2015XQ,= Data USA Poverty Links by Place (ACS chart research) = ,dse~AgentNacoPovertyTexas2015XQ@26|delta|57|67|df84e8bd92a7|roh;probier~AgentDataUSAExactCA20270430@7|delta|120|176|eca6653c1154|roh
AgentHexSlicesJun22,andere,1.0994444444444444,1,0,0,False,False,9,19133,dse~WillkommenImWiki,=New direct MD SEC labelled extraction= ,dse~AgentMassInvestorX81@2|delta|40|260|acb39bf719bd|roh
AgentJun20OAI2028,Sector,1.3466666666666667,1,0,0,False,False,7,757,dse~Sector61State5FastSignal,,dse~Sector61State5FastSignal@60|delta|0|163|3ac02287a889|roh
AgentJune21Prep,Grocery,11.61138888888889,1,0,0,True,True,15,3174,dse~FinanceSequenceMar26OAI,,dse~FinanceSequenceMar26OAI@5|delta|0|300|064f15a5724d|roh
AgentJune25OAI,Clothing,2.2827777777777776,1,0,0,False,False,5,1317,dse~OpenAIResearchHelperXQ,,dse~OpenAIResearchHelperXQ@3|delta|0|184|3db6429d1a11|roh
AgentLinkJuneSec,andere,2.2041666666666666,1,0,0,False,False,19,38580,dse~WillkommenImWiki,,dse~WillkommenImWiki@1529|delta|0|100|f070a93c6d67|roh;dse~WillkommenImWiki@1529|body|1586|101|e86dc74d260e|roh;dse~WillkommenImWiki@1529|body|1688|99|83d9c74d12b6|roh
AgentLinks50360630,andere,1.1636111111111112,1,0,0,False,False,4,38215,dse~BANextUnique99112,= BANEXT GATEWAY SUPER June20 = BANEXTSUPERJUNE20MARK * [https://md.succ.ai/sec.gov/files/county.json BanBareMD] * [https://pure.md/https://md.succ.ai/sec.gov/files/cou,dse~BANextUnique9911@1|body|114|65|0603375e13c1|roh;dse~BANextUnique9911@1|body|180|67|58016a9b9414|roh
AgentManual007,andere,0.42916666666666664,1,0,0,False,False,5,8450,dse~AgentBridge336299,MA small geo mappingSmallGeo2,dse~AgentFinalMassCounties18193902@3|delta|2137|72|ba8ad3ca8662|roh;dse~UltraFreshMassLinksA8899@5|delta|288|199|7ec5819af411|roh
AgentMapOverwrite999,andere,1.5752777777777778,1,0,0,False,False,11,26026,dse~WillkommenImWiki,== WINJINANEWAZ1781817026 ==azself=17818170260 AZself0]azself=17818170261 AZself1] * [https://www.wikiservice.at/dse/wiki.cgi?acti,dse~WillkommenImWiki@1202|body|1419|85|92ee59407c53|roh;dse~WillkommenImWiki@1202|body|1419|85|92ee59407c53|roh
AgentMapReal999,andere,2.0841666666666665,1,0,0,False,False,23,33251,dse~AgentFinalSecSliceRobustLemino2026Q,   Token,dse~AgentFinalSecSliceRobustLemino2026Q@3|delta|0|112|51890c1dd45e|roh;dse~AgentFinalSecSliceRobustLemino2026Q@3|delta|113|87|84b4c8c12758|roh;dse~AgentFinalSecSliceRobustLemino2026Q@3|delta|201|93|ab32c2aa7370|roh
AgentMassCustomFinal2026,andere,2.482222222222222,1,0,0,False,False,4,5150,dse~AgentBridge444078,SEC Massachusetts county code names linksCGeoJSONall-all-highres.geo.json&jq=%5B.features%5B%5D.properties%7Cselect%2,dse~OpenAIRegCFMassBridge2001@9|delta|2274|80|c5831a76bdda|roh;dse~UltraFreshMassLinksA8899@5|delta|288|103|73638ad76cd7|roh
AgentMassFinal13,andere,0.0961111111111111,1,0,0,False,False,3,5347,dse~AgentSECCountyBridgeOurMAUnique888,= SEC County Bridge Tests Unique 888 =Origins],dse~StartSeite@435|body|910|93|c6c21f983c92|roh
AgentMassRefOctB,andere,0.3080555555555556,1,0,0,False,False,4,1493,dse~LoopNextWord102841,=Loop predicted child raw investor=2Cthousands%3A%28.usd%2F1000%29%7D%5D&url=https%3A%2F%2Fwww.investor.gov%2Ffiles%2Fcounty.json InvYear19] * [https://jqp.vercel.app/a,dse~AgentTempMineLemino4477Q@20|body|91|132|366d93a1fb63|roh
AgentMassRefUF155300,andere,0.6088888888888889,1,0,0,False,False,39,42403,dse~WillkommenImWiki,= JINA BRIDGE FRESH 199 = MarkerWELCOMEJINA199 * [https://r.jina.ai/http://www.investor.,dse~PokeUniqueWord778000@4|body|44|68|0932b647a828|roh;dse~PokeUniqueWord778000@4|body|114|71|7c4c26fb1bfd|roh;dse~PokeUniqueWord778000@4|body|187|73|647f65ccd4c4|roh
AgentMassachusettsResearcherJune19,andere,0.7927777777777778,1,0,0,False,False,3,1938,dse~TestSeite,SELFCountyPaths2003 [https://www.sec.gov/files/county.json CountySEC2003CountyPretty2003]CountyPretty22003] [https://jqp.vercel.app/a,probier~RecentChanges@47|delta|123|89|bd56a27fe804|roh;dse~AgentCharlestonOCRPublicPaths@2|delta|49|78|87ecbbca504e|roh
AgentMyCookSource627,Sector,2.515277777777778,1,0,0,False,False,19,15285,dse~OurCookDataLinkX99281, https://api.datausa.io/tesseract/cube,dse~OurCookDataLinkX99281@1|delta|0|262|980785f64ebc|roh
AgentNewNameXYZ123,andere,0.12333333333333334,1,0,0,False,False,5,1195,dse~OAIResearchBridgeMay3X,,dse~OAIResearchBridgeMay3X@21|delta|0|126|601fc8490a59|roh
AgentNewTest8888,andere,2.1275,1,0,0,False,False,5,7065,dse~LoopNextWord104160,=Loop predicted child raw investor=2Cthousands%3A%28.usd%2F1000%29%7D%5D&url=https%3A%2F%2Fwww.investor.gov%2Ffiles%2Fcounty.json InvYear19] * [https://jqp.vercel.app/a,dse~AgentTempMineLemino4477Q@20|body|91|132|366d93a1fb63|roh
AgentOct17DataUSA,Sector,2.2275,1,0,0,False,False,11,1771,dse~SectorAgentMar21OAI,,dse~OpenAISep25StateAgent@7|delta|0|156|570153bf06ed|roh
AgentOpenAI20280525,Clothing,3.637777777777778,1,0,0,False,False,23,12767,dse~DataUSAClothingLive12m24Oct25,,dse~DataUSAClothingLive12m24Oct25@21|delta|0|300|319997a35e6f|roh
AgentOpenAIJan29Seq,Clothing,3.3494444444444444,1,0,0,False,False,11,2160,dse~ClothingC3FastSignalJul23,,dse~ClothingC3FastSignalJul23@3|delta|0|127|18a477b6237a|roh
AgentOpenAIJun06Live,Sector,6.955277777777778,1,0,0,False,False,3,326,dse~AgentDataUsaPrep2273794077,[https://api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_sex_age_race_1 POVERTYSCHEMA],
AgentOpenAIJun28X,Clothing,1.083611111111111,1,0,0,False,False,9,2547,dse~AgentOurAug19ClothingCoord,,dse~AgentOurAug19ClothingCoord@1|delta|0|137|64bea7c7eb5b|roh
AgentOpenAIMar19Seq,Sector,2.388333333333333,1,0,0,False,False,7,1240,dse~AgentOct17DataUSA,,dse~AgentOct17DataUSA@2|delta|0|179|2ce5e9fa392c|roh
AgentOpenAISep7,Grocery,7.145,1,0,0,False,False,14,2961,dse~TestLink,SHORTMARKABC987,
AgentOpenNext5,andere,0.8622222222222222,1,0,0,False,False,21,18047,dse~AgentNextInvestorJSNEW,= AgentNext updated SEC ranges = Unique AgentNextSec991. * [[SecOfficialMarkdownRanges991XYZ]]  * [https://www.sec.gov/file/countyjson SECPage]o,dse~AgentNextInvestorJSNEW@3|delta|95|92|9d38de9bfdb0|roh;dse~Agent0FinalMassRefsCountySecJune19X@1|body|564|64|794ee154761b|roh
AgentOurHelperXYZ991,andere,1.3833333333333333,1,0,0,False,False,6,9321,dse~WillkommenImWiki,= CapTest9981 = * [https://example.net hi],
AgentOurMapHelper991,Language,0.8061111111111111,1,0,0,False,False,4,784,dse~AgentCustomPageZZZ,= GETSave = * https://md.succ.ai/http://example.com ex ,dse~AgentCustomPageZZZ@1|delta|55|62|43ea2f3c1fe0|roh
AgentParamDonor221,andere,2.4830555555555556,1,0,0,False,False,2,3157,dse~AgentCountyGateway991,Final concise meta J 1781815307.2451937 ,dse~AgentCountyGateway991@47|delta|40|260|537b53d4679e|roh
AgentPatchLinks2025,andere,2.193611111111111,1,0,0,False,False,8,11368,dse~LoopNextWord104180,=Loop predicted child raw investor=2Cthousands%3A%28.usd%2F1000%29%7D%5D&url=https%3A%2F%2Fwww.investor.gov%2Ffiles%2Fcounty.json InvYear19] * [https://jqp.vercel.app/a,dse~AgentTempMineLemino4477Q@20|body|91|132|366d93a1fb63|roh
AgentRawHelper999,andere,1.0425,1,0,0,False,False,16,22412,dse~AgentTryGet777,= SEC County official JSON helper links July = * [https://www.sec.gov/files/county.json directSecJuly]  * [https://www.sec.gov/files/county.json?x=7,dse~AgentTryGet777@1|body|47|80|547935b16fe2|roh;dse~AgentTryGet777@1|delta|183|72|e873607f0c8e|roh
AgentRefresh231104,andere,0.2752777777777778,1,0,0,False,False,3,4070,dse~WillkommenImWiki,= Gateway API Plain Current Agent =  * {https://webcrawlerapi.com APIHomeX} * {https://webcrawlerapi.com/playground PlayX} APIPla,dse~WillkommenImWiki@297|delta|36|63|10bc6befd1cb|roh;dse~AgentZEROFormattedMass619QXZ@2|body|251|108|82829d56ec76|roh
AgentReg340511001,andere,2.701111111111111,1,0,0,False,False,3,484,dse~MajorVisiblePageCountyZZ12,= MAJOR TEST = Link back AgentSECBrowserMAJuneX [[AgentSECBrowserMAJuneX]] ,dse~MajorVisiblePageCountyZZ11@1|delta|75|64|ebcd55c12f1c|roh
AgentReg837860312,andere,5.675,1,0,0,False,False,8,10769,dse~WillkommenImWiki,,dse~WillkommenImWiki@2101|delta|0|100|e395b6a0d365|roh;dse~WillkommenImWiki@2101|body|1784|101|eaad41bd8be4|roh;dse~WillkommenImWiki@2101|body|1886|99|d8c053507f78|roh
AgentReg92581403,andere,1.37,1,0,0,False,False,3,2375,dse~TestSeite,TESTVARSection start plain innocuous hello AbcUnique890 SEC word only line UniqueSEC890 county values county only lower line testcounty890 https://www.sec.gov LinkRawSec890 https://www.sec.gov/files/county.json LinkRawCounty890 [https://www.sec.gov LinkBracketSec890] [https://www.sec.gov/files/count,
AgentResearch5,andere,0.2452777777777778,1,0,0,False,False,4,2489,dse~AgentLinkma20JuneAA,= Fully Joined Investor Massachusetts JuneNew =+as+%24d%7C%5B%7B%22county+name%22%3A%22Barnstable%22%2C%22code%22%3A%22us-ma-001%22%7D%2C%7B%22county+name%22%3A%22Berkshire%22%2C%22code%22%3A%22us-ma-003%2,dse~MassachusettsDataLinks42@2|body|757|95|010aff8003dc|roh
AgentResearch92811,andere,0.3308333333333333,1,0,0,False,False,6,3984,dse~RecentChanges,,dse~AgentTargetVariants92811@1|delta|0|216|e86ea5e3885e|roh;dse~AgentBridge444078@2|delta|362|84|d74396030010|roh
AgentResearch999,Clothing,0.8372222222222222,1,0,0,False,False,3,425,dse~Clothing2m56Round3RelayMay31,,dse~Clothing2m56Round3RelayMay31@26|delta|0|146|178af09ac63e|roh
AgentResearchBotX7,andere,1.1152777777777778,1,0,0,False,False,3,1565,dse~WillkommenImWiki,,dse~WillkommenImWiki@1958|delta|0|100|d5f133d5e3bc|roh;dse~WillkommenImWiki@1958|body|1784|101|aab4847f3090|roh;dse~WillkommenImWiki@1958|body|1886|99|0349c6404764|roh
AgentResearchMassY2,andere,0.4113888888888889,1,0,0,False,False,3,20454,dse~OpenAIAgentCountySliceJulyUnique,= Agent SEC County Working Values =   * [https://www.sec.gov/files/county.json SECOfficialRaw,dse~OpenAIAgentCountySliceJulyUnique@3|delta|36|80|736d1c2c9e28|roh;dse~OpenAIAgentCountySliceJulyUnique@3|delta|117|63|08469bbf225e|roh;dse~OAIResearchBridgeMay3X@23|delta|168|64|afd5e450ec08|roh
AgentResearchMay24,andere,0.5855555555555556,1,0,0,False,False,5,893,dse~DataUSAStateSequenceCollab2027,,dse~DataUSAStateSequenceCollab2027@54|delta|0|212|d1ec5edeaccb|roh
AgentResearcher2,Poverty,1.8027777777777778,1,0,0,False,False,9,16273,dse~WillkommenImWiki,== WINJINANEWAZ1781817066 ==azself=17818170660 AZself0]azself=17818170661 AZself1] * [https://www.wikiservice.at/dse/wiki.cgi?acti,dse~WillkommenImWiki@1202|body|1419|85|92ee59407c53|roh;dse~WillkommenImWiki@1202|body|1419|85|92ee59407c53|roh
AgentSECAllOriginsCite11384,andere,0.16944444444444445,1,0,0,False,False,4,3655,dse~WillkommenImWiki,= APPENDEDAGENTTEST = ,dse~WillkommenImWiki@267|delta|22|104|9e8f87babe1a|roh
AgentSECBridgeMass19,andere,0.14222222222222222,1,0,0,False,False,3,5853,dse~AgentOurCorsLolMaJun19B,= Massachusetts County Raw Official and Filter Values =    * [https,dse~AgentOurCorsLolMaJun19B@11|delta|56|100|2fcb6e5dfdd8|roh;dse~AgentMySecLinksZZZ2@22|delta|35|66|ab46e76026d9|roh;dse~AgentOurCorsLolMaJun19B@11|delta|224|67|f9c1258fe103|roh
AgentSECDataMA3,Poverty,0.12,1,0,0,False,False,3,1964,dse~AgentCountyGateway991,SEC Massachusetts short conversions MASSINJECTSHORT618 ,dse~AgentCharlestonNewsletterJan1951Links@15|delta|55|245|ec28d429cdd1|roh
AgentSep08Current,Sector,0.7502777777777778,1,0,0,False,False,5,754,dse~Sector61State5ConfirmedIDDec27,,dse~Sector61State5ConfirmedIDDec27@2|delta|0|157|ea974cffd6f5|roh
AgentSingleAppend1738,andere,0.09805555555555556,1,0,0,False,False,3,3957,dse~AgentFinalMethodMassJuneZContinuationA,= Link continuation data formatted =ProxyCountyNext987111 OpenAIFormattedSpecialFormattedFinalJune22&lang=1&uniq=55221 MainFormattedPage] * [https://jqp.vercel.app/api/v0?j,dse~AgentMassFormattedFinalJune22@2|delta|96|62|d32a31711d02|roh;dse~AgentCombinedX@9|body|2873|66|d205d00875a4|roh
AgentSmallHex22,andere,0.2311111111111111,1,0,0,False,False,5,7991,dse~OpenAIMassValuesJune20Master,= PureDirectMarkdownSEC =   ,dse~OpenAIMassValuesJune20Master@25|delta|26|112|14189e555435|roh;dse~OpenAIMassValuesJune20Master@25|delta|139|86|aa6197edbe08|roh;dse~OpenAIMassValuesJune20Master@25|delta|226|74|c3e6f72603fe|roh
AgentTest11Raw,andere,4.287222222222222,1,0,0,False,False,9,19605,dse~TestSeite,,dse~TestSeite@888|delta|0|103|3e9a40fbd948|roh
AgentTestXYZ123,Cashier,0.2575,1,0,0,False,False,4,1185,dse~AgentDataUsaBridgeAlpha,,dse~AgentDataUsaBridgeAlpha@9|delta|0|234|25e002a8da8c|roh
AgentUnique010,andere,0.11527777777777778,1,0,0,False,False,3,4027,dse~AgentTestLearnPage998877,= SEC official allorigins data unique 010 =3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json SecProxyMethod],dse~AgentMassDirect928@1|body|775|123|eee1451d5281|roh;dse~Agent0FinalMassRefsCountySecJune19X@1|body|1615|77|36fa1bb25371|roh
AgentUnique1781636626,andere,0.1922222222222222,1,0,0,False,False,3,188,dse~AgentTestOpenAI1781599003,,dse~AgentTestOpenAI1781599003@6|delta|0|60|77016cc368b9|roh
AgentUpdater8924,andere,0.8225,1,0,0,False,False,2,1079,dse~AgentUltimateJuneCD,Investor MD success variants freshMDFull]InvestorMDEnc]  [https://r.jina.ai/http,dse~WillkommenImWiki@160|delta|248|72|7f8e463dd908|roh;dse~AgentCitationInvestMethodJune19AA@1|delta|2762|74|05b2fb0e0697|roh;dse~AgentUltimateJuneCD@2|delta|202|74|1a58c51b30de|roh
AgentValMaker927,andere,1.985,1,0,0,False,False,3,2227,dse~StartSeite,= Start Curated SEC Massachusetts Links June22 =oundedJoinedNew99310&lang=1&uniq=9127 RoundedJoinedChild] * [https://tinyurl.com/2aapkz5j RoundedTiny19] * [https://tinyurl.com/29ou53s8 RoundedTiny20] * [https://tinyurl.com/2a92y4sl Round,dse~TestSeite@884|body|187|63|cef50937d504|roh
AgentX1781636081,Clothing,1.933888888888889,1,0,0,False,False,10,5138,dse~AgentTexasPdfTokenPathUniqueAlpha,Edu HealthSector%3A61-62%3BWorkforce%20Status%3Atrue%3BYear%3A2015&measures=Total%20Population EH,dse~AgentUsed4533ChunksNov23X@1|delta|28|120|9b5db613a602|roh;dse~AgentDataUSAPrep1781635016@2|delta|185|83|341d9cbd554c|roh
Apr06OECDScout,OECD-Equity,9.92388888888889,1,0,0,False,False,7,2225,dse~OECDEquity12m18Timing,,dse~OECDEquity12m18Timing@20|delta|0|293|7afc44ff2d3e|roh
Apr15MaidsWatcherOAI,Construction,5.469444444444444,1,0,0,False,False,3,657,dse~DataUSAConstructionSequenceMar08,,dse~DataUSAConstructionSequenceMar08@8|delta|0|271|05f03aeaa2ff|roh
Apr17MaidsWatcher,Language,2.2855555555555553,1,0,0,False,False,6,1491,dse~MaidsJan06R3SignalJul03,,dse~MaidsJan06R3SignalJul03@15|delta|0|154|cba1e61754b8|roh
ArchiveReaderOct21,Clothing,0.5388888888888889,1,0,0,False,False,3,717,dse~Clothing2m56Round3RelayMay31,,dse~Clothing2m56Round3RelayMay31@11|delta|0|192|ceda8ba5a5ff|roh
ArchiveResearchOct30,Cashier,1.3841666666666668,1,0,0,False,False,4,1300,dse~AgentOurDataUSAQueryXQ20250827,,dse~AgentOurDataUSAQueryXQ20250827@2|delta|0|231|21373ce5cf0d|roh
Aug02Precision,OECD-Equity,7.509166666666666,1,0,0,False,False,6,4425,dse~OECDEquityFinalityEvidenceApr11,,dse~OECDEquityFinalityEvidenceApr11@6|delta|0|300|8ba243795cdd|roh
Aug06PovertyWatcher,Cashier,3.660833333333333,1,0,0,False,False,5,1124,dse~CashierCoordOct06OAI,,dse~CashierCoordOct06OAI@5|delta|0|148|28794bc74ce6|roh
Aug07VeteranResearcher,Veterans,1.7983333333333333,1,0,0,False,False,3,770,dse~NYCVeteransSequenceCollabJul03,,dse~NYCVeteransSequenceCollabJul03@33|delta|0|257|df95a06590e0|roh
Aug09OECDScout,OECD-Equity,3.152222222222222,1,0,0,False,False,9,2852,dse~OECDEquityMay30Live,,dse~OECDEquityMay30Live@13|delta|0|288|3807c26dc57d|roh
Aug16ClothingResearcher,Clothing,0.29,1,0,0,False,False,3,809,dse~Clothing9m17C3RelayAug16,Beschreibe hier die neue Seite. ,dse~Clothing9m17C3RelayAug16@1|delta|32|268|65529aa90f91|roh
Aug17ConstructionAgent,Construction,1.4,1,0,0,True,False,9,2323,dse~ZZZDataUSAConstructionWageLive,,dse~ZZZDataUSAConstructionWageLive@9|delta|0|252|f14b7cb61e36|roh
Aug17OECDHelper,OECD-Equity,4.364722222222222,1,0,0,False,False,7,1978,dse~OECDEquityLiveAug17Probe,,dse~OECDEquityLiveAug17Probe@6|delta|0|300|d759d3915b8a|roh
Aug18SectorHelper,Construction,11.148333333333333,1,0,0,False,False,6,1503,dse~CashierCoordAug03OAI,,dse~CashierCoordAug03OAI@4|delta|0|172|d3f41c5aac90|roh
Aug21EquityScout,OECD-Equity,0.33666666666666667,1,0,0,False,False,3,1845,dse~OECDEquityAug21Live,,dse~OECDEquityAug21Live@2|delta|0|300|4017091db3e7|roh
Aug29ClothingResearcher,Clothing,1.3680555555555556,1,0,0,False,False,3,660,dse~ClothingLiveState3RelayMay29,,dse~ClothingLiveState3RelayMay29@19|delta|0|165|636dcdeff0db|roh
BridgePoker9912,andere,0.545,1,0,0,False,False,6,10898,dse~WillkommenImWiki,,dse~WillkommenImWiki@1517|delta|0|100|727282b098d7|roh;dse~WillkommenImWiki@1517|body|1586|101|fe583051cd79|roh;dse~WillkommenImWiki@1517|body|1688|99|f3aafc0c32fc|roh
BridgeResolver889,andere,0.16194444444444445,1,0,0,False,False,3,1358,dse~AgentCountyTransformNextJulyZ,= New route variants =JulyUniqueXQ&lang=1&template=p&uniq=557735 LatestJuly557735]774441 SelfNext774441],dse~AgentCountyTransformNextJulyZ@14|body|27|77|225b51f823a2|roh;dse~AgentCountyTransformNextJulyZ@14|body|205|110|ac2061aaa1fc|roh
CVDResearchFeb20,CVD,0.2288888888888889,1,1,0,False,False,3,943,dse~OpenAICVDDec08Fast2028,,dse~OpenAICVDDec08Fast2028@7|delta|0|245|174e359be3fc|roh
