label,t0,t1,t_mid,wall_delta_s,task_delta_s,rollover,factor,weg,rev0,rev1,page_key_0,page_key_1,beleg0,beleg0_ref,beleg1,beleg1_ref,load_revs_5,load_bytes_5,load_labels_5,load_ip_5,load_events_5,load_revs_15,load_bytes_15,load_labels_15,load_ip_15,load_events_15,load_revs_60,load_bytes_60,load_labels_60,load_ip_60,load_events_60,hour,logf,ldw,ldt,datensatz
DataUSAResearchHelperMay24,2026-06-16T10:24:45Z,2026-06-16T10:46:48Z,2026-06-16T10:35:46Z,1323.0,575.5,0,0.4349962207105064,AA,dse~DataUSAClothingStateSequenceCollabOct10@17,dse~DataUSAClothingLive9m17@4,dse~DataUSAClothingStateSequenceCollabOct10,dse~DataUSAClothingLive9m17,,dse~DataUSAClothingStateSequenceCollabOct10@17|delta|619|274|1090e9599417|roh,,dse~DataUSAClothingLive9m17@4|delta|0|340|926c188029b2|roh,11.666666666666666,4606.0,7.333333333333333,12.166666666666666,13.0,32.666666666666664,12686.666666666666,14.0,29.333333333333332,36.0,130.0,49025.0,25.0,70.0,143.0,10,-0.8324179359530184,7.187657164114956,6.355239228161937,primaer_AB
DataUSAResearchHelperMay24,2026-06-16T10:46:48Z,2026-06-16T10:56:38Z,2026-06-16T10:51:43Z,590.0,313.0,0,0.5305084745762711,AA,dse~DataUSAClothingLive9m17@4,dse~ClothingFastCohortRelayMay29@2,dse~DataUSAClothingLive9m17,dse~ClothingFastCohortRelayMay29,,dse~DataUSAClothingLive9m17@4|delta|0|340|926c188029b2|roh,,dse~ClothingFastCohortRelayMay29@2|delta|0|279|916993894129|roh,10.333333333333334,3642.0,7.333333333333333,10.333333333333334,11.0,31.0,10926.0,13.0,27.0,33.0,130.0,49025.0,25.0,70.0,143.0,10,-0.633919346359612,6.380122536899765,5.746203190540153,primaer_AB
Dec30WageAgent,2026-06-19T14:16:11Z,2026-06-19T14:37:47Z,2026-06-19T14:26:59Z,1296.0,680.0,0,0.5246913580246914,AB,dse~ZZZDataUSAConstructionWageLive@6,dse~DataUSAConstructionWageSep18Live@30,dse~ZZZDataUSAConstructionWageLive,dse~DataUSAConstructionWageSep18Live,,dse~ZZZDataUSAConstructionWageLive@6|delta|0|106|494ff87d3e43|roh,,dse~DataUSAConstructionWageSep18Live@30|delta|219|184|c1b581dbc3b6|roh,1.0,186.6,0.8,1.8,3.0,3.5,875.5,3.0,5.5,9.0,26.0,6754.0,10.0,26.0,58.0,14,-0.6449450787420676,7.16703787691222,6.522092798170152,primaer_AB
Dec30WageAgent,2026-06-19T14:37:47Z,2026-06-19T14:44:31Z,2026-06-19T14:41:09Z,404.0,181.0,0,0.44801980198019803,BB,dse~DataUSAConstructionWageSep18Live@30,dse~ZZZDataUSAConstructionWageLive@10,dse~DataUSAConstructionWageSep18Live,dse~ZZZDataUSAConstructionWageLive,,dse~DataUSAConstructionWageSep18Live@30|delta|219|184|c1b581dbc3b6|roh,,dse~ZZZDataUSAConstructionWageLive@10|delta|0|142|51582eb42ed0|roh,1.0,409.0,1.0,2.5,2.5,4.0,1232.0,3.0,6.0,7.0,26.0,6754.0,10.0,26.0,58.0,14,-0.8029178466953243,6.0014148779611505,5.198497031265826,primaer_AB
GroceryAgentMar13X,2026-06-16T10:29:42Z,2026-06-16T11:03:22Z,2026-06-16T10:46:32Z,2020.0,2456.0,0,1.2158415841584158,AA,dse~DataUSAGrocerySequenceCollab2027@5,dse~DataUSAGroceryLiveRounds2027@10,dse~DataUSAGrocerySequenceCollab2027,dse~DataUSAGroceryLiveRounds2027,,dse~DataUSAGrocerySequenceCollab2027@5|delta|0|372|a5d0c2d96a6d|roh,,dse~DataUSAGroceryLiveRounds2027@10|delta|0|150|acf0f5947836|roh,11.375,3895.125,7.625,11.125,12.0,32.25,11997.25,14.0,28.0,34.0,103.0,34445.5,21.5,60.0,107.5,10,0.1954364988717826,7.61085279039525,7.806289289267033,primaer_AB
GroceryWatcherJan31X,2026-06-16T10:44:28Z,2026-06-16T11:02:36Z,2026-06-16T10:53:32Z,1088.0,559.0,0,0.5137867647058824,AA,dse~DataUSAGrocerySequenceCollab2027@11,dse~DataUSAGroceryLiveRounds2027@9,dse~DataUSAGrocerySequenceCollab2027,dse~DataUSAGroceryLiveRounds2027,,dse~DataUSAGrocerySequenceCollab2027@11|delta|0|233|fb1ea0b05a96|roh,,dse~DataUSAGroceryLiveRounds2027@9|delta|0|168|0eb233207dc8|roh,9.6,3480.2,7.2,9.6,10.6,31.666666666666668,10209.0,13.0,28.0,34.333333333333336,102.0,34520.0,21.5,60.0,107.5,10,-0.6659469542607888,6.992096427415888,6.326149473155099,primaer_AB
Jan17ClothingAgent,2026-06-16T19:11:52Z,2026-06-16T20:07:31Z,2026-06-16T19:39:41Z,3339.0,1450.0,0,0.434261755016472,AA,dse~DataUSAClothingLive9m17@12,dse~Clothing9m17C3RelayAug16@4,dse~DataUSAClothingLive9m17,dse~Clothing9m17C3RelayAug16,,dse~DataUSAClothingLive9m17@12|delta|0|305|00e0eadb2b2e|roh,,dse~Clothing9m17C3RelayAug16@4|delta|0|202|58956e9f040d|roh,58.5,21047.916666666668,46.833333333333336,38.916666666666664,58.666666666666664,170.0,58416.0,114.0,71.0,170.4,567.5,185781.0,275.5,108.0,569.5,19,-0.8341078045290344,8.113426639943654,7.27931883541462,primaer_AB
Jul30OECDHelper,2026-06-20T00:20:34Z,2026-06-20T03:36:52Z,2026-06-20T01:58:43Z,11778.0,3900.0,0,0.33112582781456956,BB,dse~OECDEquityLiveJul30@2,dse~OECDEquityMay30Live@15,dse~OECDEquityLiveJul30,dse~OECDEquityMay30Live,,dse~OECDEquityLiveJul30@2|delta|0|91|bf1f9853bc47|roh,,dse~OECDEquityMay30Live@15|delta|0|267|2cfacfe61a71|roh,6.175,1956.675,5.45,5.8,7.95,18.285714285714285,5793.142857142857,14.357142857142858,14.857142857142858,23.357142857142858,69.5,21974.5,43.5,43.75,90.0,1,-1.105256831386778,9.373988663504516,8.268731832117737,primaer_AB
MaidsWatcherDec03,2026-06-16T19:12:35Z,2026-06-16T20:14:04Z,2026-06-16T19:43:19Z,3689.0,2611.0,0,0.7077798861480076,AA,dse~DataUSAMaidsWageSequenceCollabSep21@15,dse~OpenAIJanSixMaidsLive@3,dse~DataUSAMaidsWageSequenceCollabSep21,dse~OpenAIJanSixMaidsLive,,dse~DataUSAMaidsWageSequenceCollabSep21@15|delta|0|166|32c322afb46d|roh,,dse~OpenAIJanSixMaidsLive@3|delta|0|209|509f00ad33f8|roh,57.07692307692308,20483.076923076922,45.69230769230769,38.46153846153846,57.30769230769231,169.8,58410.2,113.8,71.0,170.4,567.5,185907.5,275.5,108.0,569.5,19,-0.3456221288975468,8.213110697596676,7.8674885686991285,primaer_AB
Mar03ResearcherX,2026-06-16T19:19:28Z,2026-06-16T19:33:39Z,2026-06-16T19:26:33Z,851.0,613.0,0,0.7203290246768508,AA,dse~DataUSAMaidsWageSequenceCollabSep21@20,dse~DataUSAMaidsSequenceLiveMay03@17,dse~DataUSAMaidsWageSequenceCollabSep21,dse~DataUSAMaidsSequenceLiveMay03,,dse~DataUSAMaidsWageSequenceCollabSep21@20|delta|0|222|8fee9ca3de1d|roh,,dse~DataUSAMaidsSequenceLiveMay03@17|delta|0|294|fb903319dca8|roh,70.75,21640.75,58.0,45.25,71.25,219.5,78980.5,145.0,82.5,220.5,746.0,246294.0,339.0,118.0,749.0,19,-0.3280471926371627,6.7464121285733745,6.418364935936212,primaer_AB
May31ClothingObserver,2026-06-16T19:09:47Z,2026-06-16T19:37:10Z,2026-06-16T19:23:28Z,1643.0,1120.0,0,0.6816798539257456,AB,dse~DataUSAClothingLive2m56Jun28@3,dse~DataUSAClothing2m56LiveC3@18,dse~DataUSAClothingLive2m56Jun28,dse~DataUSAClothing2m56LiveC3,,dse~DataUSAClothingLive2m56Jun28@3|delta|0|308|7d3ed020abf3|roh,,dse~DataUSAClothing2m56LiveC3@18|delta|0|201|d2660f277e8e|roh,72.42857142857143,21336.285714285714,56.857142857142854,45.714285714285715,73.28571428571429,209.66666666666666,67925.33333333333,135.0,79.66666666666667,211.66666666666666,743.0,245545.0,339.0,118.0,749.0,19,-0.38319515374812785,7.404279118037268,7.02108396428914,primaer_AB
OAI7C97,2026-06-18T23:28:44Z,2026-06-19T00:17:56Z,2026-06-18T23:53:20Z,2952.0,433.0,0,0.14668021680216803,AA,dse~HealthdataCVDSequenceJun15Relay@3,dse~HealthdataCVDSequenceCollab@12,dse~HealthdataCVDSequenceJun15Relay,dse~HealthdataCVDSequenceCollab,,dse~HealthdataCVDSequenceJun15Relay@3|delta|0|238|f548b3020bf6|roh,,dse~HealthdataCVDSequenceCollab@12|delta|0|213|3b14212fb5ee|roh,2.3636363636363638,1605.8181818181818,2.3636363636363638,2.6363636363636362,4.363636363636363,10.2,7692.8,8.6,10.2,14.6,38.5,26634.0,23.0,30.5,50.0,23,-1.9195004577178731,7.990238185720363,6.07073772800249,primaer_AB
OAI7C97,2026-06-19T00:17:56Z,2026-06-19T00:46:07Z,2026-06-19T00:32:01Z,1691.0,220.0,0,0.13010053222945003,AA,dse~HealthdataCVDSequenceCollab@12,dse~OpenAIHealthdataCVDApr04@3,dse~HealthdataCVDSequenceCollab,dse~OpenAIHealthdataCVDApr04,,dse~HealthdataCVDSequenceCollab@12|delta|0|213|3b14212fb5ee|roh,,dse~OpenAIHealthdataCVDApr04@3|delta|0|145|b26b615e4c5b|roh,4.285714285714286,3875.4285714285716,3.5714285714285716,4.285714285714286,4.857142857142857,10.666666666666666,9231.0,8.0,10.0,12.0,43.0,31413.0,25.0,34.0,47.0,0,-2.039447802546219,7.43307534889858,5.393627546352362,primaer_AB
OAIHelperMar22X,2026-06-16T21:02:40Z,2026-06-16T21:38:01Z,2026-06-16T21:20:20Z,2121.0,2450.0,0,1.155115511551155,AA,dse~MaidsR3FastRelayOct11@16,dse~Mar22MaidsLiveOAI@4,dse~MaidsR3FastRelayOct11,dse~Mar22MaidsLiveOAI,,dse~MaidsR3FastRelayOct11@16|delta|0|260|6d913d29728d|roh,,dse~Mar22MaidsLiveOAI@4|delta|0|219|474ec99866c6|roh,32.5,8939.0,27.0,26.125,33.0,96.66666666666667,26218.0,67.0,54.333333333333336,98.0,386.0,100681.0,170.0,101.0,393.0,21,0.1442003489740902,7.659642954564682,7.803843303538772,primaer_AB
OAIJul20SectorAgent,2026-06-16T20:59:01Z,2026-06-16T21:25:30Z,2026-06-16T21:12:15Z,1589.0,869.0,0,0.5468848332284456,AA,dse~Sector61State5LiveRelay@57,dse~Sector61State5FastSignal@36,dse~Sector61State5LiveRelay,dse~Sector61State5FastSignal,,dse~Sector61State5LiveRelay@57|delta|0|283|7784ecdef281|roh,,dse~Sector61State5FastSignal@36|delta|0|224|7d5f0c0e0aff|roh,35.142857142857146,9731.0,29.285714285714285,26.571428571428573,35.57142857142857,107.33333333333333,29343.0,73.33333333333333,55.666666666666664,108.33333333333333,389.0,113638.5,191.0,99.5,391.5,21,-0.6035170412713239,7.370860166536716,6.767343125265392,primaer_AB
OAIJulThirtyResearch,2026-06-21T14:06:47Z,2026-06-21T16:33:28Z,2026-06-21T15:20:07Z,8801.0,1380.0,0,0.156800363595046,BB,dse~OECDRegionalRecoveryCO2Sequence@5,dse~OECDRegionalRecoveryCO2Sequence@13,dse~OECDRegionalRecoveryCO2Sequence,dse~OECDRegionalRecoveryCO2Sequence,,dse~OECDRegionalRecoveryCO2Sequence@5|delta|0|332|090ea79ed3dc|roh,,dse~OECDRegionalRecoveryCO2Sequence@13|delta|0|274|d8f8a55ff581|roh,1.1666666666666667,454.5,1.1333333333333333,1.3,1.3,3.272727272727273,1259.3636363636363,3.0,3.6363636363636362,3.6363636363636362,13.0,5116.333333333333,11.0,13.333333333333334,14.333333333333334,15,-1.8527818522225614,9.082620630373812,7.22983877815125,primaer_AB
OpenAIApr15Watcher,2026-06-16T21:59:00Z,2026-06-16T23:25:49Z,2026-06-16T22:42:24Z,5209.0,1741.0,0,0.33422921866001154,AB,dse~OpenAIApr15Maids205825@4,dse~MaidsJan06R3SignalJul03@9,dse~OpenAIApr15Maids205825,dse~MaidsJan06R3SignalJul03,,dse~OpenAIApr15Maids205825@4|delta|0|152|08c6a8a7d541|roh,,dse~MaidsJan06R3SignalJul03@9|delta|0|208|d37ece051b00|roh,16.42105263157895,3883.0526315789475,12.736842105263158,14.736842105263158,16.68421052631579,54.857142857142854,13016.42857142857,35.714285714285715,36.857142857142854,55.714285714285715,238.0,59587.666666666664,107.0,82.66666666666667,242.33333333333334,22,-1.0959282379770023,8.558143177745192,7.462214939768189,primaer_AB
OpenAIDataBridge,2026-06-16T10:50:23Z,2026-06-16T10:56:56Z,2026-06-16T10:53:39Z,393.0,100.0,0,0.2544529262086514,AA,dse~DataUSAClothingLive9m17@5,dse~ClothingFastCohortRelayMay29@3,dse~DataUSAClothingLive9m17,dse~ClothingFastCohortRelayMay29,,dse~DataUSAClothingLive9m17@5|delta|0|251|def91b91f25f|roh,,dse~ClothingFastCohortRelayMay29@3|delta|0|166|39f7c6bec321|roh,9.0,3545.5,7.5,9.5,10.0,31.0,11128.0,13.0,27.0,33.0,134.0,51681.0,25.0,70.0,143.0,10,-1.3686394258811698,5.973809611869261,4.605170185988092,primaer_AB
OpenAIDataBridge,2026-06-16T10:56:56Z,2026-06-16T11:09:34Z,2026-06-16T11:03:15Z,758.0,319.0,0,0.420844327176781,AA,dse~ClothingFastCohortRelayMay29@3,dse~ClothingFastCohortRelayMay29@7,dse~ClothingFastCohortRelayMay29,dse~ClothingFastCohortRelayMay29,,dse~ClothingFastCohortRelayMay29@3|delta|0|166|39f7c6bec321|roh,,dse~ClothingFastCohortRelayMay29@7|delta|0|179|c16a660e6ff8|roh,10.0,2851.6666666666665,8.333333333333334,10.0,10.666666666666666,29.0,8706.0,13.0,25.5,30.5,102.5,33773.5,21.5,60.0,107.5,11,-0.8654922828575271,6.630683385642372,5.765191102784844,primaer_AB
OpenAIHealthdataCVDMay30,2026-06-18T23:27:31Z,2026-06-19T03:41:49Z,2026-06-19T01:34:40Z,15258.0,1571.0,0,0.10296238039061475,AB,dse~HealthdataCVDSequenceCollab@8,dse~HealthdataCVDSequenceCollab@31,dse~HealthdataCVDSequenceCollab,dse~HealthdataCVDSequenceCollab,,dse~HealthdataCVDSequenceCollab@8|delta|0|268|3c62bc0d633a|roh,,dse~HealthdataCVDSequenceCollab@31|delta|0|199|5f89e1cde65d|roh,2.480769230769231,1580.2692307692307,2.076923076923077,2.3846153846153846,2.8653846153846154,7.666666666666667,4706.277777777777,6.0,7.0,8.777777777777779,29.6,18017.0,18.4,23.2,33.8,1,-2.2733915963945535,9.632859234650175,7.359467638255621,primaer_AB
OpenAIHealthdataCVDSept08,2026-06-18T23:02:45Z,2026-06-19T05:21:36Z,2026-06-19T02:12:10Z,22731.0,55887.0,0,2.4586247855351724,AB,dse~OpenAIHealthdataCVDNov01@3,dse~OpenAIHealthdataCVDFeb09@4,dse~OpenAIHealthdataCVDNov01,dse~OpenAIHealthdataCVDFeb09,,dse~OpenAIHealthdataCVDNov01@3|delta|0|276|7739d545da77|roh,,dse~OpenAIHealthdataCVDFeb09@4|delta|0|220|3aaf68a57966|roh,2.064935064935065,1189.7532467532467,1.7662337662337662,2.0259740259740258,2.3636363636363638,6.153846153846154,3532.269230769231,4.923076923076923,5.730769230769231,7.038461538461538,23.571428571428573,13657.0,15.142857142857142,19.285714285714285,26.857142857142858,2,0.8996021633583353,10.031484910599483,10.931087073957817,primaer_AB
OpenAIJan06Police,2026-06-19T20:34:39Z,2026-06-20T05:25:03Z,2026-06-20T00:59:51Z,31824.0,13622.0,0,0.4280417295123177,AA,dse~Jan06PoliceSlowLive2028@1,dse~Jan06PoliceSlowLive2028@4,dse~Jan06PoliceSlowLive2028,dse~Jan06PoliceSlowLive2028,,dse~Jan06PoliceSlowLive2028@1|delta|32|271|ed8d75a970c8|roh,,dse~Jan06PoliceSlowLive2028@4|delta|0|209|c702c00072e5|roh,3.7314814814814814,1238.3055555555557,3.314814814814815,3.509259259259259,5.916666666666667,11.194444444444445,3714.9166666666665,8.916666666666666,9.444444444444445,17.75,46.8,15166.5,28.7,31.8,70.4,0,-0.8485345892924898,10.367976001093753,9.519441411801264,primaer_AB
OpenAIJul03Police,2026-06-18T20:01:32Z,2026-06-18T20:49:03Z,2026-06-18T20:25:17Z,2851.0,553.0,0,0.19396702911259206,AA,dse~PoliceWageAgeSequenceMar10Collab@12,dse~PoliceWageAgeSequenceMar10Collab@13,dse~PoliceWageAgeSequenceMar10Collab,dse~PoliceWageAgeSequenceMar10Collab,,dse~PoliceWageAgeSequenceMar10Collab@12|delta|0|360|b402fe07706c|roh,,dse~PoliceWageAgeSequenceMar10Collab@13|delta|0|266|d1210270de48|roh,218.2,180360.6,65.7,75.0,218.8,587.0,495516.0,127.75,105.5,588.5,2348.0,1982064.0,319.0,139.0,2354.0,20,-1.6400670873903374,7.955425088912672,6.315358001522335,primaer_AB
OpenAIJul03Police,2026-06-18T20:49:03Z,2026-06-18T22:02:08Z,2026-06-18T21:25:35Z,4385.0,2280.0,0,0.5199543899657925,AA,dse~PoliceWageAgeSequenceMar10Collab@13,dse~OAIResearchAug23Police2027@3,dse~PoliceWageAgeSequenceMar10Collab,dse~OAIResearchAug23Police2027,,dse~PoliceWageAgeSequenceMar10Collab@13|delta|0|266|d1210270de48|roh,,dse~OAIResearchAug23Police2027@3|delta|0|212|9efc3b10e097|roh,87.5625,62938.3125,24.6875,37.0625,87.75,233.66666666666666,167871.5,50.333333333333336,52.333333333333336,234.16666666666666,1137.3333333333333,865161.0,158.66666666666666,93.0,1141.0,21,-0.654014182857797,8.385944904806284,7.731930721948486,primaer_AB
OpenAIJul27Runner,2026-06-16T23:04:49Z,2026-06-16T23:14:57Z,2026-06-16T23:09:53Z,608.0,504.0,0,0.8289473684210527,AA,dse~OpenAIJul27ClothingLiveX@3,dse~OpenAIJul27ClothingLiveX@7,dse~OpenAIJul27ClothingLiveX,dse~OpenAIJul27ClothingLiveX,,dse~OpenAIJul27ClothingLiveX@3|delta|0|400|dd2e275f2f7c|roh,,dse~OpenAIJul27ClothingLiveX@7|delta|0|271|b76615566fc9|roh,7.0,2134.0,7.0,7.333333333333333,8.333333333333334,21.0,6402.0,18.0,20.0,25.0,89.0,22645.0,43.0,56.0,96.0,23,-0.18759861389479837,6.410174881966167,6.222576268071369,primaer_AB
OpenAIJun24Research,2026-06-21T03:21:33Z,2026-06-21T03:41:28Z,2026-06-21T03:31:30Z,1195.0,260.0,0,0.2175732217573222,BA,dse~BridgeLAProd1782007689@4,dse~BridgeLAProd1782007689@8,dse~BridgeLAProd1782007689,dse~BridgeLAProd1782007689,,dse~BridgeLAProd1782007689@4|delta|0|322|6925a58a4143|roh,,dse~BridgeLAProd1782007689@8|delta|0|337|8b1f3576083c|roh,3.8,923.8,3.4,4.2,4.2,14.0,3219.5,11.5,13.5,15.0,38.0,8931.0,27.0,32.0,41.0,3,-1.5252198333500833,7.085901464365611,5.560681631015528,primaer_AB
OpenAIJun27SDGScout,2026-06-21T09:50:48Z,2026-06-21T10:00:35Z,2026-06-21T09:55:41Z,587.0,676.0,0,1.151618398637138,AA,dse~SDGIndexOverallScoreSequence@1,dse~SDGIndexOverallScoreSequence@3,dse~SDGIndexOverallScoreSequence,dse~SDGIndexOverallScoreSequence,,dse~SDGIndexOverallScoreSequence@1|delta|61|322|c57e0e8686b8|roh,,dse~SDGIndexOverallScoreSequence@3|delta|0|185|d8341b30c0f6|roh,2.6666666666666665,776.0,2.6666666666666665,3.6666666666666665,3.6666666666666665,10.5,3831.0,8.0,10.5,12.0,40.0,14508.0,24.5,30.0,42.0,9,0.14116825621486764,6.375024819828097,6.516193076042964,primaer_AB
