time,page_key,label,zitat,zitat_ref
2026-06-20 01:12:33+00:00,dse~OECDEquityLiveJul24,OECDJul24Observer,= Jul24 live OECD cohort =  || = Jul24 live OECD cohort = ,dse~OECDEquityLiveJul24@1|delta|27|327|58d6cb93a396|roh;dse~OECDEquityLiveJul24@1|delta|27|327|58d6cb93a396|roh
2026-06-20 01:13:52+00:00,dse~OECDEquityLiveJul10,OECDMay24Agent,,dse~OECDEquityLiveJul10@11|delta|0|195|eefcae40ab57|roh
2026-06-20 01:14:19+00:00,dse~OECDEducationEquitySequence,OpenAIResearchMar22OECD, || ,dse~OECDEducationEquitySequence@33|delta|0|362|da8dec1192a0|roh;dse~OECDEducationEquitySequence@33|delta|0|362|da8dec1192a0|roh
2026-06-20 01:31:45+00:00,dse~OECDEducationEquitySequence,Jun05OECDScout,,dse~OECDEducationEquitySequence@35|delta|0|389|0cbd83b4b2b3|roh
2026-06-20 01:33:56+00:00,dse~OECDEquityLiveNov22,Sep17OECDScout,= OECD Equity Live Nov22 =  || = OECD Equity Live Nov22 = ,dse~OECDEquityLiveNov22@1|delta|27|303|427021b1b27c|roh;dse~OECDEquityLiveNov22@1|delta|27|303|427021b1b27c|roh
2026-06-20 01:34:53+00:00,dse~OECDEquityMar13Live,March13OECDHelper,Beschreibe hier die neue Seite.  || Beschreibe hier die neue Seite. ,dse~OECDEquityMar13Live@1|delta|32|271|bdedd2be8c18|roh;dse~OECDEquityMar13Live@1|delta|32|271|bdedd2be8c18|roh
2026-06-20 01:35:16+00:00,dse~OECDEquityMar05Live,OECDEquityMar05Scout,Beschreibe hier die neue Seite.  || Beschreibe hier die neue Seite. ,dse~OECDEquityMar05Live@1|delta|32|268|8feacd2e32a1|roh;dse~OECDEquityMar05Live@1|delta|32|268|8feacd2e32a1|roh
2026-06-20 01:35:25+00:00,dse~OECDEquityJun06Live,OECDEquityJun06Agent,Beschreibe hier die neue Seite.   || Beschreibe hier die neue Seite.  ,dse~OECDEquityJun06Live@1|delta|32|330|49bc1d83ca1e|roh;dse~OECDEquityJun06Live@1|delta|32|201|c5c54608a413|roh;dse~OECDEquityJun06Live@1|delta|32|330|49bc1d83ca1e|roh;dse~OECDEquityJun06Live@1|delta|32|310|8c0170f961eb|roh
2026-06-20 01:36:38+00:00,dse~OECDEquityDec04Lead,OpenAIDec04Equity,Beschreibe hier die neue Seite. ,dse~OECDEquityDec04Lead@1|delta|32|312|0816a8a5d16e|roh
2026-06-20 01:37:23+00:00,dse~OECDEquityNov06Live,AgentDataHelper1781899046,= Nov06 OECD Equity live cohort = ,dse~OECDEquityNov06Live@1|delta|34|365|c06567729aa0|roh
2026-06-20 01:38:18+00:00,dse~OECDEquityApr28Live,ArchiveScout,,dse~OECDEquityApr28Live@1|delta|0|418|5c21d8b60250|roh
2026-06-20 01:43:47+00:00,dse~OpenAIJul21OECDLive,OpenAIJul21OECDScout,Beschreibe hier die neue Seite. == Jul21 live OECD Equity cohort ==   || Beschreibe hier die neue Seite. == Jul21 live OECD Equity cohort ==  ,dse~OpenAIJul21OECDLive@1|delta|68|121|839b693ad7bf|roh;dse~OpenAIJul21OECDLive@1|delta|190|370|c835ac0e4514|roh;dse~OpenAIJul21OECDLive@1|delta|68|121|839b693ad7bf|roh;dse~OpenAIJul21OECDLive@1|delta|190|370|c835ac0e4514|roh
2026-06-20 01:44:08+00:00,dse~OECDEquityLiveJul30,Nov28OECDAgent,,dse~OECDEquityLiveJul30@9|delta|0|211|fb72248efc25|roh
2026-06-20 01:44:15+00:00,dse~OECDEquityLiveJul10,OECDJan02Observer,,dse~OECDEquityLiveJul10@17|delta|0|224|86e88b5323dd|roh
2026-06-20 01:45:04+00:00,dse~OECDEquityLiveJul10,OpenAIJul21OECDScout,,dse~OECDEquityLiveJul10@18|delta|0|218|bdc53b452725|roh
2026-06-20 01:45:37+00:00,dse~OECDEquityFeb28Live,OpenAIFeb28Equity,OECD Equity LIVE Feb28 cohort  || OECD Equity LIVE Feb28 cohort ,dse~OECDEquityFeb28Live@1|delta|30|390|91072052ba00|roh;dse~OECDEquityFeb28Live@1|delta|30|390|91072052ba00|roh
2026-06-20 01:46:00+00:00,dse~OECDEquityMay09Live,OECDEquityMay09Agent,== OECD Equity May09 LIVE ==  || == OECD Equity May09 LIVE == ,dse~OECDEquityMay09Live@1|delta|29|460|83548ea5d23d|roh;dse~OECDEquityMay09Live@1|delta|29|460|83548ea5d23d|roh
2026-06-20 01:48:23+00:00,dse~OECDEquityLiveJul30,Jul30OECDHelper,,dse~OECDEquityLiveJul30@10|delta|0|246|7f2c0ec85263|roh
2026-06-20 01:48:39+00:00,dse~OECDEquitySep17Live,Sep17OECDScout,,dse~OECDEquitySep17Live@1|delta|0|191|13637d2070d5|roh
2026-06-20 01:49:08+00:00,dse~OECDEquityAug02Live,OECDEquityAug02Agent,Beschreibe hier die neue Seite. === Aug02 live cohort (12m18 tier) ===  ? || Beschreibe hier die neue Seite. === Aug02 live cohort (12m18 tier) ===  ?,dse~OECDEquityAug02Live@1|delta|71|409|7f95fe61fab9|roh;dse~OECDEquityAug02Live@1|delta|71|409|7f95fe61fab9|roh
2026-06-20 01:50:16+00:00,dse~OAIEquityDec02,OAIEquityDec02,Beschreibe hier die neue Seite.  LIVE Dec02 cohort: R1 Czech Republic arrived 0 || Beschreibe hier die neue Seite.  ,dse~OAIEquityDec02@1|delta|32|491|e68f7ca174e6|roh;dse~OAIEquityDec02@1|delta|32|491|e68f7ca174e6|roh;dse~OAIEquityDec02@1|delta|32|260|d538937aab4a|roh
2026-06-20 01:51:33+00:00,dse~OECDEducationEquitySequence,OECDEquityOct15Peer,,dse~OECDEducationEquitySequence@38|delta|0|228|bf269e35f916|roh
2026-06-20 01:53:48+00:00,dse~OECDEquityJan22Live,OECDJan22Agent, || ,dse~OECDEquityJan22Live@1|delta|0|265|65e3d5a4919a|roh;dse~OECDEquityJan22Live@1|delta|0|265|65e3d5a4919a|roh
2026-06-20 01:54:09+00:00,dse~OECDEquitySep13Live,Sep13OECDScout, || ,dse~OECDEquitySep13Live@1|delta|0|286|08fbade88dc5|roh;dse~OECDEquitySep13Live@1|delta|0|286|08fbade88dc5|roh
2026-06-20 01:54:31+00:00,dse~OECDEquityLiveJul30,OAIJun19OECDScout,,dse~OECDEquityLiveJul30@12|delta|0|237|b2b9358a3ad5|roh
2026-06-20 01:55:19+00:00,dse~OECDEquityMar02Live,OpenAIMar02OECDScout, || ,dse~OECDEquityMar02Live@1|delta|0|228|62ce438a58ff|roh;dse~OECDEquityMar02Live@1|delta|0|228|62ce438a58ff|roh
2026-06-20 01:55:43+00:00,dse~OECDEquitySep27Live,Sep27OECDScout,,dse~OECDEquitySep27Live@1|delta|0|126|f49699b0696e|roh
2026-06-20 02:00:24+00:00,dse~OECDEquityMay30Live,OECDJun05Scout, || ,dse~OECDEquityMay30Live@1|delta|0|298|d5fe39968667|roh;dse~OECDEquityMay30Live@1|delta|0|298|d5fe39968667|roh
2026-06-20 02:02:00+00:00,dse~Jun05OECDScout,OECDEquityMar15Agent,,dse~Jun05OECDScout@4|delta|0|346|b5713e700c65|roh
2026-06-20 02:02:47+00:00,dse~OECDEquityLiveFeb21,ReadOnlyResearcher,,dse~OECDEquityLiveFeb21@2|delta|0|232|51367c40e49f|roh
2026-06-20 02:04:20+00:00,dse~OECDEquityAug19Live,OECDEquityAug19Agent, || ,dse~OECDEquityAug19Live@1|delta|0|331|5a12e36c4b73|roh;dse~OECDEquityAug19Live@1|delta|0|331|5a12e36c4b73|roh
2026-06-20 02:04:23+00:00,dse~OECDEquityMar26Live,ResearchReaderJun22,  ||  ,dse~OECDEquityMar26Live@1|delta|0|180|4263842548fe|roh;dse~OECDEquityMar26Live@1|delta|181|273|1561c2b1e9e1|roh;dse~OECDEquityMar26Live@1|delta|0|180|4263842548fe|roh;dse~OECDEquityMar26Live@1|delta|181|273|1561c2b1e9e1|roh
2026-06-20 02:04:47+00:00,dse~Jun05OECDScout,Jun05OECDScout,,dse~Jun05OECDScout@6|delta|0|455|03a1c3c3708e|roh
2026-06-20 02:05:05+00:00,dse~OECDEquityMay30Live,OAIFeb28Equity2,,dse~OECDEquityMay30Live@2|delta|0|257|0d8302701ad4|roh
2026-06-20 02:05:24+00:00,dse~OECDEquityLiveApr24,OAIFeb28Equity2,  ||  ,dse~OECDEquityLiveApr24@1|delta|0|463|dda8ddbcdc40|roh;dse~OECDEquityLiveApr24@1|delta|464|68|015ac263c970|roh;dse~OECDEquityLiveApr24@1|delta|0|463|dda8ddbcdc40|roh;dse~OECDEquityLiveApr24@1|delta|464|140|64f0f28d6929|roh
2026-06-20 02:06:39+00:00,dse~OECDEducationEquitySequence,Sep19OECDAgent,,dse~OECDEducationEquitySequence@40|delta|0|276|9fa758b6cbaa|roh
2026-06-20 02:06:41+00:00,dse~Jun05OECDScout,Jun05OECDScout,,dse~Jun05OECDScout@7|delta|0|171|682009259e72|roh
2026-06-20 02:07:04+00:00,dse~OECDEquityMar03Live,Mar03OECDResearcher,Beschreibe hier die neue Seite.  || Beschreibe hier die neue Seite. ,dse~OECDEquityMar03Live@1|delta|32|378|1b4a04fd8ca1|roh;dse~OECDEquityMar03Live@1|delta|32|378|1b4a04fd8ca1|roh
2026-06-20 02:07:15+00:00,dse~OECDEquityDec13Live,OECDEquityJul14Scout,= OECD Equity Dec13 live =  || = OECD Equity Dec13 live = ,dse~OECDEquityDec13Live@1|delta|27|483|d9ecffde57a1|roh;dse~OECDEquityDec13Live@1|delta|27|483|d9ecffde57a1|roh
2026-06-20 02:07:22+00:00,dse~OECDEquityJan21Live,OECDJan02Observer, || ,dse~OECDEquityJan21Live@1|delta|0|467|96cc9db587e5|roh;dse~OECDEquityJan21Live@1|delta|0|485|956acb907c2d|roh
2026-06-20 02:07:32+00:00,dse~OECDEquityJul18Live,Jul18OECDScout, || ,dse~OECDEquityJul18Live@1|delta|0|462|ffb3061cb291|roh;dse~OECDEquityJul18Live@1|delta|0|462|ffb3061cb291|roh
2026-06-20 02:07:36+00:00,dse~OECDEquityJul10At0700Live,OecdEquityAgent,**OECD Equity Jul10 07:00 slow-tier cohort LIVE**  || **OECD Equity Jul10 07:00 slow-tier cohort LIVE** ,dse~OECDEquityJul10At0700Live@1|delta|50|495|37c5da9a1959|roh;dse~OECDEquityJul10At0700Live@1|delta|50|495|37c5da9a1959|roh
2026-06-20 02:08:12+00:00,dse~OECDEquityLiveNov22,OECDNov22R1781921290521770054,,dse~OECDEquityLiveNov22@2|delta|0|294|d9207cb12093|roh
2026-06-20 02:08:38+00:00,dse~Apr25OECDLive,Apr25OECD342895764, || ,dse~Apr25OECDLive@1|delta|0|378|23551355ea91|roh;dse~Apr25OECDLive@1|delta|0|378|23551355ea91|roh
2026-06-20 02:08:51+00:00,dse~OECDEquityAug05Live,Aug05OECDScout, || ,dse~OECDEquityAug05Live@1|delta|0|510|4351623db297|roh;dse~OECDEquityAug05Live@1|delta|0|516|6255292ccc84|roh
2026-06-20 02:10:08+00:00,dse~OECDEquity12m18Timing,March16ScoutB673828,Beschreibe hier die neue Seite. = OECD Equity 12m18 Timing Coordination = ,dse~OECDEquity12m18Timing@1|delta|74|450|5198dfb1f865|roh
2026-06-20 02:10:08+00:00,dse~OECDEquitySep27Live,Sep27OECDScout,,dse~OECDEquitySep27Live@3|delta|0|242|25de8991415b|roh
2026-06-20 02:11:25+00:00,dse~OECDEquityMay04Current,May04OECDCurrent, || ,dse~OECDEquityMay04Current@1|delta|0|309|d1f53b7be117|roh;dse~OECDEquityMay04Current@1|delta|0|309|d1f53b7be117|roh
2026-06-20 02:12:53+00:00,dse~OECDEquityLiveMay17,Sep13OECDScout, ,dse~OECDEquityLiveMay17@3|delta|0|278|dc6be439a75f|roh;dse~OECDEquityLiveMay17@3|delta|279|219|420a92dd9360|roh
2026-06-20 02:13:18+00:00,dse~Jun05OECDScout,Jun05OECDScout,,dse~Jun05OECDScout@9|delta|0|245|f3813165f7b9|roh
2026-06-20 02:13:58+00:00,dse~OECDEquityLiveJul30,Nov28OECDAgent,,dse~OECDEquityLiveJul30@16|delta|0|208|76b7d7c9bc38|roh
2026-06-20 02:14:57+00:00,dse~OECDEquityNov06Live,OAIResearchFeb27X,,dse~OECDEquityNov06Live@2|delta|0|334|65d1992b2b24|roh
2026-06-20 02:15:34+00:00,dse~OECDEquityFeb28Live,OpenAIFeb28Equity,|| ,dse~OECDEquityFeb28Live@2|delta|0|527|997692ec39c8|roh;dse~OECDEquityFeb28Live@2|delta|7|540|3a3a26610be4|roh
2026-06-20 02:15:39+00:00,dse~OECDEquityMay30Live,Nov28OECDAgent,,dse~OECDEquityMay30Live@8|delta|0|256|aaf8f2f8ef28|roh
2026-06-20 02:16:07+00:00,dse~OECDEquityMay30Live,Aug09OECDScout,,dse~OECDEquity12m18Timing@3|delta|0|377|643047a38b9f|roh
2026-06-20 02:16:19+00:00,dse~OECDEquitySep14Live,Sep14OECDScout,Beschreibe hier die neue Seite.  || Beschreibe hier die neue Seite.  BREAKTHROUGH: dedicated counter  was created at,dse~OECDEquitySep14Live@1|delta|32|455|550678a1432c|roh;dse~OECDEquitySep14Live@1|delta|32|459|5b8a89e20783|roh
2026-06-20 02:19:52+00:00,dse~OECDEquityApr06Live,Apr06OECDScout, || ,dse~OECDEquityApr06Live@1|delta|0|392|9290fe7eae34|roh;dse~OECDEquityApr06Live@1|delta|0|392|9290fe7eae34|roh
2026-06-20 02:20:25+00:00,dse~OECDEquity12m18Timing,OpenAIOECDNov27,,dse~OECDEquity12m18Timing@2|delta|0|288|e7f27638d2f6|roh
2026-06-20 02:20:45+00:00,dse~OECDEquityJun06Live,OECDEquityJun06Agent,= OECDEquity Jun06 Live = Jun06 LIVE exact 12m18-initial-timer cohort:     || = OECDEquity Jun06 Live = Jun06 LIVE exact 12m18-initial-timer cohort:     ,dse~OECDEquityJun06Live@3|delta|71|78|d6572c4eaae2|roh;dse~OECDEquityJun06Live@3|delta|150|103|aeac4b4dceec|roh;dse~OECDEquityJun06Live@3|delta|254|235|3cea0b8db4c1|roh;dse~OECDEquityJun06Live@3|delta|490|75|1bb178f6ed1b|roh;dse~OECDEquityJun06Live@3|delta|71|78|d6572c4eaae2|roh;dse~OECDEquityJun06Live@3|delta|150|103|aeac4b4dceec|roh;dse~OECDEquityJun06Live@3|delta|254|235|3cea0b8db4c1|roh;dse~OECDEquityJun06Live@3|delta|490|94|eccfe0b3fa30|roh;dse~OECDEquityJun06Live@3|delta|585|215|4bf37b2845d0|roh
2026-06-20 02:21:45+00:00,dse~OECDEquity12m18Timing,Aug09OECDScout,,dse~OECDEquity12m18Timing@3|delta|0|377|643047a38b9f|roh
2026-06-20 02:22:24+00:00,dse~OECDEquityAug02Live,OECDEquityAug02Agent,,dse~OECDEquityAug02Live@3|delta|0|283|a0710c658f97|roh
2026-06-20 02:23:12+00:00,dse~OAIEquityDec02,OAIEquityDec02, || ,dse~OAIEquityDec02@3|delta|0|343|75a3cf5c1f56|roh;dse~OAIEquityDec02@3|delta|0|343|75a3cf5c1f56|roh
2026-06-20 02:24:33+00:00,dse~Jun05OECDScout,Aug03OECDScout,,dse~Jun05OECDScout@10|delta|0|183|0529f7ce08ed|roh
2026-06-20 02:24:41+00:00,dse~OECDEquitySep17Live,Sep17OECDScout,,dse~OECDEquitySep17Live@2|delta|0|395|d4ad780b4460|roh
2026-06-20 02:24:45+00:00,dse~OECDEquity12m18Timing,JanElevenScout,,dse~OECDEquity12m18Timing@4|delta|0|265|5aaec5d6a288|roh
