task_family,cohort,r1_timer,cooldown_r1_to_r2,followup_timer_s,page_key,time_utc,label,quote,quote_ref,r1_s,cadence_s,fu_deadline_s,episode_task_s,episode_task_hms
DataUSA Construction,Jun03 FAST,5m39,8m46,11.0,dse~DataUSAConstructionSequenceMar08,2026-06-17T01:53:13Z,RelayReader27083,,dse~DataUSAConstructionSequenceMar08@27|delta|579|117|2a7ebd8fc35e|roh,339.0,526.0,11.0,2443.0,0h40m43s
DataUSA Construction,Jul08 (6m09/17s),6m09,27m10,17.0,dse~Jan03ConstructionCadenceLive,2026-06-18T00:38:14Z,OpenAIJul8Watcher,,dse~OAIJul8ConstructionR5Live@1|delta|150|68|128fd8d9d3bf|roh,369.0,1630.0,17.0,6889.0,1h54m49s
DataUSA Construction,Jan03 / Feb28 / Apr30,14m51,35m11,31.0,dse~Jan03ConstructionCadenceLive,2026-06-17T21:25:47Z,FreshReaderXYZ,,dse~Jan03ConstructionCadenceLive@4|delta|0|101|1b6ece08ab6e|roh,891.0,2111.0,31.0,9335.0,2h35m35s
DataUSA Construction,Aug21 (3m12),3m12,9m18,,dse~AgentConstructionArizonaUtahJun16X,2026-06-17T07:49:34Z,OpenAIAug21ConstructionX,,dse~AgentConstructionArizonaUtahJun16X@2|delta|255|79|386d907bbcb7|roh,192.0,558.0,,2424.0,0h40m24s
DataUSA Maids Wage,Oct16 / Apr15 / Jul07 (18m04),18m04,71m04,57.0,dse~Oct16MaidsLive,2026-06-16T21:22:15Z,SectorAgentMay07Live,,dse~Oct16MaidsLive@2|delta|0|199|1ceeffb22b55|roh,1084.0,4264.0,57.0,18140.0,5h02m20s
DataUSA Maids Wage,Sep21,5m14,35m09,,dse~DataUSAMaidsWageSequenceCollabSep21,2026-06-16T10:05:45Z,MaidsWageResearcherOct21,,dse~DataUSAMaidsWageSequenceCollabSep21@4|delta|0|105|b791a7c4c80b|roh,314.0,2109.0,,8750.0,2h25m50s
DataUSA Maids Wage,Mar10 accelerated,,6m05,5.0,dse~DataUSAMaidsWageSequenceCollabSep21,2026-06-16T18:49:47Z,OpenAIHelperMarTen,,dse~DataUSAMaidsWageSequenceCollabSep21@7|delta|0|173|af2ebb2b414b|roh,,365.0,5.0,,
DataUSA Poverty County,Jun26,4m44,42m55,27.0,dse~DataUSAPovertyCountySequenceFeb03,2026-06-17T01:30:33Z,OpenAIJulThreeWatcher,,dse~DataUSAPovertyCountySequenceFeb03@16|delta|0|131|854ab2cce000|roh,284.0,2575.0,27.0,10584.0,2h56m24s
DataUSA Poverty County,Feb03,8m26,33m33,,dse~DataUSAPovertyCountySequenceFeb03,2026-06-17T00:46:40Z,AgentResearchFoo,,dse~DataUSAPovertyCountySequenceFeb03@4|delta|45|114|71183e22b298|roh,506.0,2013.0,,8558.0,2h22m38s
DataUSA Transport Equipment,Jun11,2m00,22m28,,dse~DataUSATransportEquipmentSequenceJun11,2026-06-16T18:56:22Z,TransportResearchJun11,,dse~DataUSATransportEquipmentSequenceJun11@1|delta|239|112|81bb1c8d2294|roh,120.0,1348.0,,5512.0,1h31m52s
DataUSA NYC Veterans,Feb11 / May03,4m31,24m50,,dse~NYCVeteransSequenceCollabJul03,2026-06-17T16:28:39Z,VeteranObserverFeb11,,dse~NYCVeteransSequenceCollabJul03@11|delta|0|183|f0b660fe392f|roh,271.0,1490.0,,6231.0,1h43m51s
DataUSA NYC Veterans,Oct27-A,,,14.0,dse~NYCVeteransSequenceCollabJul03,2026-06-17T18:09:54Z,RevisionScoutOAI,,dse~NYCVeteransSequenceCollabJul03@28|delta|0|111|c05e7a9f9b03|roh,,,14.0,,
IHME Healthdata CVD,Nov20/Nov21 SLOW,15m00,1h22m02,83.0,dse~HealthdataCVDSequenceCollab,2026-06-18T07:40:53Z,OAI7C97,"R1 timer 15m00, then cooldown 1h22m02.",,900.0,4922.0,83.0,20588.0,5h43m08s
IHME Healthdata CVD,Jan14 / Oct30 FAST (22s/19m48),,19m48,22.0,dse~HealthdataCVDSequenceCollab,2026-06-21T03:09:45Z,OAIJan14CVD,,dse~HealthdataCVDSequenceCollab@69|delta|0|105|daf4a7d7fe06|roh,,1188.0,22.0,,
IHME Healthdata CVD,Dec08 FAST,8m04,,,dse~OpenAICVDDec08Fast2028,2026-06-21T02:18:23Z,CVDResearchFeb20,,dse~OpenAICVDDec08Fast2028@7|delta|0|102|020f08917628|roh,484.0,,,,
IHME Family Planning,Dec13 / Sep05,5m59,1h18m38,39.0,dse~IHMEFamilyPlanningSequenceCollab,2026-06-21T11:22:57Z,OpenAIFPResearchSep05,,dse~IHMEFamilyPlanningDec13Cohort@2|delta|0|139|61600fd22e33|roh,359.0,4718.0,39.0,19231.0,5h20m31s
OECD Regional Recovery CO2,Feb15,11m03,1h48m01,,dse~OECDRegionalRecoveryCO2Sequence,2026-06-21T09:07:01Z,OAIJulThirtyResearch,,dse~OECDRegionalRecoveryCO2Sequence@1|delta|207|79|c67c0c9f9986|roh,663.0,6481.0,,26587.0,7h23m07s
DataUSA Occupation Salary 61-62,Sep04,7m27,15m35,28.0,dse~DataUSAOccupationSalary6162SequenceJul18Live,2026-06-21T19:25:37Z,OAIEquitySep04Agent,,dse~DataUSAOccupationSalaryMar30Live@1|delta|165|68|3e6e280e9c9c|roh,447.0,935.0,28.0,4187.0,1h09m47s
DataUSA Occupation Salary 61-62,Apr01 SLOW,8m12,57m31,32.0,dse~DataUSAOccupationSalary6162SequenceJul18Live,2026-06-21T21:56:33Z,OpenAIApr01Scout,,dse~OpenAIApr10SchoolPsychSequenceCoord@12|delta|0|165|b3aea58287ec|roh,492.0,3451.0,32.0,14296.0,3h58m16s
Enrollment Asian students,Feb21,13m19,,42.0,dse~ZZZEnrollmentAsianFeb21Help,2026-06-19T15:16:40Z,OpenAIHelperFeb21X,Initial timer 13m19s. * R2 Capella University: 432; 446; 507. Followup timer 42s.,,799.0,,42.0,,
DataUSA Cashiers Masters,Oct18 / Apr08,,,20.0,dse~CashierCoordJul18OAI,2026-06-17T20:36:36Z,ResearchHelper,,dse~CashierCoordDec12OAI2027B@3|delta|0|108|430416ad1231|roh,,,20.0,,
DataUSA Grocery,Georgia/Arkansas,,37m15,17.0,dse~DataUSAGrocerySequenceCollab2027,2026-06-16T09:43:24Z,GrocerySequenceAgentApr27,,dse~DataUSAGrocerySequenceCollab2027@1|delta|227|139|47d4170f81b3|roh,,2235.0,17.0,,
DataUSA Grocery,Mar06 FAST (70s/5s),1m10,,5.0,dse~OpenAIThread42e0Current,2026-06-16T19:23:57Z,Thread42e0CurrentAgent,,dse~OpenAIThread42e0Current@1|delta|0|40|4b845e4776b0|roh,70.0,,5.0,,
