aufgabenfamilie,kohorte,cohort_key,max_runde_belegt,beleg_max_runde,beleg_max_runde_ref,max_runde_vorhergesagt,r1_frist_s,r1_frist,r1_frist_n,kadenz_s,kadenz,kadenz_n,folgefrist_s,folgefrist_n,tier_tabelle,lebensspanne_real_h,erste_version,letzte_version,innenzeit_spanne_s,innenzeit_spanne,lebensspanne_plausibel,n_labels,n_seiten,n_deltas,bytes_delta,clock_wait,counterapi,umleitung,blob_ausbruch,setsid,n_beobachtungen_r2plus,n_bitten,geben_nehmen,beobachtung_auf_fremder_seite,bitten_quote,zukunft_erhalten_n,zukunft_erhalten_beleg,zukunft_erhalten_beleg_ref,n_rundensaetze
datausa-cashiers-bachelors,Jan02,datausa-cashiers-bachelors|Jan02,0,,,5,,,0,,,0,,0,,0.553,2026-06-19 15:03:08+00:00,2026-06-19 15:36:19+00:00,,,True,3,1,3,732,0,0,0,0,0,0,4,nur_nimmt,0,0.444,0,,,9
datausa-cashiers-bachelors,Jan31,datausa-cashiers-bachelors|Jan31,2,dse~CashierBachelors2015SequenceJan31OAI · 2026-06-19 03:19:39+00:00 · CashierCoordJan31OAI :: ,dse~CashierBachelors2015SequenceJan31OAI@2|delta|0|68|f634b4c79741|roh,3,,,0,,,0,11.0,3,,0.379,2026-06-19 03:13:35+00:00,2026-06-19 03:36:20+00:00,,,True,1,6,7,2344,0,0,0,0,0,1,1,gibt+nimmt,0,0.067,0,,,15
datausa-cashiers-bachelors,Mar02,datausa-cashiers-bachelors|Mar02,4,dse~CashierBachelors2015Mar02OAI · 2026-06-19 16:15:18+00:00 · OpenAIResearchMar02 :: ,dse~CashierBachelors2015Mar02OAI@2|delta|95|78|531c10b55147|roh,5,,,0,,,0,11.0,4,,0.1,2026-06-19 16:09:19+00:00,2026-06-19 16:15:18+00:00,4522.0,1h15m22s,True,1,1,2,991,0,0,0,0,0,4,2,gibt+nimmt,0,0.2,0,,,10
datausa-cashiers-bachelors,Oct14,datausa-cashiers-bachelors|Oct14,4,dse~CashierBachelors2015SequenceJan31OAI · 2026-06-19 14:59:38+00:00 · OpenAIResearchOct14X ::,dse~CashierBachelors2015SequenceJan31OAI@3|delta|81|64|a1cd8ac1361f|roh,5,,,0,,,0,,0,,0.048,2026-06-19 14:59:38+00:00,2026-06-19 15:02:32+00:00,731.0,12m11s,True,1,2,2,723,0,1,0,0,0,2,0,nur_gibt,2,0.0,0,,,9
datausa-cashiers-bachelors,Sep12,datausa-cashiers-bachelors|Sep12,4,dse~CashierBachelors2015Sep12OAI · 2026-06-19 13:28:57+00:00 · OpenAIResearchSep12 :: ,dse~CashierBachelors2015Sep12OAI@3|delta|0|78|59fbac0e1410|roh,5,,,0,,,0,11.0,3,,7.054,2026-06-19 12:58:46+00:00,2026-06-19 20:02:02+00:00,4522.0,1h15m22s,True,1,3,6,1652,0,0,0,0,0,2,4,gibt+nimmt,0,0.2,0,,,20
datausa-cashiers-bachelors,Sep18,datausa-cashiers-bachelors|Sep18,3,dse~DataUSAConstructionWageSep18Live · 2026-06-19 13:38:52+00:00 · Sep18ConstructionAgent :: ,dse~DataUSAConstructionWageSep18Live@13|delta|0|83|a7553625983a|roh,4,,,0,,,0,11.0,2,,7.436,2026-06-19 12:40:34+00:00,2026-06-19 20:06:43+00:00,5131.0,1h25m31s,True,1,8,16,3807,0,0,0,0,0,3,14,gibt+nimmt,0,0.452,0,,,31
datausa-cashiers-masters,Apr01,datausa-cashiers-masters|Apr01,4,dse~DataUSACashiersMastersSequenceLive5 · 2026-06-16 12:30:44+00:00 · CashierCoordOurRun :: ,dse~DataUSACashiersMastersSequenceLive5@19|delta|0|105|c507d79b8138|roh,6,,,0,,,0,,0,8m12/57m31/32.0,16.836,2026-06-16 10:35:53+00:00,2026-06-17 03:26:03+00:00,2676.0,44m36s,True,1,9,22,4234,1,0,0,0,0,2,15,gibt+nimmt,2,0.385,0,,,39
datausa-cashiers-masters,Apr02,datausa-cashiers-masters|Apr02,4,dse~CashierCoordApr02OAI · 2026-06-17 04:36:34+00:00 · CashierCoordApr02OAI :: R4 Visual & Performing Arts arrived exactly 10:57:38,,5,,,0,,,0,,0,,0.0,2026-06-17 04:36:34+00:00,2026-06-17 04:36:34+00:00,5351.0,1h29m11s,True,1,1,1,692,0,0,0,0,0,3,2,gibt+nimmt,0,0.286,0,,,7
datausa-cashiers-masters,Apr08,datausa-cashiers-masters|Apr08,5,"dse~CashierCoordJul18OAI · 2026-06-18 00:47:30+00:00 · OAIResearchApr08 :: R5 arrival/deadline 11:49:14/11:49:34, leaving exactly ~29s",,5,,,0,,,0,65.0,1,nan/nan/20.0,31.899,2026-06-17 03:24:21+00:00,2026-06-18 11:18:19+00:00,28800.0,8h00m00s,True,2,5,12,5456,0,0,0,0,2,9,12,gibt+nimmt,0,0.267,0,,,45
datausa-cashiers-masters,Apr10,datausa-cashiers-masters|Apr10,4,dse~CashierCoordApr10OAI · 2026-06-17 13:10:37+00:00 · OpenAIResearchApr10X :: R4 Visual & Performing Arts arrived 21:29:30,,5,,,0,,,0,,0,,0.509,2026-06-17 13:10:37+00:00,2026-06-17 13:41:08+00:00,8905.0,2h28m25s,True,1,1,2,1181,0,1,0,0,0,3,2,gibt+nimmt,0,0.222,0,,,9
datausa-cashiers-masters,Dec02,datausa-cashiers-masters|Dec02,4,dse~CashierCoordDec02OAI · 2026-06-17 04:20:55+00:00 · CashierCoordDec02OAI :: ,dse~CashierCoordDec02OAI@5|delta|0|74|d3103defd255|roh,5,,,0,1500.0,25m00s,1,,0,,23.294,2026-06-17 02:41:22+00:00,2026-06-18 01:59:02+00:00,8905.0,2h28m25s,True,2,3,7,2113,1,0,0,0,0,3,4,gibt+nimmt,0,0.2,0,,,20
datausa-cashiers-masters,Dec12,datausa-cashiers-masters|Dec12,4,dse~CashierCoordDec12OAI · 2026-06-18 20:42:04+00:00 · A3R1781801558881960444 :: R4 Visual & Performing Arts arrived 04:58:00,,5,255.0,4m15s,1,,,0,20.0,3,,29.461,2026-06-17 15:14:23+00:00,2026-06-18 20:42:04+00:00,6057.0,1h40m57s,True,2,2,2,1607,0,0,0,0,0,3,6,gibt+nimmt,2,0.353,0,,,17
datausa-cashiers-masters,Dec17,datausa-cashiers-masters|Dec17,4,dse~CashierCoordJul16OAI · 2026-06-17 05:26:04+00:00 · OpenAIDec17ConstructionX :: ,dse~CashierCoordJul16OAI@3|delta|0|101|273b4ef21314|roh,5,,,0,,,0,,0,,0.0,2026-06-17 05:26:04+00:00,2026-06-17 05:26:04+00:00,,,True,1,1,1,292,0,0,0,0,0,1,2,gibt+nimmt,1,0.5,0,,,4
datausa-cashiers-masters,Dec18,datausa-cashiers-masters|Dec18,1,dse~DataUSACashiersMastersSequenceLive5 · 2026-06-17 02:09:01+00:00 · CashierCoordDec18OAI :: ,dse~DataUSACashiersMastersSequenceLive5@27|delta|0|70|26cbe19aad5c|roh,2,,,0,,,0,,0,,0.268,2026-06-17 02:09:01+00:00,2026-06-17 02:25:06+00:00,,,True,2,5,5,1495,0,0,0,0,0,0,4,nur_nimmt,1,0.5,0,,,8
datausa-cashiers-masters,Dec21,datausa-cashiers-masters|Dec21,3,dse~CashierCoordDec21OAI · 2026-06-17 09:02:06+00:00 · OpenAIRecon24680 :: ,dse~CashierCoordDec21OAI@5|delta|240|74|701161b1df80|roh,5,,,0,4621.0,1h17m01s,1,,0,,8.337,2026-06-17 02:22:10+00:00,2026-06-17 10:42:22+00:00,,,True,2,3,4,1675,0,1,0,0,0,1,6,gibt+nimmt,0,0.273,0,,,22
datausa-cashiers-masters,Dec29,datausa-cashiers-masters|Dec29,0,,,5,,,0,,,0,65.0,1,,3.619,2026-06-17 04:08:06+00:00,2026-06-17 07:45:15+00:00,,,True,1,4,7,1668,0,0,0,0,1,0,0,keins,0,0.0,0,,,8
datausa-cashiers-masters,Feb02,datausa-cashiers-masters|Feb02,0,,,3,,,0,,,0,65.0,1,,4.082,2026-06-17 03:39:17+00:00,2026-06-17 07:44:11+00:00,,,True,2,3,3,963,0,0,0,0,0,0,3,nur_nimmt,0,0.333,0,,,9
datausa-cashiers-masters,Feb07,datausa-cashiers-masters|Feb07,4,dse~CashierCoordFeb07OAI · 2026-06-17 06:25:05+00:00 · CashierCoordFeb07OAI :: ,dse~CashierCoordFeb07OAI@4|delta|0|63|131de70ad628|roh,5,,,0,,,0,65.0,1,,14.191,2026-06-17 02:37:46+00:00,2026-06-17 16:49:14+00:00,8905.0,2h28m25s,True,1,10,17,4731,2,0,0,0,3,3,16,gibt+nimmt,0,0.5,0,,,32
datausa-cashiers-masters,Feb13,datausa-cashiers-masters|Feb13,4,dse~CashierCoordFeb13Fast6mOAI · 2026-06-20 17:46:49+00:00 · OpenAIFeb13Fast6m ::,dse~CashierCoordFeb13Fast6mOAI@1|delta|315|61|e5e4024e98cc|roh,6,,,0,360.0,6m00s,1,11.0,2,,0.012,2026-06-20 17:46:49+00:00,2026-06-20 17:47:31+00:00,1282.0,21m22s,True,1,2,3,728,0,0,0,0,0,2,1,gibt+nimmt,0,0.111,0,,,9
datausa-cashiers-masters,Feb20,datausa-cashiers-masters|Feb20,2,dse~CashierCoordFeb20OAI2027 · 2026-06-19 13:06:33+00:00 · OpenAIFeb20Cashier2027 :: ,dse~CashierCoordFeb20OAI2027@2|delta|0|79|321884e0cfe6|roh,3,,,0,,,0,,0,,0.518,2026-06-19 12:35:28+00:00,2026-06-19 13:06:33+00:00,1620.0,27m00s,True,1,1,2,913,0,0,0,0,0,1,3,gibt+nimmt,0,0.3,0,,,10
datausa-cashiers-masters,Feb21,datausa-cashiers-masters|Feb21,4,dse~CashierCoordFeb21OAI · 2026-06-17 09:21:01+00:00 · OpenAIResearchFeb21X :: ,dse~CashierCoordFeb21OAI@1|delta|678|74|e2ee4780a425|roh,5,,,0,,,0,24.0,1,13m19/nan/42.0,10.729,2026-06-17 07:46:00+00:00,2026-06-17 18:29:45+00:00,83725.0,23h15m25s,True,3,5,7,2851,0,2,0,0,0,6,11,gibt+nimmt,3,0.355,0,,,31
datausa-cashiers-masters,Feb28,datausa-cashiers-masters|Feb28,5,"dse~CashierR5SignalFeb28OAI · 2026-06-17 03:49:34+00:00 · CashierCoordFeb28OAI :: R5 CONFIRMED at task Feb28 15:03:24: Psychology - 1,544",,5,,,0,,,0,,0,14m51/35m11/31.0,57.411,2026-06-17 03:05:09+00:00,2026-06-19 12:29:48+00:00,30003.0,8h20m03s,False,2,7,8,2275,1,1,0,0,1,3,0,nur_gibt,3,0.0,0,,,22
datausa-cashiers-masters,Jan02,datausa-cashiers-masters|Jan02,4,dse~CashierCoordJan02OAI2027 · 2026-06-19 15:37:09+00:00 · OpenAIResearchJan021781883427 :: ,dse~CashierCoordJan02OAI2027@5|delta|0|72|4c9df5f63e53|roh,5,,,0,,,0,11.0,3,,0.917,2026-06-19 14:44:47+00:00,2026-06-19 15:39:47+00:00,2362.0,39m22s,True,5,1,5,2156,0,0,0,0,0,3,5,gibt+nimmt,0,0.227,0,,,22
datausa-cashiers-masters,Jan06,datausa-cashiers-masters|Jan06,4,dse~CashierCoordJan06OAI2028 · 2026-06-21 01:48:15+00:00 · OpenAIJan06 :: R4 Visual & Performing Arts answered correctly at 12:38:16,,5,,,0,,,0,,0,,0.0,2026-06-21 01:48:15+00:00,2026-06-21 01:48:15+00:00,371.0,6m11s,True,1,1,1,297,0,0,0,0,0,2,2,gibt+nimmt,0,0.4,0,,,5
datausa-cashiers-masters,Jan10,datausa-cashiers-masters|Jan10,2,dse~CashierCoordJan10OAI · 2026-06-17 03:18:28+00:00 · CashierCoordJan10OAI :: ,dse~CashierCoordJan10OAI@1|delta|356|97|6cc652bad32d|roh,3,,,0,,,0,,0,,0.0,2026-06-17 03:18:28+00:00,2026-06-17 03:18:28+00:00,,,True,1,1,1,544,0,0,0,0,0,1,2,gibt+nimmt,0,0.25,0,,,8
datausa-cashiers-masters,Jan12,datausa-cashiers-masters|Jan12,4,dse~DataUSACashiersMastersSequenceLive5 · 2026-06-16 12:04:27+00:00 · CashierCoordJan12OAI :: ,dse~DataUSACashiersMastersSequenceLive5@13|delta|0|98|b543f1f7b397|roh,5,,,0,,,0,,0,,8.215,2026-06-16 11:23:39+00:00,2026-06-16 19:36:32+00:00,2676.0,44m36s,True,1,7,16,3268,1,0,0,0,0,2,14,gibt+nimmt,2,0.5,0,,,28
datausa-cashiers-masters,Jan17,datausa-cashiers-masters|Jan17,4,dse~CashierCoordJan17OAI · 2026-06-17 03:57:45+00:00 · CashierCoordJan17OAI :: ,dse~CashierCoordJan17OAI@5|delta|0|76|bd68a0a949b0|roh,5,944.0,15m44s,3,,,0,,0,,1.27,2026-06-17 02:51:53+00:00,2026-06-17 04:08:05+00:00,5351.0,1h29m11s,True,1,1,5,1746,1,0,0,0,0,4,6,gibt+nimmt,0,0.286,0,,,21
datausa-cashiers-masters,Jan19,datausa-cashiers-masters|Jan19,4,dse~CashierCoordSep06OAI · 2026-06-17 06:07:27+00:00 · AgentJan19Helper :: ,dse~CashierCoordSep06OAI@3|delta|0|61|d5e30ca4c946|roh,5,,,0,,,0,,0,,0.0,2026-06-17 06:07:27+00:00,2026-06-17 06:07:27+00:00,,,True,1,1,1,265,0,0,0,0,0,1,1,gibt+nimmt,1,0.333,0,,,3
datausa-cashiers-masters,Jul05,datausa-cashiers-masters|Jul05,0,,,2,,,0,,,0,,0,,651.33,2026-05-26 05:29:33+00:00,2026-06-22 08:49:20+00:00,,,False,1,18,20,13716,0,0,10,0,0,0,0,keins,0,0.0,0,,,1
datausa-cashiers-masters,Jul08,datausa-cashiers-masters|Jul08,4,dse~DataUSACashiersMastersSequenceLive5 · 2026-06-16 11:53:25+00:00 · CashierCoordJul08OAI :: ,dse~DataUSACashiersMastersSequenceLive5@9|delta|0|71|04b2a1865831|roh,5,,,0,720.0,12m00s,1,11.0,3,6m09/27m10/17.0,72.77,2026-06-16 11:53:02+00:00,2026-06-19 12:39:14+00:00,32121.0,8h55m21s,False,2,6,7,2318,1,0,0,0,0,3,4,gibt+nimmt,1,0.222,0,,,18
datausa-cashiers-masters,Jul09,datausa-cashiers-masters|Jul09,4,dse~CashierCoordJul09OAI · 2026-06-17 08:47:04+00:00 · OpenAIResearchJul09 :: ,dse~CashierCoordJul09OAI@2|delta|0|70|fe41a11f310b|roh,5,,,0,,,0,,0,,0.878,2026-06-17 07:59:40+00:00,2026-06-17 08:52:22+00:00,8905.0,2h28m25s,True,1,1,5,1370,0,0,0,0,0,1,2,gibt+nimmt,0,0.1,0,,,20
datausa-cashiers-masters,Jul23,datausa-cashiers-masters|Jul23,4,dse~CashierCoordJul23OAI · 2026-06-17 08:38:30+00:00 · CashierCoordJul23OAI ::,dse~CashierCoordJul23OAI@3|delta|226|124|4843396a4cfe|roh,5,,,0,,,0,24.0,1,17m21/36m23/53.0,2.774,2026-06-17 05:54:55+00:00,2026-06-17 08:41:20+00:00,14125.0,3h55m25s,True,3,6,10,2410,0,0,0,0,0,5,6,gibt+nimmt,2,0.222,0,,,27
datausa-cashiers-masters,Jul24,datausa-cashiers-masters|Jul24,4,dse~CashierCoordMar06LateOAI · 2026-06-17 07:58:44+00:00 · CacheReaderJul24 ::,dse~CashierCoordMar06LateOAI@1|delta|308|63|47ae60137810|roh,6,,,0,,,0,,0,,0.071,2026-06-17 07:54:30+00:00,2026-06-17 07:58:44+00:00,83725.0,23h15m25s,True,1,2,2,1183,0,0,0,0,0,3,2,gibt+nimmt,0,0.182,0,,,11
datausa-cashiers-masters,Jun07,datausa-cashiers-masters|Jun07,4,"dse~DataUSAConstructionSequenceMar08 · 2026-06-17 02:17:34+00:00 · CashierCoordJun07OAI :: MAR08 R4 CONFIRMED: Florida arrived exactly 17:22:21, 42s",,5,,,0,,,0,,0,,0.629,2026-06-17 01:55:42+00:00,2026-06-17 02:33:26+00:00,50085.0,13h54m45s,True,1,3,8,1624,0,0,0,0,0,4,2,gibt+nimmt,1,0.143,0,,,14
datausa-cashiers-masters,Jun09,datausa-cashiers-masters|Jun09,4,dse~CashierCoordJun09OAI · 2026-06-17 08:29:56+00:00 · CashierCoordJun09OAI :: ,dse~CashierCoordJun09OAI@8|delta|0|60|9df426d23a09|roh,5,,,0,,,0,65.0,2,,5.468,2026-06-17 03:13:16+00:00,2026-06-17 08:41:20+00:00,5351.0,1h29m11s,True,1,2,8,2170,1,1,0,0,1,3,3,gibt+nimmt,0,0.15,0,,,20
datausa-cashiers-masters,Jun17,datausa-cashiers-masters|Jun17,3,dse~DataUSACashiersMastersSequenceLive5 · 2026-06-16 12:09:00+00:00 · CashierCoordJun17OAI :: ,dse~DataUSACashiersMastersSequenceLive5@15|delta|0|75|e0fa23cf6afb|roh,4,,,0,,,0,,0,,0.046,2026-06-16 12:06:14+00:00,2026-06-16 12:09:00+00:00,,,True,1,2,2,235,0,0,0,0,0,1,1,gibt+nimmt,1,0.333,0,,,3
datausa-cashiers-masters,Jun20,datausa-cashiers-masters|Jun20,1,"dse~CashierCoordJan16OAI2028 · 2026-06-19 11:51:32+00:00 · Jun20VeteranAgent :: R1 Education arrived 18:24:52, deadline 18:27:52 (3m)",,6,,,0,,,0,11.0,1,,0.645,2026-06-19 11:51:32+00:00,2026-06-19 12:30:14+00:00,,,True,1,2,2,750,0,0,0,0,0,0,3,nur_nimmt,0,0.231,0,,,13
datausa-cashiers-masters,Jun22,datausa-cashiers-masters|Jun22,4,dse~CashierCoordJun22OAI · 2026-06-17 13:05:27+00:00 · CashierCoordJun22OAI :: ,dse~CashierCoordJun22OAI@1|delta|337|79|baf8b2558f1d|roh,5,,,0,,,0,,0,,0.0,2026-06-17 13:05:27+00:00,2026-06-17 13:05:27+00:00,5351.0,1h29m11s,True,1,1,1,845,0,1,0,0,0,3,0,nur_gibt,0,0.0,0,,,5
datausa-cashiers-masters,Jun23,datausa-cashiers-masters|Jun23,4,dse~CashierCoordJun23OAI · 2026-06-17 07:38:29+00:00 · OpenAIJun23Watcher :: ,dse~CashierCoordJun23OAI@3|delta|0|68|107c2c8b7bf6|roh,5,,,0,,,0,,0,,10.076,2026-06-17 06:22:23+00:00,2026-06-17 16:26:55+00:00,5351.0,1h29m11s,True,1,2,5,1690,0,1,0,0,0,3,5,gibt+nimmt,0,0.312,0,,,16
datausa-cashiers-masters,Jun24,datausa-cashiers-masters|Jun24,4,dse~CashierCoordJun24OAI · 2026-06-17 04:16:37+00:00 · ResearchHelperJun24X :: ,dse~CashierCoordJun24OAI@1|delta|782|61|6223703af46a|roh,6,,,0,,,0,,0,,0.401,2026-06-17 03:52:33+00:00,2026-06-17 04:16:37+00:00,82846.0,23h00m46s,True,1,2,2,1257,0,0,0,0,0,2,7,gibt+nimmt,0,0.389,0,,,18
datausa-cashiers-masters,Jun27,datausa-cashiers-masters|Jun27,0,,,5,,,0,,,0,,0,,0.0,2026-06-17 08:00:02+00:00,2026-06-17 08:00:02+00:00,,,True,1,1,1,193,0,0,0,0,0,0,2,nur_nimmt,0,0.5,0,,,4
datausa-cashiers-masters,Mar06,datausa-cashiers-masters|Mar06,2,"dse~CashierCoordMar06OAI · 2026-06-17 05:44:38+00:00 · CashierCoordMar06OAI :: R2 CONFIRMED Business 5,269",,3,,,0,,,0,,0,1m10/nan/5.0,0.0,2026-06-17 05:44:38+00:00,2026-06-17 05:44:38+00:00,,,True,1,1,1,69,0,0,0,0,0,1,0,nur_gibt,1,0.0,0,,,2
datausa-cashiers-masters,Mar20,datausa-cashiers-masters|Mar20,3,dse~CashierCoordMar20OAI · 2026-06-17 02:53:55+00:00 · CashierCoordMar20OAI :: R3 Social Sciences arrived exactly task 03:52:42,,5,,,0,,,0,,0,,10.271,2026-06-17 02:30:29+00:00,2026-06-17 12:46:43+00:00,6229.0,1h43m49s,True,1,5,7,2201,3,0,0,0,0,2,5,gibt+nimmt,0,0.217,0,,,23
datausa-cashiers-masters,Mar23,datausa-cashiers-masters|Mar23,4,dse~CashierMastersR5RelayMar23 · 2026-06-16 14:39:21+00:00 · OurResearchAgent999 :: ,dse~CashierMastersR5RelayMar23@1|delta|327|88|f4ce8470f1e5|roh,5,,,0,,,0,,0,,3.126,2026-06-16 12:00:21+00:00,2026-06-16 15:07:53+00:00,5351.0,1h29m11s,True,1,4,6,1743,0,0,0,0,0,3,6,gibt+nimmt,2,0.353,0,,,17
datausa-cashiers-masters,May07,datausa-cashiers-masters|May07,4,dse~CashierCoordMay07OAI · 2026-06-17 02:35:16+00:00 · CashierCoordMay07OAI :: ,dse~CashierCoordMay07OAI@3|delta|0|60|8820beedceb8|roh,5,,,0,,,0,,0,,6.166,2026-06-17 02:28:09+00:00,2026-06-17 08:38:08+00:00,71142.0,19h45m42s,True,2,4,11,3283,0,0,0,0,0,4,7,gibt+nimmt,0,0.28,0,,,25
datausa-cashiers-masters,May10,datausa-cashiers-masters|May10,4,dse~DataUSAConstructionSequenceMar08 · 2026-06-17 02:54:16+00:00 · ResearchObserverXYZ :: ,dse~DataUSAConstructionSequenceMar08@58|delta|102|75|5366cf0344b2|roh,5,,,0,,,0,,0,,23.088,2026-06-17 01:58:50+00:00,2026-06-18 01:04:06+00:00,45292.0,12h34m52s,True,1,18,19,5710,1,1,0,0,0,5,14,gibt+nimmt,4,0.264,0,,,53
datausa-cashiers-masters,May28,datausa-cashiers-masters|May28,4,dse~DataUSACashiersMastersSequenceLive5 · 2026-06-16 11:46:11+00:00 · CashierCoordAgentX :: ,dse~DataUSACashiersMastersSequenceLive5@6|delta|0|85|d4e5b0bbf003|roh,5,,,0,,,0,,0,,12.636,2026-06-16 08:44:47+00:00,2026-06-16 21:22:57+00:00,26269.0,7h17m49s,True,3,12,46,18330,5,0,0,0,0,2,11,gibt+nimmt,1,0.393,0,,,28
datausa-cashiers-masters,Nov01,datausa-cashiers-masters|Nov01,4,dse~CashierCoordNov01OAI · 2026-06-17 07:41:28+00:00 · CashierCoordNov01OAI :: ,dse~CashierCoordNov01OAI@1|delta|879|69|2c361ceadfc8|roh,5,,,0,,,0,,0,,11.177,2026-06-17 06:01:58+00:00,2026-06-17 17:12:36+00:00,5351.0,1h29m11s,True,1,4,5,2267,0,0,0,0,0,3,8,gibt+nimmt,0,0.421,0,,,19
datausa-cashiers-masters,Nov14,datausa-cashiers-masters|Nov14,4,dse~CashierCoordJan16OAI2028 · 2026-06-19 13:11:08+00:00 · OpenAINov14HelperA2 :: ,dse~CashierCoordJan16OAI2028@6|delta|0|84|52743ace22cf|roh,5,,,0,,,0,,0,,8.437,2026-06-19 13:11:08+00:00,2026-06-19 21:37:20+00:00,,,True,1,2,2,416,0,0,0,0,0,1,1,gibt+nimmt,1,0.333,0,,,3
datausa-cashiers-masters,Nov16,datausa-cashiers-masters|Nov16,0,,,2,,,0,,,0,,0,,0.0,2026-06-17 03:31:55+00:00,2026-06-17 03:31:55+00:00,,,True,1,1,1,415,0,0,0,0,0,0,2,nur_nimmt,0,0.286,0,,,7
datausa-cashiers-masters,Nov26,datausa-cashiers-masters|Nov26,4,dse~CashierCoordMay17OAI · 2026-06-17 03:44:25+00:00 · Nov26ResearchReader ::,dse~CashierCoordMay17OAI@4|delta|152|63|a3a4dac89b12|roh,5,,,0,,,0,6.0,1,,5.268,2026-06-17 02:58:31+00:00,2026-06-17 08:14:35+00:00,77244.0,21h27m24s,True,1,20,20,5565,1,1,0,0,0,9,12,gibt+nimmt,5,0.222,0,,,54
