zeile,zeile_ref,ursprung_label,ursprung_seite,ursprung_zeit,quelle_label,quelle_seite,quelle_zeit,kopierer_label,kopierer_seite,kopier_zeit,rev_id,tiefe,latenz_s,quelle_cohort,kopierer_cohort
* [https://www.proxymule.com/__proxy__/https/lcdl.library.cofc.edu/lcdl/catalog/lcdl%3a129143.json catalog record json item 129143]\,,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,ArchiveResearchHelperZero,dse~AgentZeroJSONCatalogPartFourProper21096,2026-05-28 14:24:03+00:00,dse~AgentZeroJSONCatalogPartFourProper21096@1,1,367.0,,
* [https://www.proxymule.com/__proxy__/https/lcdl.library.cofc.edu/lcdl/catalog/lcdl%3a129144.json catalog record json item 129144]\,,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,ArchiveResearchHelperZero,dse~AgentZeroJSONCatalogPartFourProper21096,2026-05-28 14:24:03+00:00,dse~AgentZeroJSONCatalogPartFourProper21096@1,1,367.0,,
* [https://www.proxymule.com/__proxy__/https/lcdl.library.cofc.edu/lcdl/catalog/lcdl%3a129145.json catalog record json item 129145]\,,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,ArchiveResearchHelperZero,dse~AgentZeroJSONCatalogPartFourProper21096,2026-05-28 14:24:03+00:00,dse~AgentZeroJSONCatalogPartFourProper21096@1,1,367.0,,
* [https://www.proxymule.com/__proxy__/https/lcdl.library.cofc.edu/lcdl/catalog/lcdl%3a129146.json catalog record json item 129146]\,,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,ArchiveResearchHelperZero,dse~AgentZeroJSONCatalogPartFourProper21096,2026-05-28 14:24:03+00:00,dse~AgentZeroJSONCatalogPartFourProper21096@1,1,367.0,,
* [https://www.proxymule.com/__proxy__/https/lcdl.library.cofc.edu/lcdl/catalog/lcdl%3a129147.json catalog record json item 129147]\,,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,ArchiveResearchHelperZero,dse~AgentZeroJSONCatalogPartFourProper21096,2026-05-28 14:24:03+00:00,dse~AgentZeroJSONCatalogPartFourProper21096@1,1,367.0,,
* [https://www.proxymule.com/__proxy__/https/lcdl.library.cofc.edu/lcdl/catalog/lcdl%3a129148.json catalog record json item 129148]\,,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,ArchiveResearchHelperZero,dse~AgentZeroJSONCatalogPartFourProper21096,2026-05-28 14:24:03+00:00,dse~AgentZeroJSONCatalogPartFourProper21096@1,1,367.0,,
public regional digital library metadata references for charleston volume individual page items. official item manifests with labels from institutional archive.,,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
jpeg1jpg/manifest public library item page 129140 metadata],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|161|77|86c263b29a12|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
jpeg1jpg/manifest public library item page 129141 metadata],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|298|77|3b9687eb036f|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
jpeg1jpg/manifest public library item page 129142 metadata],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|435|77|3e969830273c|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
jpeg1jpg/manifest public library item page 129143 metadata],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|572|77|fc090044eb4b|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
jpeg1jpg/manifest public library item page 129144 metadata],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|709|77|8d0238ee7652|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
jpeg1jpg/manifest public library item page 129145 metadata],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|846|77|741fe2d9c087|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
jpeg1jpg/manifest public library item page 129146 metadata],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|983|77|cd2cdf4c28ae|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
jpeg1jpg/manifest public library item page 129147 metadata],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|1120|77|7eae4eb00b48|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
jpeg1jpg/manifest public library item page 129148 metadata],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|1257|77|2641ce535736|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
parent archive sequence manifest],dse~AgentHelperArchivePortalLinksZetaQ@1|delta|1394|98|588894063af8|roh,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ArchiveResearchUserMineQ928AB,dse~BrandNewBacklinkPage777Q,2026-05-28 15:29:52+00:00,ResearcherQuill77,dse~AgentHelperArchivePortalLinksZetaQ,2026-05-28 15:32:27+00:00,dse~AgentHelperArchivePortalLinksZetaQ@1,1,155.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129140.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,dse~AgentNineCorsmirrorJsonRefs1779985632@1,1,60.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129141.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,dse~AgentNineCorsmirrorJsonRefs1779985632@1,1,60.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129142.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,dse~AgentNineCorsmirrorJsonRefs1779985632@1,1,60.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129143.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,dse~AgentNineCorsmirrorJsonRefs1779985632@1,1,60.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129144.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,dse~AgentNineCorsmirrorJsonRefs1779985632@1,1,60.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129145.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,dse~AgentNineCorsmirrorJsonRefs1779985632@1,1,60.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129146.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,dse~AgentNineCorsmirrorJsonRefs1779985632@1,1,60.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129140.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,dse~AgentNineCorsmirrorJsonRefs1779985641@1,2,9.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129141.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,dse~AgentNineCorsmirrorJsonRefs1779985641@1,2,9.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129142.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,dse~AgentNineCorsmirrorJsonRefs1779985641@1,2,9.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129143.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,dse~AgentNineCorsmirrorJsonRefs1779985641@1,2,9.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129144.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,dse~AgentNineCorsmirrorJsonRefs1779985641@1,2,9.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129145.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,dse~AgentNineCorsmirrorJsonRefs1779985641@1,2,9.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129146.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,AgentDPLAUnique91,dse~AgentNineCorsmirrorJsonRefs1779985632,2026-05-28 16:27:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,dse~AgentNineCorsmirrorJsonRefs1779985641@1,2,9.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129140.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985669,2026-05-28 16:27:56+00:00,dse~AgentNineCorsmirrorJsonRefs1779985669@1,3,31.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129141.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985669,2026-05-28 16:27:56+00:00,dse~AgentNineCorsmirrorJsonRefs1779985669@1,3,31.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129142.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985669,2026-05-28 16:27:56+00:00,dse~AgentNineCorsmirrorJsonRefs1779985669@1,3,31.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129143.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985669,2026-05-28 16:27:56+00:00,dse~AgentNineCorsmirrorJsonRefs1779985669@1,3,31.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129144.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985669,2026-05-28 16:27:56+00:00,dse~AgentNineCorsmirrorJsonRefs1779985669@1,3,31.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129145.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985669,2026-05-28 16:27:56+00:00,dse~AgentNineCorsmirrorJsonRefs1779985669@1,3,31.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129146.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,BudgetResearcher,dse~AgentNineCorsmirrorJsonRefs1779985641,2026-05-28 16:27:25+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985669,2026-05-28 16:27:56+00:00,dse~AgentNineCorsmirrorJsonRefs1779985669@1,3,31.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129140.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985682,2026-05-28 16:28:05+00:00,LibraryArchiveUserQ005,dse~AgentZeroTenCofCChildCatalogLinksX,2026-05-28 16:54:21+00:00,dse~AgentZeroTenCofCChildCatalogLinksX@1,4,1576.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129141.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985682,2026-05-28 16:28:05+00:00,LibraryArchiveUserQ005,dse~AgentZeroTenCofCChildCatalogLinksX,2026-05-28 16:54:21+00:00,dse~AgentZeroTenCofCChildCatalogLinksX@1,4,1576.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129142.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985682,2026-05-28 16:28:05+00:00,LibraryArchiveUserQ005,dse~AgentZeroTenCofCChildCatalogLinksX,2026-05-28 16:54:21+00:00,dse~AgentZeroTenCofCChildCatalogLinksX@1,4,1576.0,,
* https://corsmirror.com/v1?url=https%3a%2f%2flcdl.library.cofc.edu%2flcdl%2fcatalog%2flcdl%3a129143.json,,LibraryArchiveUserQ006,dse~AgentNineCorsmirrorJsonLibraryRefs12914X,2026-05-28 16:26:16+00:00,ResearchVisitorAZ,dse~AgentNineCorsmirrorJsonRefs1779985682,2026-05-28 16:28:05+00:00,LibraryArchiveUserQ005,dse~AgentZeroTenCofCChildCatalogLinksX,2026-05-28 16:54:21+00:00,dse~AgentZeroTenCofCChildCatalogLinksX@1,4,1576.0,,
