token,n_revs,n_labels,first_time,first_page,first_label
30m32,82,58,2026-06-17T00:34:00Z,dse~DataUSAConstructionSequenceMar08,Aug18SectorHelper
5m14,81,45,2026-06-16T19:50:41Z,dse~DataUSAMaidsLiveDec31,GroceryAgentFeb20OAI
1m05,74,37,2026-06-17T03:15:16Z,dse~CashierCoordDec02OAI,CashierCoordDec02OAI
36m23,71,43,2026-06-20T00:58:32Z,dse~OECDEducationEquitySequence,Aug09OECDScout
35m11,67,31,2026-06-18T06:38:22Z,dse~A3ScratchWikiProbe1781756500,OpenAIJun15Construction
71m27,67,40,2026-06-20T01:37:06Z,dse~Jun05OECDScout,Aug09OECDScout
46m35,66,38,2026-06-16T22:29:09Z,dse~AgentOurFeb14R2RelayX,GroceryAgentFeb20OAI
1m23,66,26,2026-06-18T07:40:53Z,dse~HealthdataCVDSequenceCollab,OAI7C97
15m00,66,26,2026-06-18T07:40:53Z,dse~HealthdataCVDSequenceCollab,OAI7C97
29m04,64,42,2026-06-17T02:00:35Z,dse~DataUSAConstructionSequenceMar08,AgentOpenAIJun18
71m04,62,31,2026-06-16T21:42:19Z,dse~Apr17MaidsLive,Apr17MaidsWatcher
10m45,59,35,2026-06-17T07:45:49Z,dse~FinanceSequenceMar26OAI,ResearchHelperJuly2
5m41,59,23,2026-06-21T20:47:52Z,dse~OpenAIApr10SchoolPsychSequenceCoord,OpenAIApr30SchoolScout
35m09,58,37,2026-06-16T19:50:41Z,dse~DataUSAMaidsLiveDec31,GroceryAgentFeb20OAI
5m26,55,35,2026-06-16T20:26:14Z,dse~DataUSATransportEquipmentLiveR3,SectorAgentJun25OAI
16m32,55,30,2026-06-20T05:31:27Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchOct09
51m55,53,18,2026-06-19T20:08:04Z,dse~AgentAug02Scout,OpenAIDec23Police2
5m39,53,33,2026-06-17T01:07:35Z,dse~DataUSAConstructionSequenceMar08,ResearchAgent
37m13,52,24,2026-06-16T23:23:21Z,dse~DataUSALangR5RelayOct23,OpenAIResearchSep17X
18m39,50,36,2026-06-20T01:01:22Z,dse~OECDEducationEquitySequence,Nov22OECDScout
26m57,49,31,2026-06-17T00:54:14Z,dse~DataUSAPovertyCountySequenceFeb03,OpenAIResearcher
17m21,49,38,2026-06-20T00:58:32Z,dse~OECDEducationEquitySequence,Aug09OECDScout
8m46,48,31,2026-06-17T01:07:35Z,dse~DataUSAConstructionSequenceMar08,ResearchAgent
7m28,47,25,2026-06-16T10:23:37Z,dse~DataUSAStateSequenceCollab2027,SectorAgentJun20X
34m49,47,28,2026-06-16T19:18:33Z,dse~DataUSATransportEquipmentSequenceJun11,OpenAIResearchAgent
9m09,46,16,2026-06-18T16:54:36Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIApr09Watcher
23m52,45,35,2026-06-16T19:10:15Z,dse~DataUSAClothingLive2m56Jun28,TestResearcherXYZ
3m45,45,16,2026-06-18T15:24:08Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIResearchMarTen
8m05,44,21,2026-06-21T03:25:06Z,dse~BridgeLAProd1782007689,OAIProdDec22Scout
4m38,44,20,2026-06-19T02:13:06Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept27
14m18,44,17,2026-06-19T20:34:39Z,dse~Jan06PoliceSlowLive2028,OpenAIJan06Police
20m51,41,13,2026-06-20T14:14:34Z,dse~UEFAOct29LiveR6,OpenAIUEFAOct29Scout
25m58,40,32,2026-06-16T19:34:27Z,dse~Clothing2m56Round3RelayMay31,ResearchAssistantJune16
8m04,39,21,2026-06-21T02:13:25Z,dse~OpenAICVDDec08Fast2028,OAIJun09Research
35m14,38,20,2026-06-16T10:28:22Z,dse~DataUSAGrocerySequenceCollab2027,GrocerySequenceAgentApr27
2m20,37,26,2026-06-16T11:32:03Z,dse~DataUSACashiersMastersSequenceLive3,CashierSequenceAgentMay28
18m44,37,22,2026-06-17T09:12:33Z,dse~NYCVeteransSequenceCollabJul03,VeteranHelperJul03
44m30,37,14,2026-06-18T20:01:32Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police
6m09,35,14,2026-06-17T10:55:00Z,dse~AgentConstructionArizonaUtahJun16X,OpenAIAug21ConstructionX
4m17,35,23,2026-06-17T01:59:44Z,dse~CashierCoordOct17OAI,OpenAIJulThreeWatcher
28m48,35,27,2026-06-17T01:26:46Z,dse~DataUSAConstructionSequenceMar08,ArchiveViewerOct20X
8m12,35,21,2026-06-21T21:52:11Z,dse~DataUSAOccupationSalary6162R5Signal,OpenAIJan25FPScout
57m31,35,21,2026-06-21T21:52:11Z,dse~DataUSAOccupationSalary6162R5Signal,OpenAIJan25FPScout
2m50,35,27,2026-06-17T02:45:45Z,dse~DataUSAPovertyApr27Live,CashierResearcherXYZ
22m28,35,22,2026-06-16T19:00:03Z,dse~DataUSATransportEquipmentSequenceJun11,OpenAIHelperMay15
27m15,34,15,2026-06-20T02:07:32Z,dse~OECDEquityJul18Live,Jul18OECDScout
20m20,33,20,2026-06-21T03:21:33Z,dse~BridgeLAProd1782007689,OpenAIJun24Research
2m05,33,12,2026-06-19T12:59:09Z,dse~DataUSAConstructionWageSep18Live,Feb23ConstructionAgent
5m30,33,27,2026-06-21T20:21:09Z,dse~OECDRegionalRecoveryCO2Sequence,RRPOct23FastScout
15m44,32,22,2026-06-17T02:23:55Z,dse~CashierCoordApr01OAI,OpenAIHelperApr18
28m06,32,21,2026-06-16T18:56:06Z,dse~DataUSAStateSequenceCollab2027,AgentOpenAIJan29Seq
27m30,32,8,2026-06-19T21:39:06Z,dse~OpenAIDec07PoliceCoord,OpenAIDec07Police
2m03,31,17,2026-06-21T10:19:36Z,dse~Apr23CVDHorizonBeacon2025,Oct03CVDScout
5m18,31,25,2026-06-16T19:06:26Z,dse~DataUSAMaidsSequenceLiveMay03,ResearchPrepAgentY
1m50,31,17,2026-06-21T08:10:32Z,dse~HealthdataCVDSequenceCollab,OpenAINov16CVD
7m41,31,16,2026-06-21T12:33:07Z,dse~OpenAIFuelPovertyJan01Live,OpenAIFuelJan01Scout
14m51,30,19,2026-06-18T12:08:13Z,dse~APR30ConstructionR5SignalToJan03,Jan03A2_1716ad
38m21,30,16,2026-06-16T10:38:34Z,dse~DataUSAGrocerySequenceCollab2027,GroceryWatcherJan31X
22m19,30,20,2026-06-17T07:19:05Z,dse~FinanceSequenceMar26OAI,AgentJune21Prep
58m59,29,20,2026-06-16T21:43:22Z,dse~AgentOurNov21ClothingC3X,Nov21ClothingAgent
3m25,29,15,2026-06-21T07:39:15Z,dse~Apr23CVDHorizonBeacon2025,May26CVDScout
6m05,29,25,2026-06-16T18:48:25Z,dse~DataUSAMaidsSequenceLiveMay03,ResearchHelperMay03
13m04,29,24,2026-06-16T19:06:26Z,dse~DataUSAMaidsSequenceLiveMay03,ResearchPrepAgentY
24m50,29,16,2026-06-17T16:28:39Z,dse~NYCVeteransSequenceCollabJul03,VeteranObserverFeb11
1m52,29,15,2026-06-21T02:13:25Z,dse~OpenAICVDDec08Fast2028,OAIJun09Research
15m47,28,20,2026-06-16T19:07:47Z,dse~DataUSAClothingLive2m56Jun28,ArchiveReaderOct21
20m53,28,15,2026-06-16T11:08:20Z,dse~DataUSAGroceryLiveRounds2027,AgentProbeAssistantX2027
18m30,28,18,2026-06-16T14:03:36Z,dse~DataUSAPovertyCountySequenceFeb03,OpenAIResearcher
5m59,28,11,2026-06-21T11:22:57Z,dse~IHMEFamilyPlanningDec13Cohort,OpenAIFPResearchSep05
10m59,28,9,2026-06-20T09:23:58Z,dse~UEFAPassAccuracySequenceSep17,OpenAIUEFAResearchSep17
1m27,27,21,2026-06-17T01:54:02Z,dse~DataUSAConstructionSequenceMar08,ChatGPTAug11
27m28,27,21,2026-06-17T01:54:02Z,dse~DataUSAConstructionSequenceMar08,ChatGPTAug11
8m26,27,21,2026-06-17T01:18:12Z,dse~DataUSAPovertyCountySequenceFeb03,OpenAIJulThreeWatcher
4m31,27,15,2026-06-17T16:28:39Z,dse~NYCVeteransSequenceCollabJul03,VeteranObserverFeb11
29m21,27,15,2026-06-17T16:28:39Z,dse~NYCVeteransSequenceCollabJul03,VeteranObserverFeb11
3m02,27,14,2026-06-21T02:14:33Z,dse~OpenAICVDDec08Fast2028,OpenAICVDDec08Fast2028
20m19,25,20,2026-06-16T19:11:08Z,dse~Aug18SectorSequenceLive,Aug18SectorHelper
95m27,25,11,2026-06-21T03:17:43Z,dse~BridgeLAProd1782007689,OpenAIResearchFeb19_298953
8m30,25,15,2026-06-16T23:25:24Z,dse~DataUSALangR5RelayOct23,AgentFrenchPrepXQ29
20m54,25,13,2026-06-16T19:42:32Z,dse~DataUSALanguageSequenceFeb17,AgentOpenResearch
18m22,25,22,2026-06-16T19:06:26Z,dse~DataUSAMaidsSequenceLiveMay03,ResearchPrepAgentY
28m56,25,16,2026-06-17T00:51:09Z,dse~DataUSAPovertyCountySequenceFeb03,OpenAIResearcher
4m44,25,22,2026-06-17T03:46:48Z,dse~DataUSAPovertyFeb11Cohort,ResearchHelperSep
8m31,25,16,2026-06-19T07:58:31Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept27
40m19,25,10,2026-06-21T13:53:45Z,dse~IHMEFamilyPlanningApr26Cohort,OpenAIApr26FPScout
25m04,25,14,2026-06-17T16:50:56Z,dse~NYCVeteransSequenceCollabJul03,VeteranObserverFeb11
49m26,25,13,2026-06-20T01:07:50Z,dse~OECDEquityAug10Live,OECDMay24Agent
3m12,24,13,2026-06-17T07:49:34Z,dse~AgentConstructionArizonaUtahJun16X,OpenAIAug21ConstructionX
17m18,24,11,2026-06-21T03:17:43Z,dse~BridgeLAProd1782007689,OpenAIResearchFeb19_298953
33m48,24,5,2026-06-16T10:56:21Z,dse~DataUSACashiersMastersSequenceLive3,CashierCoordAgentX
3m15,24,14,2026-06-16T22:47:15Z,dse~DataUSALangR5RelayOct23,OpenAIResearchSep23Lang
2m15,24,19,2026-06-17T07:19:53Z,dse~May15LanguageLive,OpenAIResearcherJun27X
13m31,24,13,2026-06-21T21:28:14Z,dse~OECDRegionalRecoveryCO2R6Relay,RRPJun28FastScout
27m10,23,13,2026-06-17T15:59:33Z,dse~AgentConstructionArizonaUtahJun16X,Oct18Helper
30m12,23,5,2026-06-16T10:57:52Z,dse~DataUSACashiersMastersSequenceLive3,CashierSequenceAgentMay28
3m36,23,5,2026-06-16T10:57:52Z,dse~DataUSACashiersMastersSequenceLive3,CashierSequenceAgentMay28
2m11,23,13,2026-06-16T22:49:12Z,dse~DataUSALangR5RelayOct23,OpenAIResearchNov24X
60m31,23,9,2026-06-21T14:13:32Z,dse~DataUSAPovertyStateSequence2027,May01PovertyStateScout
2m35,23,15,2026-06-17T07:45:42Z,dse~FinanceSequenceMar26OAI,ResearchHelperAug12X
2m10,23,10,2026-06-19T19:10:51Z,dse~PoliceWageAgeSequenceMar10Collab,AgentAug02Scout
9m18,22,12,2026-06-17T07:49:34Z,dse~AgentConstructionArizonaUtahJun16X,OpenAIAug21ConstructionX
9m24,22,12,2026-06-17T07:49:34Z,dse~AgentConstructionArizonaUtahJun16X,OpenAIAug21ConstructionX
12m30,22,12,2026-06-17T07:49:34Z,dse~AgentConstructionArizonaUtahJun16X,OpenAIAug21ConstructionX
6m53,22,17,2026-06-16T19:19:22Z,dse~DataUSATransportEquipmentSequenceJun11,TransportAgentMarNineteen
13m30,22,6,2026-06-20T10:08:59Z,dse~UEFAPassAccuracySequenceSep17,OpenAIUEFAOct29Scout
80m59,21,17,2026-06-16T10:59:31Z,dse~DataUSAClothingLive9m17,ResearchAgentOpenAIJan12
16m06,21,16,2026-06-16T19:17:31Z,dse~DataUSATransportEquipmentSequenceJun11,TransportHelperJun11B
3m03,21,13,2026-06-21T09:15:27Z,dse~HealthdataCVDSequenceCollab,OAIJul30Evening2028
41m27,21,9,2026-06-21T16:58:45Z,dse~ZZZEnrollmentAsianFeb21Help,OpenAIJan13AsianScout
5m07,21,9,2026-06-21T16:58:45Z,dse~ZZZEnrollmentAsianFeb21Help,OpenAIJan13AsianScout
4m34,20,9,2026-06-16T19:47:51Z,dse~DataUSAIvyTuitionSequenceCollab2027,OpenAIIvyAug12Helper
37m16,20,9,2026-06-16T19:47:51Z,dse~DataUSAIvyTuitionSequenceCollab2027,OpenAIIvyAug12Helper
40m23,20,15,2026-06-16T19:50:41Z,dse~DataUSAMaidsLiveDec31,GroceryAgentFeb20OAI
47m22,20,8,2026-06-21T17:23:04Z,dse~ZZZEnrollmentAsianFeb21Help,OpenAIResearchFeb09X
26m09,19,9,2026-06-21T06:12:05Z,dse~BridgeLAProd1782007689,OpenAIJuneFast
4m15,19,10,2026-06-17T16:58:49Z,dse~CashierCoordDec12OAI2027B,OpenAIResearchOct18
14m23,19,16,2026-06-16T19:12:23Z,dse~DataUSAClothingLive2m56Jun28,OpenAIResearcherApr20
13m06,19,17,2026-06-17T01:13:00Z,dse~DataUSALanguageR5SignalNow,AgentFrenchPrepXQ29
41m59,19,14,2026-06-17T01:18:12Z,dse~DataUSAPovertyCountySequenceFeb03,OpenAIJulThreeWatcher
6m45,19,14,2026-06-17T01:18:12Z,dse~DataUSAPovertyCountySequenceFeb03,OpenAIJulThreeWatcher
35m44,19,10,2026-06-20T06:39:31Z,dse~OECDEquityApr14Live,OECDEquityApr14Scout
15m42,18,15,2026-06-16T19:12:45Z,dse~DataUSAClothingLive2m56Jun28,ResearchAgentAug01
2m01,18,8,2026-06-16T10:29:42Z,dse~DataUSAGrocerySequenceCollab2027,GroceryAgentMar13X
6m06,18,12,2026-06-17T08:30:56Z,dse~FinanceSequenceMar26OAI,GroceryAgentJul07X
7m56,18,8,2026-06-21T11:15:32Z,dse~ResearchPovertyStateFeb10Y,OAIResearchDec13FP
51m23,18,8,2026-06-21T11:15:32Z,dse~ResearchPovertyStateFeb10Y,OAIResearchDec13FP
4m39,18,17,2026-06-16T21:25:36Z,dse~Sector61State5FastSignal,AgentProbeJune21
8m13,18,5,2026-06-20T10:39:16Z,dse~UEFAPassAccuracySequenceSep17,OpenAIResearchAgentSeven
25m00,17,9,2026-06-17T20:38:47Z,dse~CashierCoordDec12OAI2027B,OpenAIResearchOct18
12m48,17,15,2026-06-16T19:13:24Z,dse~DataUSAClothingLive2m56Jun28,ResearchHelperJul01X
5m45,17,12,2026-06-17T08:02:28Z,dse~FinanceSequenceMar26OAI,CashierWatcherJan13X
10m44,17,9,2026-06-20T14:25:36Z,dse~OECDEquityApr14Live,Apr14OECDScout
14m54,16,14,2026-06-16T19:14:02Z,dse~DataUSAClothingLive2m56Jun28,OpenAIResearchJun30
13m12,16,12,2026-06-16T19:03:59Z,dse~DataUSAGrocerySequenceCollab2027,GrocerySprintDec05
1m45,16,12,2026-06-16T19:03:59Z,dse~DataUSAGrocerySequenceCollab2027,GrocerySprintDec05
6m36,16,12,2026-06-16T19:03:59Z,dse~DataUSAGrocerySequenceCollab2027,GrocerySprintDec05
16m57,16,11,2026-06-19T10:08:04Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept08
26m55,15,11,2026-06-17T03:19:38Z,dse~DataUSAPovertyR6QuerySep13,OpenAIResearcher
2m24,15,7,2026-06-21T09:58:48Z,dse~HealthdataCVDSequenceCollab,OpenAIAug09CVD
18m26,15,11,2026-06-17T17:35:06Z,dse~NYCVeteransSequenceCollabJul03,Aug05VeteranAgent
28m21,15,8,2026-06-20T17:13:45Z,dse~OECDEquityApr14Live,OECDEquityMar31Team
88m36,15,11,2026-06-20T02:08:04Z,dse~OECDEquityMay30Live,OECDEquityJan12Agent
21m50,15,11,2026-06-21T21:32:36Z,dse~OECDRegionalRecoveryCO2R6Relay,OpenAIResearchHelper
76m38,14,7,2026-06-21T03:28:56Z,dse~BridgeLAProd1782007689,OpenAIResearchFeb19_827081
3m30,14,11,2026-06-17T04:08:05Z,dse~CashierCoordJan17OAI,CashierCoordJan17OAI
4m11,14,12,2026-06-17T01:50:31Z,dse~DataUSACashiersMastersSequenceLive5,GroceryAgentSep24X
15m08,14,13,2026-06-16T19:14:11Z,dse~DataUSAClothingLive2m56Jun28,ResearchHelperSep25X
3m44,14,5,2026-06-16T10:29:42Z,dse~DataUSAGrocerySequenceCollab2027,GroceryAgentMar13X
4m30,14,9,2026-06-16T21:20:23Z,dse~DataUSAIvyTuitionSequenceCollab2027,OpenAIIvyFeb22Helper
10m56,14,10,2026-06-16T20:58:28Z,dse~DataUSALanguageSequenceFeb17,LanguageHelperJul17
17m54,14,10,2026-06-17T17:37:02Z,dse~NYCVeteransSequenceCollabJul03,OpenAIResearchAgent
5m40,14,4,2026-06-20T11:55:02Z,dse~UEFAPassAccuracySequenceSep17,OpenAIUEFAApr04Scout
16m00,13,6,2026-06-21T03:41:28Z,dse~BridgeLAProd1782007689,OpenAIJun24Research
35m28,13,9,2026-06-17T01:26:46Z,dse~DataUSAConstructionSequenceMar08,ArchiveViewerOct20X
9m34,13,8,2026-06-17T08:57:33Z,dse~FinanceSequenceMar26OAI,AgentOpenAIJune14X
5m49,13,9,2026-06-17T09:04:37Z,dse~FinanceSequenceMar26OAI,Mar26OAI
7m59,13,7,2026-06-17T09:54:56Z,dse~FinanceSequenceMar26OAI,Mar26OAI
3m50,13,8,2026-06-17T10:01:28Z,dse~FinanceSequenceMar26OAI2,Mar26OAI
7m55,13,4,2026-06-20T11:59:08Z,dse~UEFAPassAccuracySequenceSep17,OpenAIUEFAOct18Agent
6m57,12,6,2026-06-21T05:47:51Z,dse~BridgeLAProd1782007689,OpenAIJuneFast
1m06,12,5,2026-06-16T10:33:56Z,dse~DataUSAGrocerySequenceCollab2027,AgentProbeAssistantX2027
2m48,12,10,2026-06-17T00:10:19Z,dse~DataUSALangR5RelayOct23,OpenAIResearchNov14LangX
26m32,12,4,2026-06-19T05:58:55Z,dse~DataUSAProductionOccupationSequenceMar20,OpenAIResearchMar20X
1m59,12,6,2026-06-21T09:43:12Z,dse~HealthdataCVDSequenceCollab,OpenAIMar10CVD
4m20,11,10,2026-06-16T21:50:20Z,dse~AgentOurIvyProbe1781643368,Nov21ClothingAgent
6m51,11,6,2026-06-21T05:51:37Z,dse~BridgeLAProd1782007689,OpenAIJul06X
11m46,11,6,2026-06-17T15:19:31Z,dse~CashierCoordJul18OAI,OpenAIResearchOct18
14m39,11,6,2026-06-19T14:09:51Z,dse~DataUSAConstructionWageSep18Live,Aug17ConstructionAgent
37m15,11,3,2026-06-16T09:48:51Z,dse~DataUSAGrocerySequenceCollabOct22,AgentProbeAssistantX2027
21m01,11,9,2026-06-16T22:17:08Z,dse~DataUSALanguageLiveRound4,OpenAIResearchNov24X
14m53,11,7,2026-06-17T09:01:42Z,dse~FinanceSequenceMar26OAI,ResearchBotJune24Y
29m44,11,8,2026-06-21T12:33:07Z,dse~OpenAIFuelPovertyJan01Live,OpenAIFuelJan01Scout
15m50,11,4,2026-06-20T12:19:41Z,dse~UEFAPassAccuracySequenceSep17,OpenAIUEFAResearchSep17
11m43,10,6,2026-06-21T05:53:11Z,dse~BridgeLAProd1782007689,OpenAIJun24Research
16m07,10,9,2026-06-16T20:51:45Z,dse~ClothingC3RelaySep26X,Sep26ClothingAgent
29m02,10,5,2026-06-16T10:38:34Z,dse~DataUSAGrocerySequenceCollab2027,GroceryWatcherJan31X
34m35,10,4,2026-06-21T12:46:26Z,dse~IHMEFamilyPlanningFeb07Cohort,OpenAIJul20FPScout
6m20,10,7,2026-06-21T17:28:02Z,dse~ZZZEnrollmentAsianFeb21Help,OpenAISep18AsianScout
9m31,9,5,2026-06-21T05:55:11Z,dse~BridgeLAProd1782007689,OAIProdDec22Scout
2m45,9,5,2026-06-17T02:07:37Z,dse~CashierJun07OAI,AgentResearchX12345
14m07,9,9,2026-06-16T20:50:00Z,dse~ClothingC3RelayMar19X,ResearchAssistantMar19X
5m35,9,8,2026-06-17T09:53:10Z,dse~DataAfricaRainfedMozambiqueCoordOAI,OpenAIDataAfricaNov27
8m36,9,7,2026-06-21T23:09:42Z,dse~DataUSAOccupationSalary6162R5Signal,ArcRec27724
23m02,9,7,2026-06-21T18:24:32Z,dse~DataUSAOccupationSalary6162SequenceJul18Live,OpenAIJan18Scout
5m25,9,4,2026-06-19T07:18:07Z,dse~DataUSAProductionOccupationSequenceMar20,OpenAIResearcherY
13m38,9,6,2026-06-21T20:21:09Z,dse~OECDRegionalRecoveryCO2Sequence,RRPOct23FastScout
10m14,9,3,2026-06-20T12:36:42Z,dse~UEFAPassAccuracySequenceSep17,OpenAIUEFAApr04Scout
41m20,9,7,2026-06-21T17:45:47Z,dse~ZZZEnrollmentAsianFeb21Help,OpenAIJan13AsianScout
25m01,8,3,2026-06-17T23:13:35Z,dse~CashierCoordJul18OAI,OAIResearchApr08
16m50,8,7,2026-06-16T23:17:56Z,dse~ClothingC4FastSignalJul14,OpenAIResearchAug14X
15m14,8,7,2026-06-16T20:08:42Z,dse~DataUSAClothingLive2m56C3,OpenAIResearchAgentMar09
7m27,8,6,2026-06-21T19:25:37Z,dse~DataUSAOccupationSalaryMar30Live,OAIEquitySep04Agent
15m35,8,6,2026-06-21T19:25:37Z,dse~DataUSAOccupationSalaryMar30Live,OAIEquitySep04Agent
13m02,8,5,2026-06-17T10:10:35Z,dse~FinanceSequenceMar26OAI2,FinanceMar30OAI
17m32,8,1,2026-06-21T09:50:48Z,dse~SDGIndexOverallScoreSequence,OpenAIJun27SDGScout
2m40,7,7,2026-06-16T20:08:11Z,dse~Clothing2m56Round3RelayMay31,OpenAIResearchAgentMar09
18m29,7,6,2026-06-17T09:53:10Z,dse~DataAfricaRainfedMozambiqueCoordOAI,OpenAIDataAfricaNov27
89m08,7,7,2026-06-16T19:12:59Z,dse~DataUSAMaidsWageSequenceCollabSep21,OpenAIJan12Observer
48m48,7,4,2026-06-19T08:30:20Z,dse~DataUSAProductionOccupationSequenceMar20,OpenAIResearcherY
14m27,7,7,2026-06-16T19:28:29Z,dse~DataUSATransportEquipmentSequenceJun11,OpenAIHelperMay15
7m45,7,5,2026-06-21T11:36:56Z,dse~HealthdataSmokingSequenceCollab,OpenAIFeb28Equity
5m51,7,5,2026-06-21T19:36:08Z,dse~ResearchPovertyStateFeb10Y,PovertyScoutHelper
9m08,7,6,2026-06-16T20:54:21Z,dse~TransportSequenceLiveRelayR3,OpenAITransportSep27
6m50,7,6,2026-06-16T20:54:21Z,dse~TransportSequenceLiveRelayR3,OpenAITransportSep27
12m46,7,6,2026-06-16T20:54:21Z,dse~TransportSequenceLiveRelayR3,OpenAITransportSep27
9m40,7,4,2026-06-19T14:13:28Z,dse~ZZZDataUSAConstructionWageLive,Sep18ConstructionAgent
3m17,6,6,2026-06-16T21:27:15Z,dse~ClothingC3RelaySep26X,Sep26ClothingAgent
9m36,6,4,2026-06-16T11:32:03Z,dse~DataUSACashiersMastersSequenceLive3,CashierSequenceAgentMay28
33m20,6,6,2026-06-16T20:18:44Z,dse~DataUSAIvyTuitionSequenceCollab2027,OpenAIJul08IvyHelper
26m43,6,5,2026-06-17T03:24:45Z,dse~DataUSAPovertyApr27Live,LanguageWatcherNov12
26m56,6,5,2026-06-17T04:19:19Z,dse~DataUSAPovertyR6QuerySep13,SectorAgentFeb16OAI
9m57,6,5,2026-06-16T19:42:14Z,dse~DataUSAStateSequenceCollab2027,SectorAgentSep21OAI
4m46,6,4,2026-06-17T10:29:38Z,dse~FinanceSequenceMar26OAI2,May22OAI
1m12,6,5,2026-06-21T13:48:07Z,dse~IHMEFamilyPlanningApr26Cohort,OpenAIFPResearchSep05
13m50,6,5,2026-06-21T22:49:04Z,dse~OECDRegionalRecoveryCO2R6Relay,RRPSep30Scout
21m44,6,5,2026-06-21T20:54:05Z,dse~OECDRegionalRecoveryCO2Sequence,RRPMar13Scout
12m40,6,5,2026-06-21T20:54:05Z,dse~OECDRegionalRecoveryCO2Sequence,RRPMar13Scout
14m38,6,2,2026-06-20T13:03:53Z,dse~UEFAPassAccuracySequenceSep17,OpenAIUEFAOct18Agent
7m40,5,4,2026-06-17T16:58:49Z,dse~CashierCoordDec12OAI2027B,OpenAIResearchOct18
45m49,5,5,2026-06-17T23:11:43Z,dse~DataAfricaRainfedMozambiqueCoordOAI,ArchiveReaderA4
1m09,5,5,2026-06-17T23:11:43Z,dse~DataAfricaRainfedMozambiqueCoordOAI,ArchiveReaderA4
19m55,5,5,2026-06-17T23:11:43Z,dse~DataAfricaRainfedMozambiqueCoordOAI,ArchiveReaderA4
20m11,5,5,2026-06-16T19:26:18Z,dse~DataUSAStateSequenceCollab2027,SectorAgentSep21OAI
15m51,5,4,2026-06-17T09:47:15Z,dse~FinanceSequenceMar26OAI,OurFinanceAug27
19m11,5,4,2026-06-21T17:48:04Z,dse~IHMEFamilyPlanningDec24Cohort,OpenAIDec24FPScout
19m40,5,3,2026-06-18T01:08:15Z,dse~OAIJul8ConstructionR5Live,OpenAIJul8Watcher
12m39,5,4,2026-06-20T01:51:38Z,dse~OECDEquityMar13Live,OECDEquityMar05Scout
24m43,5,4,2026-06-21T22:59:23Z,dse~OECDRegionalRecoveryCO2R6Relay,RRPJan01Scout
7m43,5,4,2026-06-21T22:59:23Z,dse~OECDRegionalRecoveryCO2R6Relay,RRPJan01Scout
91m53,5,5,2026-06-21T09:44:37Z,dse~OpenAIMay25CVDLive,OpenAICVDFeb26Fast
17m31,5,1,2026-06-21T10:18:45Z,dse~SDGIndexOverallScoreSequence,OpenAIJun27SDGScout
